country,segment,rank,asin,reviews,rating,brand,title
FR,Lure,5,B0BVQSH87R,795,3.8,SilverRack,"Wasp and Hornet Trap x3 - Outdoor Reusable Wasp Trap - Effective Asian Wasp and Hornet Repellent - Wasp Repellent for Garden, Terrace, Swimming Pool, Camping - Non-Toxic without Bait"
FR,Electric,1,B0C5R5YHMZ,13307,4.6,YISSVIC,"YISSVIC Electric Insect Racket, 2 x 4000 V Rechargeable Electric Mosquito Racket with Stable Base Against Mosquitoes, Flies, Flying Insects, Black"
FR,Electric,2,B0DS8SK65N,3779,4.5,GeckoMan,GeckoMan Rotating Head Electric Racket Insects Rechargeable Racket Anti Mosquito Mosquito Fly Swatter Fly Trap Fly Trap with Telescopic Extension
FR,Electric,3,B0DS8SY1KZ,3779,4.5,GeckoMan,2-Pack GeckoMan Rotating Head Racket Electric Insect Insect Racket Anti-Mosquito Electric Mosquito Fly Swatter Fly Trap with Telescopic Extension
FR,Electric,4,B0DS8RPFC7,3779,4.5,GeckoMan,2-Pack GeckoMan Rotating Head Electric Racket Insect Insect Racket Anti-Mosquito Racket Electric Mosquito Racket Fly Swatter Trap Fly Trap
FR,Electric,5,B0FXX1W6W5,2963,4.4,Jawlark,"Electric Mosquito Repellent Lamp 4200 V, Powerful 18 W Fly Trap for Indoor and Outdoor Use, Protection Against Midges, Mosquitoes and Insects"
UK,Lure,1,B014MI6CXE,21461,4.4,Zero In,Zero In Honeypot Wasp Trap Bait Refill 3 Pack – Super Effective Non-Toxic Wasp Attractant Sachets – Lasts 2-3 Weeks Per Refill – For Use with Honeypot & Ready-Baited Wasp Traps – Outdoor Garden Use
UK,Lure,2,B00HFDGMNO,10590,4.2,ASPECTEK,"ASPECTEK Wasp Traps, 2-Pack – Reusable Hourglass-Shaped Traps, Yellow Jacket & Hornet Catchers for Indoor & Outdoor Use"
UK,Lure,3,B07F6GNBXL,1727,4.3,Karlsten,"Karlsten Wasp & Nest Killer Spray | Maximum Strength, Fast-Acting Formula | Kills Wasps, Hornets & Nests Instantly | Long-Lasting Indoor & Outdoor Pest Control | 300ml"
UK,Lure,4,B0D258CHGV,645,4.2,Karlsten,Karlsten Hyper Power Wasp Nest Killer & Hornet Killer 600 ML - Gold Standard High Strength Long Range 5 Metre Spray for Indoor and Outdoor Wasp Nest Removal - Wasp Killer Spray
UK,Lure,5,B07VF6FP8N,617,4.3,CKB LTD,Set of 2 WASP TRAP Catcher Glass Bottle with Metal Hanger By CKB LTD - Traditional Attractive Hanging Honey Pot Design Insect Catcher Trap Indoor Outdoor Garden Pest Control DOUBLE PACK CKB-WC02
UK,Electric,1,B01N5TCXWM,14784,4.3,LiBa,"LiBa Electric Bug Zapper, Insect and Fly Killer 20W Insect Bug Catcher - Mosquito, Moth, Wasp Killer for Indoor, Fly Zapper Repellent with 2 Pack Replacement Bulbs & Washable Tray"
UK,Electric,2,B0BMWWGNXG,14173,4.5,YISSVIC,YISSVIC Electric Fly Swatter 4000V Bug Fly Zapper Racket Mosquito Killer 1500 mAh 3 Layers Mesh with USB C Cable Stand Base for Indoor Outdoor
UK,Electric,3,B0BWLRPVK3,14173,4.5,YISSVIC,YISSVIC Electric Fly Swatter 4000V Bug Fly Zapper Racket Mosquito Killer 1500 mAh 3 Layers Mesh with USB C Cable Stand Base for Indoor Outdoor
UK,Electric,4,B0CNRRD8DW,6263,4.1,Buzbug,"Buzbug LED Bug Zapper Indoor Outdoor, Up to 50000 Hrs Lifespan Lamps, Energy Saving & Dual Band Attraction, 1.7 m Power Cord, High Voltage Mosquito Fly Zapper Trap Killer -MO008C"
UK,Electric,5,B08SWL2649,4679,4.2,Fly-Bye,"Fly-Bye - Electric Fly Zapper (XL) 4000V, USB Rechargeable, LED Light – Fly Killer Electric Swatter for Home"
UK,Sticky,1,B07MQ4ZSZT,10027,3.9,BaiYou,Fly Paper Fly Strips Fly Catcher Strips 16 Pack Sticky Fruit Fly Trap for House Indoor Outdoor Use
UK,Sticky,2,B07PMVR4CD,5088,4.0,Plai,"16PCS Window Fly Traps, Sunflower Style Window Fly Stickers, Fruit Fly Trap Insect Flies Wasp Pest Killer - 4 Packs x 4 Traps Each Package"
UK,Sticky,3,B0CLPC6S8W,738,4.0,JKG,"JKG® 8 PACK STICKY FLY TRAP CATCHER - Super Sticky Killer Strips Tape | Catches Moth, Flies, Mosquitos, Wasp, Flying Insects Killer | Extra Sticky Indoor House & Garden Outdoor (Non-Toxic Papers)"
UK,Sticky,4,B08GKZWCCB,509,4.2,Pestmatic,"Pestmatic Smart Cockroach Trap x 15, Sticky Strong Glue Cockroach Trap with Food Bait, Roach Indoor Trap, Kraft Eco-Friendly & Natural Catcher for Crawling Insects, Alternative for Cockroach Killer"
UK,Sticky,5,B0DPJZLHFK,241,4.3,Vesmiga,Sticky Pad Traps - 6 Pack Pest Sticky Boards Extra Strong Multi-Use Boards Sticky Catcher Effective for Home Household Outdoor Indoor Garage Garden
