rating,title,body
5,Add meat.,Put a chunk of chicken on a string suspended into the trap. At first I used grape juice with the packet lure. 10 'jackets in 2 days. Added meat. 50 'jackets in the next 24 hours. Add meat for better trapping.
5,Attracts great numbers of wasps,We hung the trap from a shepherds hook 20' from the nests. In a few days the trap was full. It's easy to clean out and rebait. Use protein in the Spring and sugar syrup in the Fall
5,Attracts great numbers of wasps,We hung the trap from a shepherds hook 20 ‘ from the nests. In a few days the trap was fullIt’s easy to clean out and rebait. Use protein in the Spring and sugar syrup in the Fall
5,Bait Works Well,"This trap replaces an Oak Stump brand yellowjacket trap that finally broke during a storm. Oak Trap isn't made any longer, but I prefer the shape of their trap (much larger -- at least 6"" in diameter), and it seemed to attract more wasps and yellowjackets. However, this trap does work. The bait also works well, but is expensive to replace. Homemade solution can also be used."
5,Best Bait/Trap Ever.,I used two of these on a hunting trip last week where we were inundated with yellow jackets. The first clue to how effective this would be was when one of my friends snipped open a corner of the cellophane pouch that the bait was in and he was mobbed with yellow jackets before he could pour it into the trap. The traps would fill up 3/4 of the way in just a couple of hours. I have probably 4 or 5 different brands of yellow jacket traps and this one is by far the most effective ones I've ever used. I am so impressed that I bought more of the BioCare bait to use in my other brands of traps as well. I did not purchase this from Amazon because I was a long ways from home and needed it right away so I bought them at a hardware store in the nearest town. I wouldn't hesitate to recommend this trap to anyone with a yellow jacket issue.
5,but this turns out to be an amazing product. In two days,"I was skeptical, but this turns out to be an amazing product. In two days, we have caught over 50 yellow jackets. It does not seem to attract bees, which is good. I highly recommend it. My one suggestion is that the company provide a more sturdy wire to hang it up with."
5,Deserves six stars!,"WOW! This is hands-down the most effective yellow jacket trap I've ever used. They swarmed it within 60s of me placing it, and it had a dozen caught/killed within 5 minutes. I'd post a picture of the contents but they come so frequently to it it's not safe. The attached photo shows the inside of the trap after just one day."
5,Five Stars,Works well. Will use it for many years.
5,Great Trap,"We bought 4 of these to try since we have bad yellow jacket problems. I mixed it according to directions and used 3 tbsp of sugar. It definitely smells after you use the bee food that comes in it, so be careful not to spill it. One thing I would suggest is to use something sturdier to hang it. It comes with little twist ties that go through the lid, but I would use something else. My husband drilled an extra hole in the top of our lids and I used zip ties to hang them. I didnt want to risk them falling. We have had them up about a week and we have caught tons of wasps."
5,It really works great,"This worked great, when I checked on it the day after I put it out. It had a lot (20 ish) yellow jackets in it. Now my kids are able to play outside and I dont have to worry about them getting stung."
5,Very selective kill,"Use next to my bee hives - catch almost zero honeybees, but does catch a lot of yellow jackets."
5,Wasp and yellow jacket killer,Does what it's suppose to.
5,Where to get refills? Product is great but can't find refills!,Had great success with product keeping yellow jackets and wasps away from my hummingbird feeder. Just can't seem to find refills for the trap.
5,Works for us,"First of all the lid does not always hold so we run a string through the access holes at the side and loop the string up and tie it that way. This keeps the lid from falling off. You also need to follow the lure directions completely, using some apple juice, tuna or chicken, and a couple of drops of dish soap along with the lure packet that is included. We have used these for years and they work great for us. We do live in the same area where these are made. I have done side by side tests with another brand to see the yellow jackets choosing the BioCare traps over the other brand."
5,Works great!,Worked great! Finally had a bug-free dinner on our outdoor patio. We were astonished when we opened the top of the container and saw how many bugs had actually been lured to their demise.
5,Works!,Works!
5,Yellow Jackets Be Gone!,"This is a very effective product! While I recognize that wasps are beneficial for killing garden pests and generally leave them to do their thing, this year they would not leave the monarch larvae on my milkweed alone. They killed at least seven of them in one afternoon and I resorted to mosquito netting and this product to protect the rest. I put it out 3 days ago and there are already at least a dozen dead wasps in it. I plan to set out more milkweed for the 4th generation egg lay in September/October and just ordered more bait to see me through into fall. So, if you're looking for a non-toxic, refillable, and reasonably priced way to practice wasp control, I don't think you can do much better than BioCare."
