Display Order,Product Details,ASIN,Segment,URL,Marketplace,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
28,"Mixa Panthenol Skin Soothing Cream with Panthenol, Care Cream for Dry, Sensitive and Neurodermatitis-Prone Skin, Wound Healing Cream for Redness and Itching, Panthenol Comfort, 400 ml",B0BPSWK6Y5,Cream,https://www.amazon.de/dp/B0BPSWK6Y5?psc=1,DE,https://m.media-amazon.com/images/I/71KX5HBOqmL._SY355_.jpg,Mixa,5.82,"6,491","6,491","3,000","48,685.50","48,620.50",183,92,AMZ,3.95,2,4.6,"2,121",11,94,Amazon,Beauty,Small Parcel,AMZ,8.90 x 8.50 x 8.80 cm,0.45,N/A,"Dec 12, 2022",,No,40,Amazon
7,"Kanzy Jojobaöl Kaltgepresst 100% Reines Gold, 120ml für Haut, Haare und Nägel, Gesichtsöl und Körperöl, Vegan & Hexanfrei, Jojobaöl, Anti-Falten, Natürliche Intensiv Feuchtigkeitspflege",B07BYPW7LZ,Check,https://www.amazon.de/dp/B07BYPW7LZ?psc=1,DE,https://m.media-amazon.com/images/I/51p2piuFXSL._SX450_.jpg,KANZY,9.93,"16,916","4,497",N/A,"149,760.56","47,571.80",185,9,N/A,3.83,1,N/A,N/A,9,678,,,Extra Large Envelope,FBA,13.90 x 5.05 x 5.10 cm,0.23,N/A,"Mar 8, 2021",,No,61,
86,"La Roche Posay Regenerating Eye Cream for Allergy-Prone Eye Areas, Soothes Redness and Itching, with Niacinamide, Neurosensins and Sphingobioma, Toleriane Dermallergo Eyes, 20 ml",B09DPFXM6C,Cream,https://www.amazon.de/dp/B09DPFXM6C?psc=1,DE,https://m.media-amazon.com/images/I/51HXMkWyHUL._SX342_.jpg,La Roche-Posay,19.99,"2,124","2,124","1,000","42,414.53","42,394.06",178,606,AMZ,5.78,1,4.5,"1,606",12,73,Amazon,Beauty,Large Envelope,AMZ,10.30 x 3.50 x 3.70 cm,0.04,N/A,"Oct 29, 2021",,No,54,Amazon
144,"La Roche Posay Face Cream, for Allergy-Prone Skin, Reduces Redness, with Sphingobioma and Neurosensine, Fragrance-Free and Alcohol-Free, Dermallergo Cream, Toleriane, 40 ml",B09DPGJC3B,Cream,https://www.amazon.de/dp/B09DPGJC3B?psc=1,DE,https://m.media-amazon.com/images/I/613NuWl9+nL._SX342_.jpg,La Roche-Posay,21.58,"1,956","1,956",N/A,"41,943.74","41,934.13",172,"5,380",AMZ,6.28,1,4.7,"2,397",7,130,Amazon,Beauty,Large Envelope,AMZ,14.00 x 3.40 x 3.70 cm,0.06,N/A,"Feb 20, 2025",,No,14,Amazon
136,"CeraVe Moisturising Cream for Body and Face, with Pump Dispenser, Cream for Dry to Very Dry Skin, with Hyaluronic and 3 Essential Ceramides, 454 g",B0853C7CFQ,Cream,https://www.amazon.de/dp/B0853C7CFQ?psc=1,DE,https://m.media-amazon.com/images/I/51jzMorS7rL._SX342_.jpg,CeraVe,17.85,"2,315","2,315","1,000","41,390.55","41,372.47",146,257,AMZ,6.08,1,4.6,"7,629",8,106,Amazon,Beauty,Small Parcel,AMZ,11.28 x 9.00 x 9.20 cm,0.53,N/A,"Feb 18, 2020",,No,74,Amazon
21,"Eucerin AtopiControl Soothing Light Balm 400 ml, Basic Skin Care for Dry and Atopic Skin, Moisturising Body Cream with Ceramides and Licochalcone A",B07YTKM7PN,Cream,https://www.amazon.de/dp/B07YTKM7PN?psc=1,DE,https://m.media-amazon.com/images/I/61bIwDuN4xL._SX342_.jpg,Eucerin,18.31,"1,686","1,686",900,"34,998.50","34,997.16",147,886,AMZ,6.69,10,4.6,743,6,24,,Beauty,Extra Large Envelope,AMZ,20.80 x 5.70 x 8.80 cm,0.43,N/A,"Oct 7, 2019",,No,78,
27,"Bi-Oil Skin Care Oil, Special Care Product for Scars and Stretch Marks 125 ml",B00KWCQHZ8,Check,https://www.amazon.de/dp/B00KWCQHZ8?psc=1,DE,https://m.media-amazon.com/images/I/61eZ758cYQL._SY355_.jpg,Bio-Oil,12.56,"2,128","2,128","1,000","31,813.42","31,792.04",77,437,AMZ,5.66,1,4.5,"12,757",8,41,Amazon,Beauty,Extra Large Envelope,AMZ,14.80 x 4.40 x 4.50 cm,0.15,N/A,"Jul 1, 2012",,No,165,Amazon
44,Cicaplast Baume B5+ Balm,B00ST2GSRK,Cream,https://www.amazon.de/dp/B00ST2GSRK?psc=1,DE,https://m.media-amazon.com/images/I/61QrwyZDC4L._SX342_.jpg,La Roche-Posay,7.88,"5,015","3,765",N/A,"49,716.58","30,760.49",24,44,AMZ,3.28,1,4.7,"20,622",9,789,Amazon,Beauty,Large Envelope,AMZ,12.15 x 3.20 x 4.75 cm,0.05,N/A,"Jul 26, 2015",,No,129,Amazon
16,"Dexeryl Creams, 1 piece",B008KL09BG,Cream,https://www.amazon.de/dp/B008KL09BG?psc=1,DE,https://m.media-amazon.com/images/I/51tMuhLqAWL._SY355_.jpg,DEXERYL,19.76,"1,908","1,722",900,"34,096.49","30,693.80",23,599,IT,6.12,5,4.7,"3,109",8,36,FARMACIA ONLINE SHOP,Beauty,Extra Large Envelope,FBA,23.10 x 5.50 x 5.80 cm,0.56,#2,"Jul 14, 2012",,No,165,FARMACIA ONLINE SHOP
64,"Allergika Med Eyelid Cream 15ml Fast Relief from Redness, Flaking and Skin Dryness",B08HCPH5T6,Cream,https://www.amazon.de/dp/B08HCPH5T6?psc=1,DE,https://m.media-amazon.com/images/I/61-fXFWuBuL._SX342_.jpg,Allergika,20.97,"1,323","1,323",500,"30,661.39","30,654.98",82,"2,105",N/A,7.82,3,4.5,373,6,4,St. Bernward Apotheke,Beauty,Large Envelope,MFN,8.80 x 3.40 x 3.60 cm,0.02,N/A,"Sep 3, 2020",,No,67,St. Bernward Apotheke
8,#NAME?,B07H3B8J76,Cream,https://www.amazon.de/dp/B07H3B8J76?psc=1,DE,https://m.media-amazon.com/images/I/71DcCH+LuiL._SY355_.jpg,Evolsin,14.24,"1,685","1,792",900,"28,026.15","29,834.02",131,"1,828",DE,3.04,2,4.1,"2,826",8,N/A,Evolsin,Health & Personal Care,Extra Large Envelope,FBA,14.30 x 4.20 x 4.50 cm,0.07,N/A,"Sep 16, 2018",,No,91,Evolsin
131,"Linola Forte Skin Milk - 1 x 200 ml - Intensive Nourishing Cream Against Itching with 24-Hour Effect | Body Lotion for Dry, Irritated or Neurodermatitis Prone Skin | Helps from the First Use",B09QJJPR3C,Cream,https://www.amazon.de/dp/B09QJJPR3C?psc=1,DE,https://m.media-amazon.com/images/I/71XK+oLiIAL._SY355_.jpg,Linola,21.34,"1,621","1,621",N/A,"29,409.41","29,404.09",190,"3,018",N/A,7.61,6,4.5,507,4,23,,Beauty,Extra Large Envelope,MFN,20.50 x 5.40 x 6.40 cm,0.23,N/A,"Jan 16, 2022",,No,51,
28,"CeraVe Schäumendes Reinigungsgel für Gesicht und Körper, Feuchtigkeitsspendend und hautstärkend, Für normale bis fettige Haut, Mit Hyaluron und 3 essenziellen Ceramiden",B0CRSJ46YD,Check,https://www.amazon.de/dp/B0CRSJ46YD?psc=1,DE,https://m.media-amazon.com/images/I/51g5iT018ML._SX342_.jpg,CeraVe,18.29,"4,633","1,548","1,000","82,980.10","28,664.76",168,135,AMZ,6.16,1,4.6,"101,254",9,"1,072",Amazon,Beauty,Extra Large Envelope,AMZ,21.20 x 4.60 x 9.20 cm,0.65,N/A,"Feb 16, 2024",,No,26,Amazon
29,"frei öl Body Shaping Oil, firming body oil, anti-cellulite effect, all skin types and sensitive skin, pharmacist quality, climate-neutral certified, microbiom-friendly, vegan, 1 x 125 ml",B01LYTJSQ5,Check,https://www.amazon.de/dp/B01LYTJSQ5?psc=1,DE,https://m.media-amazon.com/images/I/71e1ReL770L._SY355_.jpg,frei öl,13.38,"2,080","1,862","1,000","30,465.59","26,714.50",186,946,AMZ,5.17,6,4.5,"2,391",9,12,Amazon,Beauty,Large Envelope,AMZ,14.40 x 3.70 x 7.00 cm,0.19,N/A,"Sep 15, 2016",,No,115,Amazon
10,"BIODERMA Atoderm Shower Oil - Soothing and Irritation-Relieving Cleansing - Instant Wellbeing and 24 Hours Moisturising - Sensitive, Very Dry to Irritated Skin - Pump Bottle 1 L",B00ZY65OSI,Wash,https://www.amazon.de/dp/B00ZY65OSI?psc=1,DE,https://m.media-amazon.com/images/I/615ZenpkpGL._SY355_.jpg,Bioderma,17.43,"1,265","1,265",600,"25,527.75","25,521.45",177,"1,215",DE,6.47,22,4.7,"30,203",8,269,DermoBox,Beauty,Small Parcel,FBA,21.50 x 7.80 x 10.50 cm,1.17,N/A,"Aug 27, 2015",,No,128,DermoBox
51,"bedrop Propolis Cream for Acne, Neurodermatitis (High Dose Ointment) - 60 g Propolis Cream with Beeswax & Grape Seed Oil (60 g)",B0BDDNK31J,Cream,https://www.amazon.de/dp/B0BDDNK31J?psc=1,DE,https://m.media-amazon.com/images/I/71n9rOLBGcL._AC_SY355_.jpg,bedrop,19.9,"1,378","1,263",600,"31,468.99","25,110.64",127,"1,364",DE,7.4,1,4.4,836,8,15,bedrop #natürlichbiene,Beauty,Extra Large Envelope,FBA,6.10 x 5.60 x 5.70 cm,0.16,#3,"Sep 7, 2022",,No,43,bedrop #natürlichbiene
37,"CeraVe Feuchtigkeitsspendendes Reinigungsöl, Intensive und langanhaltende Feuchtigkeit für normale bis sehr trockene Haut, Reinigung für Körper und Gesicht, mit 3 essenziellen Ceramiden",B0967LDZ7R,Wash,https://www.amazon.de/dp/B0967LDZ7R?psc=1,DE,https://m.media-amazon.com/images/I/51mYBrdKYkL._SX342_.jpg,CeraVe,15.25,"2,182","1,628",800,"32,053.21","24,906.85",185,775,AMZ,6.44,1,4.6,"10,232",6,158,Amazon,Beauty,Extra Large Envelope,AMZ,18.80 x 4.80 x 8.40 cm,0.54,N/A,"Jul 22, 2021",,No,57,Amazon
55,"CeraVe Schäumendes Reinigungsgel für Gesicht und Körper, Feuchtigkeitsspendend und hautstärkend, Für normale bis fettige Haut, Mit Hyaluron und 3 essenziellen Ceramiden",B07C5XD33D,Wash,https://www.amazon.de/dp/B07C5XD33D?psc=1,DE,https://m.media-amazon.com/images/I/51bpB2xMIrL._SX342_.jpg,CeraVe,16.98,"4,633","1,569",N/A,"82,980.10","24,293.60",168,135,AMZ,5.97,5,4.6,"101,254",10,979,Amazon,Beauty,Extra Large Envelope,AMZ,18.70 x 4.70 x 8.70 cm,0.54,N/A,"Apr 13, 2018",,No,96,Amazon
31,"The Ordinary Glucoside Foaming Cleanser, Mild Foaming Face Wash for All Skin Types, Including Sensitive Skin, 150 ml",B0BYQ45N7W,Wash,https://www.amazon.de/dp/B0BYQ45N7W?psc=1,DE,https://m.media-amazon.com/images/I/41uPO7xf-qL._SX342_.jpg,The Ordinary,10.5,"2,039","2,039","1,000","23,320.41","23,302.55",116,874,AMZ,5.9,1,4.7,"2,507",6,274,Amazon,Beauty,Large Envelope,AMZ,19.30 x 3.70 x 7.10 cm,0.18,N/A,"Mar 16, 2023",,No,37,Amazon
46,"Eubos skin calm cream 50ml for sensitive and dry skin of children and babies, dermatologically approved",B000V3MHY8,Cream,https://www.amazon.de/dp/B000V3MHY8?psc=1,DE,https://m.media-amazon.com/images/I/71kUfOsRMzL._SY355_.jpg,EUBOS,12.95,"5,169","1,753",N/A,"78,169.47","22,686.15",103,32,AMZ,5.36,5,4.6,706,9,24,Amazon,Baby Products,Extra Large Envelope,AMZ,13.30 x 4.20 x 4.30 cm,0.07,N/A,"Jun 12, 2008",,No,214,Amazon
30,"Sorion Repair Cream - for psoriasis, neurodermatitis, dry skin and eczema for intensive skin care (50 g)",B00IFZEBSE,Check,https://www.amazon.de/dp/B00IFZEBSE?psc=1,DE,https://m.media-amazon.com/images/I/715B3MZAeTL._AC_SY355_.jpg,Sorion,19.08,"3,918","1,136",400,"83,843.98","22,367.51",104,225,N/A,5.73,9,4.3,"14,420",6,29,Amazon,Beauty,Large Envelope,MFN,16.70 x 3.10 x 3.40 cm,0.06,N/A,"Dec 31, 2008",,No,208,Amazon
30,Eubos Skin Rest,B000V3PZ0Q,Cream,https://www.amazon.de/dp/B000V3PZ0Q?psc=1,DE,https://m.media-amazon.com/images/I/71lad5JZoCL._SY355_.jpg,EUBOS,14.19,"5,169","1,323",700,"78,169.47","22,125.41",15,32,AMZ,5.95,8,4.7,"1,162",9,0,Amazon,Baby Products,Extra Large Envelope,AMZ,17.70 x 4.40 x 5.40 cm,0.15,N/A,"Jun 12, 2008",,No,214,Amazon
95,"La Roche Posay Lipikar Balm AP+Max Body Lotion, Replenishing Body Cream for Dry Skin Prone to Atopic Dermatitis, Strengthens the Microbiome, Reduces Itching and Tension, 400 ml",B0FTFQB5YF,Cream,https://www.amazon.de/dp/B0FTFQB5YF?psc=1,DE,https://m.media-amazon.com/images/I/61DWK5LAQVL._SX342_.jpg,La Roche-Posay,23.77,947,947,400,"21,639.66","21,636.36",176,"13,517",N/A,7.66,3,4.5,53,1,35,Amazon,Beauty,Extra Large Envelope,FBA,20.10 x 5.40 x 5.70 cm,0.45,N/A,"Sep 29, 2025",,No,7,Amazon
51,La Roche Posay La Roche PosayLipikar AP + M Balm Moisturising Cream 400 ml,B0849KTG44,Cream,https://www.amazon.de/dp/B0849KTG44?psc=1,DE,https://m.media-amazon.com/images/I/61p-I45AJAL._SX342_.jpg,La Roche-Posay,29.29,942,942,N/A,"21,029.77","21,029.64",74,"8,242",AMZ,7.81,1,4.6,"1,830",9,40,Amazon,Beauty,Extra Large Envelope,AMZ,20.10 x 5.50 x 5.70 cm,0.45,N/A,"Jan 17, 2020",,No,75,Amazon
42,"La Roche-Posay Lipikar Eczema Med Acute Cream for Fast Relief of Eczema Symptoms in Eczema Eczema, Support for the Natural Microbiome of the Skin, 30 ml",B09LDBLS9T,Cream,https://www.amazon.de/dp/B09LDBLS9T?psc=1,DE,https://m.media-amazon.com/images/I/61CKNNHEIvL._SX342_.jpg,La Roche-Posay,22.88,994,994,300,"21,032.01","21,027.65",152,"4,696",N/A,6.85,1,4.4,345,8,21,,Beauty,Extra Large Envelope,MFN,10.90 x 4.20 x 4.40 cm,0.07,N/A,"Oct 18, 2021",,No,54,
118,"Linola Face - 2 x 50 ml | Face Cream for Dry, Sensitive and Neurodermatitis Prone Skin | Medical Face Care without Microplastics",B0B3S6NF9M,Cream,https://www.amazon.de/dp/B0B3S6NF9M?psc=1,DE,"https://m.media-amazon.com/images/I/616-V-98lLL._SY355_PIbundle-2,TopRight,0,0_SX322SY355SH20_.jpg",Linola,29.98,698,698,N/A,"20,922.93","20,915.82",128,"2,966",N/A,7.92,3,4.6,175,3,6,,Beauty,Extra Large Envelope,FBA,21.50 x 5.50 x 17.60 cm,0.15,N/A,"Jun 10, 2022",,No,46,
58,Rosaliac Gel MICELLARE 195 ml,B00R0LU78W,Check,https://www.amazon.de/dp/B00R0LU78W?psc=1,DE,https://m.media-amazon.com/images/I/51zgmpmJMfL._SX342_.jpg,La Roche-Posay,15.65,"1,260","1,260",500,"20,864.79","20,853.22",29,"1,400",AMZ,6.38,1,4.7,744,1,20,Amazon,Beauty,Extra Large Envelope,AMZ,18.30 x 4.10 x 4.10 cm,0.24,N/A,"Nov 17, 2014",,No,137,Amazon
7,"Naissance almond oil, sweet, 1 litre.",B007MCXGO6,Check,https://www.amazon.de/dp/B007MCXGO6?psc=1,DE,https://m.media-amazon.com/images/I/71PcxQ1+gZL._AC_SY355_.jpg,Naissance,12.42,"2,182","1,528","1,000","31,738.38","20,622.76",37,329,GB,6.03,1,4.6,"48,190",7,122,naissance ®,Beauty,Standard Parcel,FBA,22.20 x 12.60 x 16.70 cm,0.97,N/A,"Jun 11, 2012",,No,166,naissance ®
22,"La Roche-Posay Lipikar Shower and Bath Oil AP+ Replenishing Shower Gel - Bath Oil for Itchy, Dry and Sensitive Skin 1L",B0DJPB34JN,Wash,https://www.amazon.de/dp/B0DJPB34JN?psc=1,DE,https://m.media-amazon.com/images/I/516Q-7YP6ML._SY445_.jpg,La Roche-Posay,17.79,767,767,400,"20,243.82","20,239.48",118,"2,052",PT,7.33,3,4.7,496,1,20,Amazon,Beauty,Small Parcel,MFN,22.40 x 8.70 x 8.80 cm,1.14,N/A,"Oct 12, 2024",,No,18,Amazon
44,"CeraVe Creme-zu-Schaum Reinigung, Feuchtigkeitsspendende Reinigungscreme, Für normale bis trockene Haut, Entfernt Schmutz und Make-up, Mit Hyaluron und Ceramiden",B0DG8WX9ZK,Check,https://www.amazon.de/dp/B0DG8WX9ZK?psc=1,DE,https://m.media-amazon.com/images/I/61y+Y0We6mL._SX342_.jpg,CeraVe,16.39,"1,681","1,214",700,"26,574.84","19,878.03",161,"1,066",AMZ,5.88,1,4.5,"8,733",9,76,Amazon,Beauty,Extra Large Envelope,AMZ,18.90 x 4.80 x 8.80 cm,0.56,N/A,"Aug 14, 2024",,No,20,Amazon
36,"Eucerin AtopiControl Gesichtscreme, 50 ml [Badartikel]",B00G1IA63G,Cream,https://www.amazon.de/dp/B00G1IA63G?psc=1,DE,https://m.media-amazon.com/images/I/61l-8LHtKEL._SX342_.jpg,Eucerin,17.7,994,994,400,"19,879.02","19,872.67",54,"1,763",N/A,5.78,16,4.5,939,7,4,A+ eCom,Beauty,Large Envelope,FBA,13.20 x 3.20 x 4.30 cm,0.06,N/A,"Oct 9, 2013",,No,150,A+ eCom
21,Kanzy Rose Hip Oil Organic Cold Pressed 100% Pure Rosehip Oil Wild Rose Oil for Skin Hair Nails Facial Oil Body Oil Vegan Hexane Free Rose Hip Seed Oil Anti-Ageing Anti-Wrinkle Natural 120 ml,B07BYMJMJZ,Check,https://www.amazon.de/dp/B07BYMJMJZ?psc=1,DE,https://m.media-amazon.com/images/I/81kvJ-wzhlL._SX355_.jpg,KANZY,8.49,"16,916","2,046","1,000","149,760.56","19,439.16",191,10,GB,4.71,1,4.5,"34,328",6,742,KANZY,Beauty,Extra Large Envelope,FBA,13.80 x 5.10 x 5.20 cm,0.23,N/A,"Jun 21, 2018",,No,94,KANZY
115,Galderma Excipial Protect Protective Complex 500ml,B00E67IZLE,Check,https://www.amazon.de/dp/B00E67IZLE?psc=1,DE,https://m.media-amazon.com/images/I/61HfnXd2ZQL._SY355_.jpg,Excipial,20.65,757,757,300,"19,048.36","19,042.53",50,"3,532",AMZ,8.08,5,4.5,486,7,5,Amazon,Beauty,Small Parcel,AMZ,16.00 x 8.30 x 8.50 cm,0.55,N/A,"Dec 17, 2008",,No,208,Amazon
13,"BABOR Hy-Oil Cleanser for All Skin Types, Care Oil for Daily Facial Cleansing, Makeup Remover, Vegan Formula with Vitamin E, 1 x 200 ml",B0BPSLD51J,Check,https://www.amazon.de/dp/B0BPSLD51J?psc=1,DE,https://m.media-amazon.com/images/I/51LzH5jmu2L._SX342_.jpg,BABOR,16.5,"1,042","1,042",N/A,"18,849.37","18,845.57",135,"1,476",AMZ,5.9,1,4.6,"1,955",5,12,Amazon,Beauty,Extra Large Envelope,AMZ,19.41 x 4.90 x 5.69 cm,0.26,N/A,"Dec 31, 2022",,No,40,Amazon
23,Neutrogena Hydro Boost Water Gel Moisturiser,B082VPVQZS,Check,https://www.amazon.de/dp/B082VPVQZS?psc=1,DE,https://m.media-amazon.com/images/I/61BZ8POV1iL._SY355_.jpg,Neutrogena,4.16,"3,788","3,788","2,000","18,751.99","18,713.96",44,304,AMZ,3.05,5,4.6,"5,719",7,59,Amazon,Beauty,Extra Large Envelope,AMZ,18.60 x 4.10 x 4.20 cm,0.25,N/A,"Jan 15, 2020",,No,75,Amazon
20,"SEBAMED Fresh Shower 400 ml, Shower Gel for Sensitive and Stressed Skin, Long-Lasting Fresh Feeling, Moisturises the Skin with Amino Acids and Allantoin, for Men and Women",B0FJFD8HDX,Wash,https://www.amazon.de/dp/B0FJFD8HDX?psc=1,DE,https://m.media-amazon.com/images/I/41cd1yKwqFL._SY355_.jpg,Sebamed,3.77,"3,810","3,939","2,000","17,908.99","18,517.31",171,173,AMZ,4.38,1,4.8,169,5,23,Amazon,Beauty,Extra Large Envelope,AMZ,17.00 x 4.30 x 9.50 cm,0.46,N/A,"Jul 22, 2025",,No,9,Amazon
26,SKIN1004 Madagascar Centella Light Cleansing Oil (200 ml),B0CZTT9JXV,Check,https://www.amazon.de/dp/B0CZTT9JXV?psc=1,DE,https://m.media-amazon.com/images/I/51aIyQjJ4NL._SY355_.jpg,SKIN1004,18.19,"1,895",980,600,"30,693.81","18,374.93",57,783,N/A,5.89,6,4.5,"12,363",8,382,dashausdepot,Beauty,Extra Large Envelope,FBA,16.10 x 5.40 x 5.50 cm,0.24,N/A,"Apr 4, 2024",,No,24,dashausdepot
139,"Mixa Urea Balm with 40% Glycerin, Urea and Allatoin, Repairing, Moisturising, for Very Dry, Cracked Skin on Elbows, Knees, Feet & Hands, 10 in 1 Urea Cica Repair+, 150 ml",B0CPTBBQJR,Cream,https://www.amazon.de/dp/B0CPTBBQJR?psc=1,DE,https://m.media-amazon.com/images/I/71+e76JuKTL._SX355_.jpg,Mixa,5.84,"2,557","2,557","1,000","17,769.99","17,744.28",170,459,AMZ,N/A,6,4.7,"1,105",12,35,Amazon,Beauty,Extra Large Envelope,AMZ,9.00 x 4.70 x 8.90 cm,0.2,N/A,"Dec 8, 2023",,No,28,Amazon
