Product Details,ASIN,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
Protect Home Immediate and long-lasting crawling insecticide with deltamethrin,B01IDLJQQG,https://www.amazon.es/dp/B01IDLJQQG?psc=1,https://m.media-amazon.com/images/I/61wlHci4RfL._AC_SY355_.jpg,PROTECT HOME,11.33,"2,446.92",709,4.4,"1,404","Jul 13, 2016",116
"Protect Home - Insecticide Total Discharge, automatic, 150 ml pack 3",B07P73D7X7,https://www.amazon.es/dp/B07P73D7X7?psc=1,https://m.media-amazon.com/images/I/715-QB7-vbL._AC_SY355_.jpg,PROTECT HOME,21.55,"2,349.74",194,4,"1,631","Mar 1, 2019",84
"Zelnova Zeltia Insecticide Powder | Authorized for Home Use | Effective Against All Types Insects Cockroaches, Bed Bugs, Ants, Fleas | System of Application in Sink| Content 250 g",B00L2IJACS,https://www.amazon.es/dp/B00L2IJACS?psc=1,https://m.media-amazon.com/images/I/71Hhp-lUdxL._AC_SY445_.jpg,Zelnova Zeltia,3.35,"2,287.80",47,4.3,"1,237","Apr 28, 2015",131
"Ultrasonic Pest Repeller, Ultrasonic Mosquito Repellent and Electronic Control, Anti Mice, Flies, Cockroaches, Spiders, Ants, Harmless to Pets and Humans - (4 Pack)",B0G62LXD7G,https://www.amazon.es/dp/B0G62LXD7G?psc=1,https://m.media-amazon.com/images/I/61R+WCO2waL._AC_SY355_.jpg,Queath,19.9,"1,947.28",625,4.7,31,"Jan 31, 2026",2
"Protect Home - Insecticide Total Discharge, Automatic, Old Solfac, 150 ml - Pack of 15 units",B085GLJ29X,https://www.amazon.es/dp/B085GLJ29X?psc=1,https://m.media-amazon.com/images/I/613E+uWkhTL._AC_SY355_.jpg,PROTECT HOME,95,"1,935.19","39,630",4,"1,631","Apr 3, 2019",83
"Set of 48 Cockroach Traps, Roach Products Eliminate, Effective Catch of Cockroaches Against Cockroaches, Green",B0DPM4CTD5,https://www.amazon.es/dp/B0DPM4CTD5?psc=1,https://m.media-amazon.com/images/I/81i1jKkXPGL._AC_SY355_.jpg,FEBCAT Catch,21.99,"1,930.63","1,524",4.1,440,"Dec 5, 2024",15
"MASTERLAC - Cockroaches - Insecticide Against All Types of Crawling Insects - Ants, Spiders, Fleas, Bed Bugs - Larvicidal Action - 1 Year Lasting With One Application - Barrier Effect",B01G5BLS5I,https://www.amazon.es/dp/B01G5BLS5I?psc=1,https://m.media-amazon.com/images/I/61yaMgNuT4L._SX342_.jpg,Masterlac,11.11,"1,857.97",162,4.4,"1,695","May 25, 2016",118
Automatic Total Discharge Insecticide | Eliminates Flying and Crawling Insects in Hard to Access Places | Fast Action in 3 Minutes | Long Lasting | Easy to Use and Effective,B0064FQMHA,https://www.amazon.es/dp/B0064FQMHA?psc=1,https://m.media-amazon.com/images/I/71BRbVpYD0L._AC_SY355_.jpg,PROTECT HOME,7.2,"1,807.37",194,4,"1,631","Nov 8, 2013",148
15 Pieces – Professional Extra Strong Adhesive Cockroach Traps with Food Attractant for Home – No Poison or Biocides – Made in Europe (15 Units),B0BLW2541V,https://www.amazon.es/dp/B0BLW2541V?psc=1,https://m.media-amazon.com/images/I/617dSIY445L._AC_SY355_.jpg,DECEVI,8.99,"1,732.58",294,4.3,500,"Nov 10, 2022",40
"Cucal Insecticide Spray Fulminant Against Cockroaches, Ants and Their Eggs (1 x 750 ml) Insecticide for Crawling Insects Kills and Dries in Seconds, Leaves No Residue",B00L7VHI6K,https://www.amazon.es/dp/B00L7VHI6K?psc=1,https://m.media-amazon.com/images/I/51Pf4Ttnx-L._AC_SY355_.jpg,Cucal,8.99,"1,691.20",481,4.4,249,"Apr 5, 2016",119
"Cucal Insecticide Spray for Cockroaches, Ants and Their Eggs (4 x 400 ml), Insecticide for Crawling Insects, Kills and Dries in Seconds, Leaves No Residue",B088HXB66C,https://www.amazon.es/dp/B088HXB66C?psc=1,"https://m.media-amazon.com/images/I/71KhCprpguL._AC_SX342_PIbundle-4,TopRight,0,0_SH20_.jpg",Cucal,26.34,"1,343.55","1,574",4.4,257,"Apr 29, 2020",71
"COMPO - Insect barrier Insecticide for crawling and flying insects, Sprayer, Shock action up to 3 months, 1000 ml",B00Y2PGA7G,https://www.amazon.es/dp/B00Y2PGA7G?psc=1,https://m.media-amazon.com/images/I/61BaPCVmoUL._AC_SY355_.jpg,Compo,9.95,"1,280.85",677,4.2,663,"May 10, 2016",118
Cockroach Gel Pro 1x10g – Professional Cockroach Killer Gel with Syringe – Professional Cockroach Killer for Pest Elimination – Easy Use – Long Action Up to 4 Weeks,B0F7RWQLVZ,https://www.amazon.es/dp/B0F7RWQLVZ?psc=1,https://m.media-amazon.com/images/I/71iUosKGi1L._SX342_.jpg,Novokill,9.99,"1,044.90",137,4.4,98,"May 7, 2025",10
"Ultrasonic Pest Repeller, 4 Pack Electronic Mosquito Repellent Pest Control, Ultrasonic Mosquito Repellent Anti Flies, Mice, Insects, Ants, Spiders",B0GQLPTFV5,https://www.amazon.es/dp/B0GQLPTFV5?psc=1,https://m.media-amazon.com/images/I/61eUtVNweRL._AC_SY355_.jpg,RUTIDA,22.69,998.18,"1,309",5,16,"Mar 5, 2026",0
"ORO Crawling Insecticide - Against Cockroaches, Ants and Other Crawling Bugs - Action in Seconds and Maximum Efficacy - For Indoor and Outdoor - Permanent up to 1 Year - 750ml",B01IVHH1UU,https://www.amazon.es/dp/B01IVHH1UU?psc=1,https://m.media-amazon.com/images/I/61m840xU4hL._AC_SY355_.jpg,ORO,5.69,990.2,538,4.3,384,"Jul 22, 2016",116
Professional Extra Strong Adhesive Cockroach Traps with Food Attractant for Home – No Poison or Biocides – Made in Europe (30 Traps),B0FWRSGN9W,https://www.amazon.es/dp/B0FWRSGN9W?psc=1,https://m.media-amazon.com/images/I/61amOhHItdL._AC_SY355_.jpg,DECEVI,14.99,956.3,294,4.3,500,"Nov 2, 2025",4
"Paparrin DP 750 g – Masso Insecticide Against All Types of Ants, Bed Bugs, Fleas and Cockroaches.",B0D8181R3R,https://www.amazon.es/dp/B0D8181R3R?psc=1,https://m.media-amazon.com/images/I/51djt3f1ILL._SX342_.jpg,MASSO,10.89,940.31,"1,179",4.3,68,"Jun 21, 2023",33
Professional Extra Strong Adhesive Cockroach Traps with Food Attractant for Home – No Poison or Biocides – Made in Europe (60 Traps),B0FTVWXDZM,https://www.amazon.es/dp/B0FTVWXDZM?psc=1,https://m.media-amazon.com/images/I/61Sl5qFbaGL._AC_SY355_.jpg,DECEVI,28.99,908.54,294,4.3,500,"Oct 11, 2025",5
Set – 15 x 100i Roach Traps + Roach Gel Pro (10 g) – Adhesive Traps and Gel for Cockroaches,B0FZSZXWCJ,https://www.amazon.es/dp/B0FZSZXWCJ?psc=1,https://m.media-amazon.com/images/I/71FSbxrxnzL._SX342_.jpg,Novokill,19.99,828.82,137,4.5,2,"Nov 5, 2025",4
Insectibys insecticide lacquer creeping,B01IP3MDHQ,https://www.amazon.es/dp/B01IP3MDHQ?psc=1,https://m.media-amazon.com/images/I/21TeepU14QL._AC_SY355_.jpg,IbysPro,18.05,729.39,"4,251",4.2,79,"Jul 19, 2016",116
"Flower - Insecticide End Insects Ready to Use 1 Litre | Effective up to 6 Months | Odorless | Indoor and Outdoor Use | Eliminates and Prevents Insects, Multicoloured, 6.5x6.5x25cm, Insecticide",B01EAGUBZI,https://www.amazon.es/dp/B01EAGUBZI?psc=1,https://m.media-amazon.com/images/I/51Yi4lk0hTL._AC_SY355_.jpg,Flower,9.32,669.13,"5,340",4.3,57,"Apr 15, 2016",119
Masso cide ciper100 – Insecticide for Flying and Crawling Insects 250cc,B095K4RKYR,https://www.amazon.es/dp/B095K4RKYR?psc=1,https://m.media-amazon.com/images/I/41Na4k-fmSS._SX342_.jpg,MASSO,10.38,625.09,"1,333",4.1,162,"May 21, 2021",58
Insecticide for sprinkling Permethrin 0.8% 1 kg,B07WSRL4FM,https://www.amazon.es/dp/B07WSRL4FM?psc=1,https://m.media-amazon.com/images/I/61nHhETewVL._SX342_.jpg,Avidust,11,621.94,"8,368",4.4,204,"Aug 19, 2019",79
Remi Hogar XL Cockroach Traps | Natural Pheromone Adhesives No Pesticides | Totally Eco-Friendly Professional Cockroach Killer | Crawling Insect Traps | Easy Installation,B089618S3X,https://www.amazon.es/dp/B089618S3X?psc=1,https://m.media-amazon.com/images/I/71qROkHvUeL._AC_SY355_.jpg,Remi Hogar,23,469.37,"16,992",4.3,104,"May 27, 2020",70
"Crawling Spray - Prevalien Pro - 750 ml - Persistent Effect - Crawling Insects such as Cockroaches, Ants - Safe Use - Made in Spain",B079X4R4RF,https://www.amazon.es/dp/B079X4R4RF?psc=1,https://m.media-amazon.com/images/I/610aDmSWbAL._AC_SY355_.jpg,Goizper Sociedad Cooperativa Ltd,10.76,468.97,"12,503",4.8,15,"Feb 19, 2018",97
NOVAR ECOGEL Cockroach Syringe | Professional Efficacy | Eliminates 50 Cockroaches with a Single Drop | 10g Ecopack,B08CC9JM62,https://www.amazon.es/dp/B08CC9JM62?psc=1,https://m.media-amazon.com/images/I/71ZXi9cMK2L._AC_SX355_.jpg,ECOGEL,7.3,"14,302.87",2,4.5,"4,015","May 11, 2021",58
Cockroach Trap and Syringe Pack | High Efficiency with Maximum Power Attractant Insecticide | Great Annihilating Power (Packing may vary),B0DVH36RRW,https://www.amazon.es/dp/B0DVH36RRW?psc=1,https://m.media-amazon.com/images/I/51APOi97igL._AC_SX355_.jpg,ECOGEL,14.5,"3,503.21",2,4.5,"4,015","Jan 30, 2025",14
Professional Extra Strong Adhesive Cockroach Traps with Food Attractant for Home – No Poison or Biocides – Made in Europe (6 Traps (Big Red)),B0CB1QPMT2,https://www.amazon.es/dp/B0CB1QPMT2?psc=1,https://m.media-amazon.com/images/I/712CHDMzRWL._AC_SY355_.jpg,DECEVI,9.99,0,285,4.3,500,"Jul 3, 2023",32
Professional Extra Strong Adhesive Cockroach Traps with Food Attractant for Home – No Poison or Biocides – Made in Europe (12 Traps (Big Red)),B0CB1R6VF2,https://www.amazon.es/dp/B0CB1R6VF2?psc=1,https://m.media-amazon.com/images/I/71bIGfsZPXL._AC_SY355_.jpg,DECEVI,15.99,0,285,4.3,500,"Jul 3, 2023",32
20 Pieces – Adhesive Cockroach Traps – Environmentally Friendly – Kills Powerful and Professional Roaches – No Poison or Biocidal – Strong Attractive – Wide Field of Effectivity (20),B0CBQRFNJV,https://www.amazon.es/dp/B0CBQRFNJV?psc=1,https://m.media-amazon.com/images/I/71kUMh9aUSL._AC_SY355_.jpg,DECEVI,19.99,425.24,285,4.3,500,"Jul 12, 2023",32
"Insecticide Pump Anti Bed Bugs, Mites, Fleas, Cockroaches, Mosquitos, Ants, Moths… - Indoor Use - Fast and Durable Action - 100ml (1 pc)",B08NPNJ91M,https://www.amazon.es/dp/B08NPNJ91M?psc=1,https://m.media-amazon.com/images/I/51osIx+AhUL._SY445_.jpg,PLAGAS ONLINE,9.9,"1,620.92",529,4,396,"Sep 9, 2018",90
"Insecticide Pump Anti Bed Bugs, Mites, Fleas, Cockroaches, Mosquitos, Ants, Moths… - Indoor Use - Fast and Durable Action - 100ml (6 uds)",B0DTQ27RQF,https://www.amazon.es/dp/B0DTQ27RQF?psc=1,https://m.media-amazon.com/images/I/81O8d6hE4JL._SX342_.jpg,PLAGAS ONLINE,59.9,"1,884.91",529,4,396,"Jan 22, 2025",14
"Insecticide Pump Anti Bed Bugs, Mites, Fleas, Cockroaches, Mosquitos, Ants, Moths… - Indoor Use - Fast and Durable Action - 100ml (12 uds)",B0DTQ4PMW2,https://www.amazon.es/dp/B0DTQ4PMW2?psc=1,https://m.media-amazon.com/images/I/81sybE9ip3L._SX342_.jpg,PLAGAS ONLINE,114.9,894.11,529,4,396,"Jan 22, 2025",14
"Super Ninja Cockroach Traps - Pack of 4, Adhesive Trap with Natural Attractant, Toxic Free Cockroach Killer, Ideal for Home, Kitchen, Garage and Pantry, Lasts up to 3 Months",B0DP2T2Q8Z,https://www.amazon.es/dp/B0DP2T2Q8Z?psc=1,https://m.media-amazon.com/images/I/81dgk9YhiLL._AC_SY355_.jpg,Super Ninja,7.99,308.78,161,3.9,"2,286","Jun 16, 2025",9
"Super Ninja Cockroach Traps - Pack of 24, Adhesive Trap with Natural Attractant, Toxic Free Cockroach Killer, Ideal for Home, Kitchen, Garage and Pantry, Lasts up to 3 Months",B0DP2T83GJ,https://www.amazon.es/dp/B0DP2T83GJ?psc=1,https://m.media-amazon.com/images/I/91SWCFnOoNL._AC_SY355_.jpg,Super Ninja,19.99,"1,090.15",161,3.9,"2,286","Mar 6, 2025",12
"Super Ninja Cockroach Traps - Pack of 60, Adhesive Trap with Natural Attractant, Toxic Free Cockroach Killer, Ideal for Home, Kitchen, Garage and Pantry, Lasts up to 3 Months",B0CW63WZ2L,https://www.amazon.es/dp/B0CW63WZ2L?psc=1,https://m.media-amazon.com/images/I/91-0fjDBu-L._AC_SY355_.jpg,Super Ninja,44.99,"1,137.81",161,3.9,"2,286","Mar 23, 2024",24
"Super Ninja Cockroach Traps - Pack of 12, Adhesive Trap with Natural Attractant, Toxic Free Cockroach Killer, Ideal for Home, Kitchen, Garage and Pantry, Lasts up to 3 Months",B0BQ3DGXQP,https://www.amazon.es/dp/B0BQ3DGXQP?psc=1,https://m.media-amazon.com/images/I/91lgsyyT+7L._AC_SY355_.jpg,Super Ninja,12.99,"3,307.85",161,3.9,"2,286","Dec 15, 2022",39
100 Cockroach Traps - No Poison or Insecticide Safe Trap for Children and Pets - Professional and Home Use - Effective Roach Control at Home - Effective and Durable Adhesive,B0FXRH8B4W,https://www.amazon.es/dp/B0FXRH8B4W?psc=1,https://m.media-amazon.com/images/I/710GRgbuvgL._AC_SY355_.jpg,OYEMAT,25.99,211.53,347,5,15,"Feb 17, 2026",1
Pack of 45 Toxic-Free Adhesive Roach Traps – Safe + Effective Pest Control at Home – Discreet Indoor Cockroach Trap + Durable + Professional | RUPECA,B0FR9FRY4S,https://www.amazon.es/dp/B0FR9FRY4S?psc=1,https://m.media-amazon.com/images/I/61kUP61xgEL._AC_SY355_.jpg,Rupeca,13.99,"2,423.95",295,4.4,267,"Sep 16, 2025",6
Pack of 150 Toxic-Free Adhesive Roach Traps – Safe + Effective Pest Control at Home – Discreet Indoor Cockroach Trap + Durable + Professional | RUPECA,B0GCWGV3NP,https://www.amazon.es/dp/B0GCWGV3NP?psc=1,https://m.media-amazon.com/images/I/616lbjyi+sL._AC_SY355_.jpg,Rupeca,45.99,204.14,295,4.4,267,"Dec 29, 2025",3
Pack of 300 Toxic-Free Adhesive Roach Traps – Safe + Effective Pest Control at Home – Discreet Indoor Cockroach Trap + Durable + Professional | RUPECA,B0GCWGJRWP,https://www.amazon.es/dp/B0GCWGJRWP?psc=1,https://m.media-amazon.com/images/I/61wMINyT3lL._AC_SY355_.jpg,Rupeca,89.99,0,295,4.4,267,"Dec 29, 2025",3
Pack of 21 Toxic-Free Adhesive Roach Traps – Safe + Effective Pest Control at Home – Discreet Indoor Cockroach Trap + Durable + Professional | RUPECA,B0FX3DT3W2,https://www.amazon.es/dp/B0FX3DT3W2?psc=1,https://m.media-amazon.com/images/I/61NiPYx+XBL._AC_SY355_.jpg,Rupeca,8.99,"1,161.62",295,4.4,267,"Oct 20, 2025",5
"Roach Traps 36 Pieces, Green Roach Traps Eliminate, Effective Cockroach Catch",B0F4JSJBRD,https://www.amazon.es/dp/B0F4JSJBRD?psc=1,https://m.media-amazon.com/images/I/81ZPWUdYHiL._AC_SY355_.jpg,FEBCAT Catch,17.99,510.26,"1,508",4.1,440,"Apr 11, 2025",11
"Roach Traps, 20 Pieces Professional Cockroach Traps, Traps for Cockroaches, Anti Cockroaches, Traps for Cockroaches, Suitable for Kitchen, Bedroom, Office, Bathroom, Balcony",B0DSHYFQ9P,https://www.amazon.es/dp/B0DSHYFQ9P?psc=1,https://m.media-amazon.com/images/I/71GNeWj+aSL._AC_SY355_.jpg,DAZZTIME,9.99,233.08,"1,763",4.2,411,"Jan 28, 2025",14
"Professional Cockroach Traps, 20 Pieces Cockroach Traps for Kitchen Bedroom Office Bathroom Balcony",B0D1Q4N9NR,https://www.amazon.es/dp/B0D1Q4N9NR?psc=1,https://m.media-amazon.com/images/I/816PtKgvv0L._AC_SY355_.jpg,DAZZTIME,18.99,94.97,"1,763",4.2,411,"May 13, 2024",22
"Cockroach Traps, 40 Pieces Cockroach Traps for Kitchen, Bedroom, Office, Bathroom, Balcony",B0FNW8LVFD,https://www.amazon.es/dp/B0FNW8LVFD?psc=1,https://m.media-amazon.com/images/I/818tMKrz-mL._AC_SY355_.jpg,DAZZTIME,17.99,507.46,"1,763",4.2,411,"Sep 30, 2025",6
"XL Adhesive Traps for Cockroaches and Bugs, Hazelnut Attractant, Extra Strong Adhesive, No Poison or Biocides, Suitable for Pets and Children, Removes Safely and Effectively (12 Pack)",B0D8GZMJJK,https://www.amazon.es/dp/B0D8GZMJJK?psc=1,https://m.media-amazon.com/images/I/71bIGfsZPXL._AC_SY355_.jpg,DETRAPS,13.99,827.76,"4,049",4.4,88,"Jun 30, 2024",21
"XL Adhesive Traps for Cockroaches and Bugs, Hazelnut Attractant, Extra Strong Adhesive, No Poison or Biocides, Suitable for Pets and Children, Removes Safely and Effectively (48 Count)",B0DY5GJKMS,https://www.amazon.es/dp/B0DY5GJKMS?psc=1,https://m.media-amazon.com/images/I/71Gp2LZDL7L._AC_SY355_.jpg,DETRAPS,41.99,14.34,"4,049",4.4,88,"Feb 26, 2025",13
NOVAR ECOGEL Cockroach Syringe | Professional Efficacy | Eliminates 50 Cockroaches with a Single Drop | 10g Ecopack (ECOGEL),B09BDF1KRD,https://www.amazon.es/dp/B09BDF1KRD?psc=1,https://m.media-amazon.com/images/I/71tik+k0fFL._AC_SY355_.jpg,ECOGEL,7.44,"4,610.5",2,4.5,"4,015","Jul 28, 2021",56
"Preben 230080 Insecticide Lacquer Crawling, Transparent, 6.5x29.5x6.5cm, Packaging May Vary",B00J4JNBBI,https://www.amazon.es/dp/B00J4JNBBI?psc=1,https://m.media-amazon.com/images/I/61mnxWt00ML._AC_SY355_.jpg,Preben,11,"9,480.64","2,092",4.5,"1,532","Jul 4, 2014",140
"Insecticide Pump Anti Bed Bugs, Mites, Fleas, Cockroaches, Mosquitos, Ants, Moths… - Indoor Use - Fast and Durable Action - 100ml (3 uds)",B0DTQ2LRYL,https://www.amazon.es/dp/B0DTQ2LRYL?psc=1,https://m.media-amazon.com/images/I/71rARQIBtOL._SX342_.jpg,PLAGAS ONLINE,34.9,"2,234.13",529,4,396,"Jan 22, 2025",14
Super Pack of 51 Cockroach Traps + Cherry Smell | Ultra Sticky Trap | Anti Cockroach | Best to Eliminate Cockroaches | Professional Insect Trap | Anti Insect,B0DQDHVJHW,https://www.amazon.es/dp/B0DQDHVJHW?psc=1,https://m.media-amazon.com/images/I/71HOaa2tw1L._AC_SY355_.jpg,VITALX,16.99,"5,901.63",288,4.4,193,"Dec 13, 2024",15
"Ultrasonic Pest Repeller, Ultrasonic Rat Repellent for Anti Cockroaches, Flies, Mosquitos, Mice, Spiders, 100% Harmless for Pets and Humans",B0FLX7QG9Y,https://www.amazon.es/dp/B0FLX7QG9Y?psc=1,https://m.media-amazon.com/images/I/61OAZRKfjIL._AC_SY355_.jpg,WUGEIN,18.9,"1,898.31","15,012",3.9,45,"Oct 30, 2025",5
"Pro Ultrasonic Insect Repeller (Original) Repellent Mosquitos, Rodents, Repeller Insects and Cockroaches, Electronic Repellent, Coverage 300 m²",B01K7UJ8XM,https://www.amazon.es/dp/B01K7UJ8XM?psc=1,https://m.media-amazon.com/images/I/612MJbphWIL._AC_SY355_.jpg,Pest Reject,21.99,"1,630.53","1,234",3.5,"1,624","Feb 27, 2017",109
"30 Pieces Cockroach Traps, Professional Cockroach Traps, Traps for Cockroaches, Definitely Eliminate Cockroaches, Suitable for Kitchen, Bedroom, Office, Bathroom Balcony",B0BFWDBV2X,https://www.amazon.es/dp/B0BFWDBV2X?psc=1,https://m.media-amazon.com/images/I/81farAwPACL._AC_SY355_.jpg,DAZZTIME,13.99,520.91,"1,763",4.2,411,"Nov 6, 2022",40
"XL Adhesive Traps for Cockroaches and Bugs, Hazelnut Attractant, Extra Strong Adhesive, No Poison or Biocides, Suitable for Pets and Children, Removes Safely and Effectively (24 Units)",B0DJCCB3XR,https://www.amazon.es/dp/B0DJCCB3XR?psc=1,https://m.media-amazon.com/images/I/71NwDyI7l7L._AC_SY355_.jpg,DETRAPS,22.99,495.02,"4,049",4.4,88,"Oct 3, 2024",17
"6 Pieces Ultrasonic Pest Repeller, Electronic Mosquito Repellent Insects Pest Control, Ultrasonic Repellent Rats for Flies, Mosquitos, Mice, Cockroaches, Spiders, Ants, Insects",B0FR431KLH,https://www.amazon.es/dp/B0FR431KLH?psc=1,https://m.media-amazon.com/images/I/61mw8jD6d-L._AC_SY355_.jpg,N NORA TWIPS,19.99,"1,169.11",562,4.9,37,"Oct 30, 2025",5
Cockroach Traps 36 Pack Powerful Cockroach Killer Can Be Divided Into 108 Individual Units Anti Professional Eliminate Traps for,B0BQXSYNQQ,https://www.amazon.es/dp/B0BQXSYNQQ?psc=1,https://m.media-amazon.com/images/I/71h3lOsrywL._AC_SY355_.jpg,Stingmon Trap,17.99,"1,157.22","9,961",4.2,67,"May 24, 2023",34
"20 Pieces (2x10) Cockroach Control Adhesive Board for Cockroach Monitoring in Kitchen, Living Room, Home or Office (No Insecticidal Ingredients)",B0BGDB1KG7,https://www.amazon.es/dp/B0BGDB1KG7?psc=1,https://m.media-amazon.com/images/I/81HRTc+H1AL._AC_SY355_.jpg,XIANGLONGY,9.98,"1,085.57","1,642",4.4,507,"Jun 28, 2023",33
"Insecticide Total Discharge 250ml | Insecticide Pump Larvicide, Ovicidal and Adulticidal | Eliminates Bed Bugs, Fleas, Ticks, Cockroaches and Other Insects | Household Use Fogger",B0FZWNV75X,https://www.amazon.es/dp/B0FZWNV75X?psc=1,https://m.media-amazon.com/images/I/41k-3nJsUyL._SX342_.jpg,SCQ Soluciones con Química,18.99,929.07,"1,432",5,4,"Nov 4, 2025",4
24 Pieces Cockroach Traps Sticky Trap Cockroach Catcher for Kitchen and Living Room,B07XMK3YWB,https://www.amazon.es/dp/B07XMK3YWB?psc=1,https://m.media-amazon.com/images/I/71RN2yZR-EL._AC_SY355_.jpg,Fullsexy,16.99,634.56,"2,057",3.9,641,"May 6, 2020",70
Pack of 30 Cockroach Traps + Manual | Ultra Sticky Cockroach Trap | Anti Cockroach | Insect Traps | Mouse Traps | Professional Insect Trap | Cockroach Traps,B0G7HJXXX9,https://www.amazon.es/dp/B0G7HJXXX9?psc=1,https://m.media-amazon.com/images/I/71siDANdhaL._AC_SY355_.jpg,VITALX,6.99,562.19,"2,039",5,11,"Jan 20, 2026",2
Veddelholzer XXL 2 in 1 Divisible Cockroach Trap with Integrated Bait Attractant 30 Units Effective Trap Against All Types of Cockroaches No Poison,B0FWRQ1BQW,https://www.amazon.es/dp/B0FWRQ1BQW?psc=1,https://m.media-amazon.com/images/I/817kVqGYExL._AC_SY355_.jpg,Veddelholzer,11.95,433.34,"25,674",4.3,89,"Jan 17, 2026",2
"Kills Cockroaches and Ants Definitely | Insecticide Lacquer 500ml | Invisible Protective Barrier | 1 Year Insect Free | Contains Cannula for Cracks and Drains | Spiders, Ticks, Bed Bugs, Mites",B0FKBDXBXB,https://www.amazon.es/dp/B0FKBDXBXB?psc=1,https://m.media-amazon.com/images/I/61e3pmHpatL._SX342_.jpg,PLAGAS ONLINE,18.9,392.48,"5,241",4.5,6,"Nov 29, 2016",112
