Product Details,ASIN,URL,Image URL,Brand,Price  £,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
"Ultrasonic Pest Repeller 4 Pack, Insect Control, Spider Repellent, Plug in Indoor Mouse Deterrent, Anti Moths, Ants, Bed Bugs, Fleas, Cockroaches, Flies, Spider, Wasp (Classic 4 Pack)",B0B8VR5J3X,https://www.amazon.co.uk/dp/B0B8VR5J3X?psc=1,https://m.media-amazon.com/images/I/51MT3bq4oxL._AC_SY355_.jpg,EcoMyLife,28.88,"2,024.51","4,120",3.8,711,"Sep 3, 2022",42
"Roshield Pest Proofing Air Brick Mesh Vent Cover | Mouse Insect Rodent Control Prevention x 10 (Dark Grey, Standard)",B09MDH19N2,https://www.amazon.co.uk/dp/B09MDH19N2?psc=1,https://m.media-amazon.com/images/I/81isWRw+lVL._AC_SY355_.jpg,Roshield,54.04,"1,998.34","6,377",4.6,256,"Nov 23, 2021",52
"Zero In Ant & Crawling Insect Killer – 300 ml, Fast Acting Aerosol Formulation Kills Ants on Contact and Stops Them Coming Back, Effective Against Woodlice, Cockroaches, Earwigs, and Other Crawling Insects",B007R2FAR2,https://www.amazon.co.uk/dp/B007R2FAR2?psc=1,https://m.media-amazon.com/images/I/514XzyoMNcL._AC_SY355_.jpg,Zero In,5.19,"1,933.31","2,601",4.5,744,"Mar 3, 2010",192
Insect Killer One Shot Insect Fogger | Professional Strength Automatic Release Fogger for Effective Control of All Flying and Crawling Insects 150ml (VERSION 2),B0BQJCNJND,https://www.amazon.co.uk/dp/B0BQJCNJND?psc=1,https://m.media-amazon.com/images/I/81dtK7otKNL._SX342_.jpg,InsectoKil,18.49,"1,716.31","11,653",3.9,372,"Dec 19, 2022",39
"Spear & Jackson Smoke Bomb Fogger, 2 x 4.55g, For Effective Control Of All Flying and Crawling Insects",B0FFMT7SCM,https://www.amazon.co.uk/dp/B0FFMT7SCM?psc=1,https://m.media-amazon.com/images/I/71nvltaksFL._SX342_.jpg,Spear & Jackson,15.6,"1,679.31","18,634",4.6,9,"Jun 26, 2025",9
"3x Ant Killer Powder for Indoor and Outdoor Use Strongest Ant Killer for Lawns, Home, Garden to Kill Ants, Cockroaches, Woodlice, Earwigs and Crawling Insects",B09TLHWB9S,https://www.amazon.co.uk/dp/B09TLHWB9S?psc=1,https://m.media-amazon.com/images/I/71bdajWitnL._SX342_.jpg,SuperGift.com,11.55,"1,662.42","2,971",4.3,781,"Feb 28, 2022",49
"Carpet Beetle Traps – 20 Pack | Sticky Indoor Glue Boards for Carpet Beetles, Larvae & Other Crawling Insects | Non-Toxic Pest Control Trap & Monitor for Closets, Storage Areas, and More",B0FK353FP4,https://www.amazon.co.uk/dp/B0FK353FP4?psc=1,https://m.media-amazon.com/images/I/81ymaCKIuhL._AC_SY355_.jpg,ECOPEST,20.22,"1,575.20","4,686",3.3,64,"Feb 28, 2026",1
"RepellShield Crawling Insect Repellent Spray - Natural Peppermint Oil Power, Pet-Safe, Non-Staining Pest Control for Spiders, Ants & Cockroaches, Use Indoors & Outdoors -500ml-",B0F6VH1JHH,https://www.amazon.co.uk/dp/B0F6VH1JHH?psc=1,https://m.media-amazon.com/images/I/617QlPs7ONL._AC_SY355_.jpg,RepellShield,23.11,"1,407.57","6,834",4,"2,383","May 30, 2025",10
"12x Ant Killer Powder for Indoor and Outdoor Use Strongest Ant Killer for Lawns, Home, Garden to Kill Ants, Cockroaches, Woodlice, Earwigs and Crawling Insects",B0GRCY57GQ,https://www.amazon.co.uk/dp/B0GRCY57GQ?psc=1,https://m.media-amazon.com/images/I/71lOSSBd+uL._SX342_.jpg,SuperGift.com,32.35,"1,399.44","2,972",4.3,781,"Mar 5, 2026",0
"Zero In Total Indoor Insect Killer – Knockdown Action for Indoor Flying & Crawling Insects, – Low Odour, Stain-Free Bug Spray - Suitable for Home – 300ml",B00EE3C1IS,https://www.amazon.co.uk/dp/B00EE3C1IS?psc=1,https://m.media-amazon.com/images/I/716fer9GsdL._AC_SY355_.jpg,Zero In,5.77,"1,322.79",881,4,"9,289","May 25, 2013",154
Insecto Mini Smoke Bomb 3.5g 120m (Packaging may vary),B00VCBZ006,https://www.amazon.co.uk/dp/B00VCBZ006?psc=1,https://m.media-amazon.com/images/I/51kKavsd-2L._SX342_.jpg,Insecto,6.38,"1,194.45","6,948",3.7,282,"Mar 28, 2015",132
"Nippon Ant Killer Powder, Up To 6 Months Control, Indoor And Outdoor Use, Fast Acting, Kills On Contact, Suitable For Cockroaches, Beetles, Earwigs, Silverfish And Woodlice- 500G",B000TAW39M,https://www.amazon.co.uk/dp/B000TAW39M?psc=1,https://m.media-amazon.com/images/I/718GS0eMBHL._AC_SY355_.jpg,Vitax Ltd,9.23,"1,170.36",69,4.5,"4,544","Jul 9, 2007",224
"Diatomaceous Earth Powder Duster Pest Control Natural Insecticide Powder Bed Bug Killer, Mites Flea & Tick, Ant Killer, Crawling Insect Solution Non-Toxic DE Feed Grade (500g)",B0F2G1NYQ1,https://www.amazon.co.uk/dp/B0F2G1NYQ1?psc=1,https://m.media-amazon.com/images/I/71L9KzbMhBL._SX342_.jpg,Pure Source Nutrition,8.08,"1,053.61","5,438",4.3,87,"Mar 25, 2025",12
"Zero In® Silverfish & Crawling Insect Killer Powder -150g, Instant, Long-Lasting, Non-Staining, Odourless Silverfish and Crawling Insect Treatment and Repellent for the Home",B0DGTQZRWL,https://www.amazon.co.uk/dp/B0DGTQZRWL?psc=1,https://m.media-amazon.com/images/I/61gJesuLiHL._SY445_.jpg,Zero In,5.77,935.93,"1,758",4.2,143,"Sep 12, 2024",18
Insecto Smoke Bombs - Mini 3.5g (pack of 6),B01M673QVG,https://www.amazon.co.uk/dp/B01M673QVG?psc=1,https://m.media-amazon.com/images/I/71HT+iJO1JL._AC_SY355_.jpg,Insecto,18.83,918.14,"21,628",4.1,"1,017","Oct 31, 2016",113
"ENTOEND Crawling Insect Glue Traps | Pack of 30 | Sticky Indoor Spider Catcher | Easy to Use Adhesive Paper Trap to Catch Spiders, Bedbugs, Carpet Beetles, Silverfish, Cockroaches and Other Insects",B0FFHQ6TH9,https://www.amazon.co.uk/dp/B0FFHQ6TH9?psc=1,https://m.media-amazon.com/images/I/51A3BqeM31L._AC_SY355_.jpg,Hockley International,11.55,905,"6,345",4.2,66,"Jul 22, 2025",8
"Super Ninja Cockroach Traps for Indoors – 4 Pack, Cockroach Control for Indoor Infestation, Safe & Toxin-Free Trap with Food Attractant, Nature-Friendly Pest Solution for Home, Garage & Shed",B0DP2T2Q8Z,https://www.amazon.co.uk/dp/B0DP2T2Q8Z?psc=1,https://m.media-amazon.com/images/I/81pi0aC3+rL._AC_SY355_.jpg,Super Ninja,6.68,"1,182.71","1,571",4.1,"2,289","Jun 25, 2025",9
"Super Ninja Cockroach Traps for Indoors – 24 Pack, Cockroach Control for Indoor Infestation, Safe & Toxin-Free Trap with Food Attractant, Nature-Friendly Pest Solution for Home, Garage & Shed",B0DP2T83GJ,https://www.amazon.co.uk/dp/B0DP2T83GJ?psc=1,https://m.media-amazon.com/images/I/81b-2yR0dEL._AC_SX355_.jpg,Super Ninja,20.17,"1,036.62","1,571",4.1,"2,289","Nov 26, 2024",16
"Super Ninja Cockroach Traps for Indoors – 60 Pack, Cockroach Control for Indoor Infestation, Safe & Toxin-Free Trap with Food Attractant, Nature-Friendly Pest Solution for Home, Garage & Shed",B0CW63WZ2L,https://www.amazon.co.uk/dp/B0CW63WZ2L?psc=1,https://m.media-amazon.com/images/I/81Z+Tw0ChiL._AC_SX355_.jpg,Super Ninja,46.23,425.64,"1,571",4.1,"2,289","Apr 2, 2024",23
"Super Ninja Cockroach Traps for Indoors – 12 Pack, Cockroach Control for Indoor Infestation, Safe & Toxin-Free Trap with Food Attractant, Nature-Friendly Pest Solution for Home, Garage & Shed",B0BQ3DGXQP,https://www.amazon.co.uk/dp/B0BQ3DGXQP?psc=1,https://m.media-amazon.com/images/I/81Y3mIaPWxL._AC_SX355_.jpg,Super Ninja,13.34,"7,728.84","1,571",4.1,"2,289","Dec 15, 2022",39
"NOPE! CP Cockroach Killer Spray (500ml) Odourless, Strong, Contact Killer for home use.",B09SQ19RZZ,https://www.amazon.co.uk/dp/B09SQ19RZZ?psc=1,https://m.media-amazon.com/images/I/71Wk5z6+VzL._AC_SY355_.jpg,NOPE!,13.48,"1,457.5","10,335",3.4,147,"Jun 13, 2022",45
"NOPE! CP Cockroach Killer Spray (5L) Odourless, Strong, Contact Killer for Home use.",B0B1QM16RD,https://www.amazon.co.uk/dp/B0B1QM16RD?psc=1,https://m.media-amazon.com/images/I/81TrwqdC9YL._AC_SY355_.jpg,NOPE!,24.07,"1,099","49,500",3.6,61,"May 19, 2022",46
"Smart Cockroach Trap x 15, Sticky Strong Glue Cockroach Trap with Food Bait, Roach Indoor Trap, Kraft Eco-Friendly & Natural Catcher for Crawling Insects, Alternative for Cockroach Killer",B08GKZWCCB,https://www.amazon.co.uk/dp/B08GKZWCCB?psc=1,https://m.media-amazon.com/images/I/81+MOOrUxDL._AC_SY355_.jpg,Pestmatic,15.32,"1,081.65","52,382",4.2,503,"Aug 24, 2020",67
"Roach Repellent and Bait, 16 Pcs Cockroach Repellent and Gel for Roach Nest Elimination of Indoor Infestations, Effective Solution for Small to Large Cockroaches, Ideal for Hidden Areas, Ready to Use",B0G1K5D892,https://www.amazon.co.uk/dp/B0G1K5D892?psc=1,https://m.media-amazon.com/images/I/81iELcZ+d4L._SX342_.jpg,NaturePell,7.7,"1,066.19","12,925",1.7,6,"Nov 9, 2025",4
"Roach Bait - Cockroach Killer Indoor Infestation, Roach Traps Cockroach Bait Gel, Get Rid of Roaches Permanently Indoor Home & Outdoor Infestation, Cockroaches Repellent Killer (48)",B0FPQ3T8NB,https://www.amazon.co.uk/dp/B0FPQ3T8NB?psc=1,"https://m.media-amazon.com/images/I/81njUncXBUL._AC_SY355_PIbundle-48,TopRight,0,0_SH20_.jpg",Jawell,12.51,112.68,"17,503",3.6,18,"Sep 4, 2025",6
Cockroach 60ml,B007P6C3J8,https://www.amazon.co.uk/dp/B007P6C3J8?psc=1,https://m.media-amazon.com/images/I/71yVZrHDxEL._AC_SX355_.jpg,Pest Tech Gel,26,891.97,"24,818",4.2,504,"Mar 27, 2012",168
"Cockroach Killer, 2PCS Cockroach Trap, Cockroaches Gel, Cockroaches Killer Gel Bait, Cockroachs Killers Bait, Roach Trap Master, Cock Eliminator Gels, for Toilet Bedroom Kitchen",B0FHD1Q879,https://www.amazon.co.uk/dp/B0FHD1Q879?psc=1,"https://m.media-amazon.com/images/I/61LEVqOubrL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",BAOSROY,15.4,554.92,"9,130",4.4,9,"Jul 12, 2025",8
"Cockroach Killer Gel Bait, Powerful Cockroachs Gel, Cockroachs Killer Bait, Roach Trap Master, Cock Eliminator Gels, for Toilet Bedroom Kitchen, 2PCS",B0FRLBHZD8,https://www.amazon.co.uk/dp/B0FRLBHZD8?psc=1,"https://m.media-amazon.com/images/I/71UcUDNic7L._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",BAOSROY,14.44,73.55,"9,130",4.4,9,"Sep 18, 2025",6
"Cockroach Traps for Indoor, 18 Pack Sticky Roach Traps, Cockroach Bait, Roach Bug Traps for Home, Garage and Shed",B0G645HS5X,https://www.amazon.co.uk/dp/B0G645HS5X?psc=1,"https://m.media-amazon.com/images/I/71ryLTQA9rL._AC_SY355_PIbundle-18,TopRight,0,0_SH20_.jpg",TRIITECH,10.59,497.71,"14,417",4.8,18,"Feb 1, 2026",1
"Cockroach Traps for Indoor, 36 Pack Sticky Roach Traps, Cockroach Bait, Roach Bug Traps for Home, Garage and Shed",B0G649XHHL,https://www.amazon.co.uk/dp/B0G649XHHL?psc=1,"https://m.media-amazon.com/images/I/71weLVTT2CL._AC_SY355_PIbundle-36,TopRight,0,0_SH20_.jpg",TRIITECH,15.4,252.56,"14,417",4.8,18,"Feb 19, 2026",1
"Roach Bait - Roach Traps Cockroach Bait Gel, Cockroach Killer Indoor Infestation, Get Rid of Roaches Permanently Indoor Home & Outdoor Infestation, Cockroaches Repellent Killer (24)",B0FN3QFF4W,https://www.amazon.co.uk/dp/B0FN3QFF4W?psc=1,https://m.media-amazon.com/images/I/81NQPaZfQbL._SX342_.jpg,Jawell,9.62,495.62,"11,884",3.6,26,"Aug 20, 2025",7
Hoy Hoy Trap-A-Roach - cockroach trap - Box of 5,B00YF3THDY,https://www.amazon.co.uk/dp/B00YF3THDY?psc=1,https://m.media-amazon.com/images/I/41e+iAoLbBL._AC_SY355_.jpg,HOY HOY,8.41,596.05,"10,999",4.4,87,"Jan 26, 2018",98
"Cockroach Killer Spray - 1L | Triple-Action Cockroach Repellent | Instant Spot Treatment | Kills Adults, Eggs & Nymphs, Safe for Household Use | Offers Long-Lasting Protection | Kills on Contact",B0CFM6R2QF,https://www.amazon.co.uk/dp/B0CFM6R2QF?psc=1,https://m.media-amazon.com/images/I/71h+6cmVRkL._AC_SY355_.jpg,READY STEADY DEFEND,9.62,476.28,"20,906",3.5,99,"Aug 14, 2023",31
Raid 2 x Ant and Cockroach Killer spray kills most insects long protection,B07NTL97Q1,https://www.amazon.co.uk/dp/B07NTL97Q1?psc=1,https://m.media-amazon.com/images/I/31DWAfV9HwL._SY445_.jpg,Raid,9.16,412.58,"26,742",4.6,127,"Jul 24, 2019",80
"Cockroach Killer Gel Bait, Roach Trap Master, Powerful Cockroach Gel Bait, Bait Cockroach Eliminator, Strong Cockroach Catcher, Cockroach Eliminator Gel, Powerful Cockroach Repellent Insect Roach Killer",B0D14R7MQ3,https://www.amazon.co.uk/dp/B0D14R7MQ3?psc=1,https://m.media-amazon.com/images/I/718B27TppHL._AC_SY355_.jpg,GNAUMORE,13.48,383.57,"57,822",4,23,"Apr 8, 2024",23
"Cockroach Smoke Bomb 4 Pack - Fast-Acting Formula, Comprehensive Coverage, Non-Staining, for Home Use, Effective Against All Insects",B0DP5B3QX7,https://www.amazon.co.uk/dp/B0DP5B3QX7?psc=1,https://m.media-amazon.com/images/I/81Fi7Ubx8rL._SX342_.jpg,READY STEADY DEFEND,14.44,376.24,"43,919",3,36,"Mar 22, 2023",36
"Zero In ZER958 Anti-Bacterial Ant & Cockroach Killer, 500ML",B08N5C6H6M,https://www.amazon.co.uk/dp/B08N5C6H6M?psc=1,https://m.media-amazon.com/images/I/51gMYnekn3L._AC_SY355_.jpg,Zero In,2.79,307.02,"4,252",4.2,142,"Nov 10, 2020",64
Pest Expert Formula C+ Cockroach Killer Spray 5L - Maximum Strength Treatment & Control - with Free Trigger Hose Sprayer,B085S1KX82,https://www.amazon.co.uk/dp/B085S1KX82?psc=1,https://m.media-amazon.com/images/I/71Ah67VHpFL._SX342_.jpg,Pest Expert,35.6,278.77,"47,285",4,43,"Jun 25, 2015",129
"OFFCUP 36PCS Cockroach Killer, Powerful Roach Bait for Indoor Use, Pet-Friendly Cockroaches Bait Gel, Cockroach Gel Bait for Medium Against Cockroaches, Crickets, Bread Beetle",B0FYML3GB3,https://www.amazon.co.uk/dp/B0FYML3GB3?psc=1,https://m.media-amazon.com/images/I/61lhCUMz7vL._AC_SY355_.jpg,OFFCUP,7.21,251.2,"68,084",3,1,"Dec 7, 2025",3
"MEGAROOM Cockroach Traps 10 Pack, Cockroach Control with Bait, Toxin, Odourless and Safe, Nature-Friendly Insect Catcher, Suitable for Kitchen, Garage, Storage Room and Other Place",B0FK9KN7WD,https://www.amazon.co.uk/dp/B0FK9KN7WD?psc=1,https://m.media-amazon.com/images/I/81pZCruHlvL._AC_SY355_.jpg,MEGAROOM,12.39,240.22,"92,603",3.9,7,"Aug 25, 2025",7
SCHÄDLINGSMEISTER ® Cockroach Killer Set - Cockroach Repellent - 6 Cockroach Trap and 2X 10g Cockroach Killer Gel - Effectiveness Proven in Studies - Cockroach Control,B0B1BCXHK7,https://www.amazon.co.uk/dp/B0B1BCXHK7?psc=1,https://m.media-amazon.com/images/I/81FsAlM+q3L._AC_SY355_.jpg,Panteer,28.89,222.29,"48,226",3.9,49,"Mar 23, 2023",36
"Non Toxic and Eco-Friendly Cockroach Traps, Strong Adhesion, Odourless (Pack of 1)",B0B8JJDRTX,https://www.amazon.co.uk/dp/B0B8JJDRTX?psc=1,https://m.media-amazon.com/images/I/71HB-jkiCpL._AC_SY355_.jpg,Pest Control Worldwide,7.31,30.35,"77,727",4.1,44,"Aug 10, 2022",43
"Cockroach Killer Spray - 2 x 1L | Triple-Action Cockroach Repellent | Instant Spot Treatment | Kills Adults, Eggs & Nymphs, Safe for Household Use | Offers Long-Lasting Protection | Kills on Contact",B0GLFR1WJM,https://www.amazon.co.uk/dp/B0GLFR1WJM?psc=1,https://m.media-amazon.com/images/I/71Krsk5dHEL._AC_SY355_.jpg,READY STEADY DEFEND,24.07,216.45,N/A,N/A,0,"Feb 5, 2026",1
