[2*][Terro] ATTRACTED THE FRUIT FLIES, BUT THEY DIDN’T GO INSIDE || The fruit flies just sat on the Apple and never went inside.
[1*][Terro] Just use the home remedy for fruit flies and save 10 bucks. || I thought this would work better than the home remedy of apple cider vinegar in a dish with plastic wrap on top with a few holes. It does not. In fact, it isn't as good. I would not recommend purchasing.
[1*][Terro] Not worth it || Not working for me at all. I’ve put in 3 places and not even one fruit fly killed. Going back to fruit ninja. Highly disappointed. Only thing I liked is the apple decor
[1*][Terro] They don't attract fruit flies or any bug || Added the fluid to all 6 and spread them throughout the apartment. Had them all for 3 days now and NOT 1 has trapped itself into the container. I'll have to add some ketchup and mustard to see if that'll help. If I knew i have to add extra ingredients i wouldn't have bought these. Idk if they go in and come out or not but if I set up my own bowl, put ketchup mustard and apple cider vinegar in it. Put suran wrap over and poke some small holes it works well. I shouldn't have wasted my money on the...
[1*][Terro] Worthless! || Apparently we have smarter fruit flies in Louisiana because it’s been days not and I am still breathing fruit flies! SAVE YOUR MONEY!
[1*][Terro] Don't Waste Your Money || I was excited about these for the fruit flies that have gotten out of control at my apartment. I figured they would work as well as Raid brand ant lures so I got 4 for each room. But they do not work at all and have not caught one single fly. Using apple cider vinegar in a jar with a few drops of dawn dish soap actually works better.
[1*][Terro] Horrible || This does not kill any fruit flys, a huge rip off, do not buy.
[3*][Terro] DEEPLY misleading product title: "270 day lure supply" || Product headline (for 6) says "270 day lure supply". This is false, there is no refill at all. You do not get supplies to run all 6 traps for 270 days each, you get just exactly enough liquid to power each trap once, and you are instructed to throw it away after 45 days (if they last even that long).
[3*][Terro] Works great, but doesn’t last 40 days or close to that || The product itself is simple and works great for fruit flies. I will most likely buy again. However I think the claim of lasts up to 40 days is a hard stretch. Put mine out 7 days ago and it is nearly empty of liquid. Kind of feel scammed by that claim for that price.
[3*][Terro] Bottle arrived empty! || Just received these and one of the bottles had spilled in the box and was completely empty. No time to return and wait for replacement!
[3*][Terro] Fruit fly trap || Easy to set up solution packet included just poor into apple. Some fruit flies do go inside put not the smart ones.
[3*][Terro] They don't seem to TAKE the bait, but just hang out on top of the fake apple. || The traps are not very good at actually trapping the flies. They sort of just lay on top of the trap and sniff the vinegar from above. Maybe reformulate?
[3*][Terro] It's works ok || The TERRO Fruit Fly Traps work okay but not as well as I expected. They definitely catch some fruit flies, especially during the first few days, but the effectiveness seems to drop off pretty quickly. The traps are easy to set up and look nicer than other brands, which is a plus for keeping them on the counter. However, the scent is quite strong, and even though the package says they last up to 180 days, they seem to dry out or lose attraction much sooner. Overall, they’re decent for short-term ...
[3*][Terro] Doesn’t quite do the job. || The problem are the flies are certainly attracted to this, but they won’t get their little behinds in there and die. They’ll just lay about the ones I have trolling me.
[3*][Terro] Easy to use || Takes a while to actually kill the flys most dont even go into the container but ill update a lil longer into the use of the product.
[3*][Terro] Cute butnot spillproof || The little traps are cute, but as I found out this morning, they are easily spilled. Not sure if they're working. I put one in kitchen, bathroom, den, & living room where bugs were bothering me & I still found one or two flying in my face last night. Be careful to keep out of children's reach! I faintly smell the chemicals but not constantly. I don't know if I'd buy again since it's not spillproof. It depends on how well they work. Update: One week later, I still see gnats now & then but they do...
[1*][Super Ninja] Defective packaging || I just opened my package and there’s almost little to no liquid solution in the bottles. This one was the worst of all. Couldn’t even test out if it worked or not :/
[1*][Super Ninja] Worthless || Worthless, not one fruit fly caught in the traps after a week, save your money.
[1*][Super Ninja] Overhyped junk || After weeks of use and replacing once... No flies caught. Overhyped junk. Do not recommend.
[1*][Super Ninja] Worthless || I had these all over my shop for months and they never got one fruit fly. My sticky traps and Zevo were full weekly because these didn’t work and the flies got out of control.
[1*][Super Ninja] Useless..... || These do nothing, don't waste your money! So small, no fly is even mildly interested. I did better just mixing vinegar w/ some dish soap in a jar. There is nothing in my kitchen to attract, but with horrible heat & excessive humidity here in the South they just keep coming. Waiting for colder weather to kill the little suckers!
[1*][Super Ninja] Not effective. || Have had them out for over a week and I haven’t seen any flies in them even tho there are plenty still buzzing around. I have a few sticky traps out and they are catching them like crazy. Will not be buying again.
[1*][Super Ninja] Did not catch one fruit fly || After reading reviews I was so sure that these would work in our household. Unfortunately they did not catch not one fly! Followed the instructions and still had no result. They do stick and the size is small and out of the way but I expected more out of this product.
[1*][Super Ninja] You can make this at home and be more effective . || Save your money. I’ve had two of these out in my kitchen on the counter , not a single fruit fly in it!!! It’s been over two weeks , had to just do it the old fashioned way and mix an old proven home remedy for fruit flies. I do not recommend this product.
[1*][Super Ninja] Didn’t work || Literally not one fruit fly died. Just regular vinegar , water and dawn dish soap was better.
[2*][Super Ninja] Easily busted || Busted all in the packaging.
[2*][Super Ninja] Not worth the money || Put these around our office as we have a lot of trash trucks on site. They barely killed any fruit flies compared to other more potent liquid traps. Sure the mainstream ones have a strong vinegar smell, but they also worked a million times better then these tiny things. Never buying these again
[2*][Super Ninja] Bait doesn't last long. Way to spendy for part of a day. || The attractant worked for maybe 6 hrs if that long.
[2*][Super Ninja] A waste of money! || Did not work! So disappointed with this product it did not work a waste of money.
[2*][Super Ninja] Waste of money || After reading description this one seemed like my best bet. However after being up several days it has not trapped any fruit flies. So I feels like I wasted money on this product.
[2*][Super Ninja] They work, kind of || They did catch fruit flies, just not as many as I would like.
[2*][Super Ninja] Doesn't attract fruit flies || These don't seem to attract fruit flies OR phorid flies. I wouldn't buy these again
[2*][Super Ninja] Not worth it || These are not worth the money. I have better luck with apple cider vinger in a bowl then I did with these
[2*][Super Ninja] Not good || Doesn’t work Still have gnats
[3*][Super Ninja] Works but others work better || Does trap flies, seems to be only be effective for a couple days at most. Have had more success with other brand though.
[3*][Super Ninja] Decent || Does a good job trapping the fruit flies that land inside the container however I feel like because the containers are so small they aren’t attracting as many fruit flies as I hoped. Very easy set up.
[3*][Super Ninja] Works eventually || It worked by not as quickly as I thought
[3*][Super Ninja] They worked ok. Basically, apple cider vinegar. || These are just ok. I had some fruit flies that found their way in on some fruit from a outdoor market. I stuck these near the windows, the fruit bowl, and near my plants. They smell like apple cider vinegar. It took a day or two but they did catch a handful of flies. They are very small and easy to hide but because they are so small they don't catch alot of flies. I ended up buying a little bug fan.
[3*][Super Ninja] I went with something else. || I really wanted to like these. But they just didn't work well for me like they did others. I did catch a few fruit flies but for me they just weren't working. The smell of them wasn't bad. They are small so they can fit in small spaces. They may work for you but they didn't for me.
[3*][Super Ninja] Okay || Just got these today. They smell strongly of vinegar. Very tiny bottles for the price. But thats my fault for not reading. Put them out, have got a few trapped.
[3*][Super Ninja] Would like for product to be bigger in size || Expected that product would be a lot bigger than actual size delivered. Over all it does have some advantage in minimizing the elimination of fruit flys and knats
[3*][Super Ninja] Meh, I Wouldn't Buy Again || The Super Ninja Fruit Fly Traps are just okay. They do catch some fruit flies, so they aren’t completely ineffective, but they don’t attract nearly as many as I expected. Even when I placed them right next to the problem areas, I still saw flies buzzing around that never went near the traps. They’re easy to set up and they do work to a degree, just not as strongly as the product description or other reviews made it seem. Overall, they’re fine in a pinch, but I wouldn’t call them highly effective
[3*][Super Ninja] Customer service will make it right. || ****UPDATE**** Was contacted by customer service and refunded and they are sending a different product to see if they will work better for me. Great customer service. These dont work. I have placed them in 2 locations that have several fruit flies and have not had a single fruit fly caught in over 2 weeks. Do not recommend buying.
[2*][Aunt Fannie's] Waste of money || Doesn’t work any better than anything else, which isn’t saying much
[2*][Aunt Fannie's] I'm beginning to think it's attracting more bugs, rather than eliminating them. || I bought two, and when I open the lid, I get lots of little fruit flies around the jars -- and most especially on the lid rather than inside the jars. It seems to attract more fruit flies than I saw initially. I tend to wonder if flies from elsewhere (outside?) are finding their way inside to get to these little jars. I have cleaned and cleaned, and I can't seem to find a source of these little bugs. I have no fruit sitting out, or any other exposed food. I'm wondering if they're coming from the...
[2*][Aunt Fannie's] There's better options out there. || I had such a bad gnats problem in the house and I was recommended these. As much as I wanted them to work, they barely did anything. I ended up investing is some Zevo lights and those work wonders. No more gnats or flies for that matter.
[2*][Aunt Fannie's] These absolutely do not work! || I bought these because the description on the web site really seemed promising. I put them where we get these damn fruit flys. Bathroom sink, a few areas in the kitchen. The pictures above aren’t good, but there are only 2 out 3 flies in that bottle after over a week. Same with ALL of the bottles I placed. Please- don’t waste your time or money. NOT WORTH IT!!!
[2*][Aunt Fannie's] Just Ok || I've had the product open for two days now and it doesn't work as well as promised. It has attracted some of the fruit flies, but not nearly enough. I got this because I wanted something that was no mess and no touch. I definitely would try a different product if I need help again, which I probably will given the flies I still see.
[2*][Aunt Fannie's] Not Effective || Didn’t work for me. I think I have even more bugs than before! I think the produce inside may work but the opening is narrow. I’m in Texas where these bugs are everywhere so it’s disappointing it didn’t work.
[2*][Aunt Fannie's] More still flying around than dying || I've used Aunt Fanny's ant spray in the past with good results. So I thought, why not try the fruit fly solution for those pesky pests? Well, here's a good reason: it doesn't work very well. Sure, I see some floating in the liquid, but there are at least ten times that are still flying all around my kitchen. Then I decided to try one that sticks to the wall with good reviews. But those fell off the wall and I will return them. So I will buy the ones I should have all along, Terro traps. They wor...
[2*][Aunt Fannie's] Kinda worked mostly didnt || I did not care for the ACV all the time. Also with the completely open lid it was not very accident friendly or capable of keeping a bug in unless it was fully covered in ACV.
[2*][Aunt Fannie's] Waste of money || Doesn’t work any better than anything else, which isn’t saying much
[1*][Raid] Buy some other product || Be careful before opening. When seal is taken off and spills, jar is wide open! How is this safe for children and pets? Of course the ordor is so effensive anyone stays away while the room has the aroma
[1*][Raid] waist of money || This does not work bugs are all around it with no effect.
[1*][Raid] Bad product || It stinks really bad and it does not work maybe one or two flies will fall into the water, but the rest of them are smart enough to just sit around the room or run away
[1*][Raid] What a waste! || I bought both this and the yellow, sticky things that you can put in a plant. I had high hopes because I really wanted to get rid of those annoying little flys. I followed the directions and shook it well. Be careful when you open it because it spits at you like a yogurt. It wasn’t a pleasant smell, very similar to apple cider vinegar. All of that, I was willing to work with. I had it open next to where we have the most flys and after a week, it had only caught maybe 7 of those little pests. The...
[1*][Raid] It's just a small cup of diluted Apple Cider Vinegar. Not very effective. || It's just a small cup of diluted Apple Cider Vinegar. Not very effective. Quite a bit of a rip-off.
[1*][Raid] It's just Apple Cider Vinegar in a Cup? || Well, I can honestly say I'm shocked at this one. I'm pretty sure this is just Apple Cider Vinegar in a cup. I could've bought an entire quart at the store and made my own traps with 20oz bottles for a fraction of the cost, but here we are. Pros: - well I guess I didn't have to build traps Cons: - There's no lid. Unlike other traditional traps, this is just wide open, so don't knock it over. - Pretty sure it's just ACV in a container, so for the price, it's not really worth it - Haven't caught a...
[1*][Raid] Does not work || I have a problem with fruit flies in my house. They are all over the kitchen area. This has been sitting on the counter next to the bananas for 5 days. Fruit flies all around it but there's zero in it. Doesn't do anything. Just in the way.
[1*][Raid] Waste of money || Terrible. Don't waste your money. It attracts them alright but it doesn't kill them. Waste of money and it stinks horribly.
[1*][Raid] No || I paid 7.00 for a small jar of apple cider vinegar. Needless to say I'm unhappy, do not buy. It's been opened on my counter for 24 hrs with not one gnat. Update 48 hrs 1 gnat and the rest are hanging out around the jar laughing at me.
[3*][Raid] Good product || Worked pretty good and killed the couple I had, just hard to set out if you have pets or kids.
[3*][Raid] Ok product b || This product was OK. The fruit flies are just not so good to get to and this is very better than home remedies, but it really didn’t do too much for me.
[3*][Raid] Works for small amount of flies. Not alot || Killed some but still tons flying around it not landing
[3*][Raid] Strong smell, not as effective as you'd like || Seemed to help rid the fruit flys but the smell was hardly worth it.
[3*][Raid] Not worth it || If you are considering purchasing these to try, I would advice don't. Basically all this is, is a jar of apple cider vinegar that has likely been sweetened. They did work pretty well, but no better than a homemade solutions of ACV with sweetener added to it. At the price of $6 and something a jar, I'll just buy the bottles of ACV and make my own solution.
[3*][Raid] Combo || Does a great job of attracting them but a lot of the gnats just don’t land. I put a yellow sticky trap (sold on Amazon in a 54 pack) inside the jar and it greatly increased the catch.
[3*][Raid] Strong "rotten" odor || This stuff stinks, do not spill it!
[3*][Raid] Didn’t work as well as expected || Apple cider vinegar with dawn worked way better. I bought this hoping the smell wouldn’t be as strong but equally or more effective at getting rid of fruit flies. It was neither.
[3*][Raid] Works great… for a very short time. || Works great for about 3 days and then the flies just sit on the edge of the container and don’t go into the liquid. Definitely doesn’t last (at full strength) for 21 days.
[1*][Aunt Fannie's] Didn't work for me AT ALL || I have several fruit flies around the spyder plants in my kitchen (and near a counter at the other end of the kitchen where I have bananas hanging). I bought this with high hopes... but no go. Initially I opened the bottle, placed it between two plants and gave it a few days. Nothing. I then poured it into four small shallow open containers and placed three around all the plants and one near the bananas. Five days later, only 1 fruit fly ended up in any of the containers (I think it got in there...
[1*][Aunt Fannie's] Boooooo Boooooo 👎🏾 || If I could rate this zero stars or negatives stars I would!!!! This sucks I have a fruit fly infestation I have let this out and the flies are going nowhere near it. It’s literally nothing but apple cider vinegar I coilda bought a bottle cheaper . I WANT MY MONEY BACK
[1*][Aunt Fannie's] Waste of money. || High priced vinegar. Didn't work for me. Very dissapointed. I usually never take the time to write a review, but this product was so bad. A week went by and just one fruit fly. Another week and still nothing. They don't even seem to go near it. Not worth the risk of accidently spilling the contents, due to open container. Unbelievable how some people love it.
[1*][Aunt Fannie's] Does not work at all || This didn’t work at all. I left it out for several weeks and it didn’t do anything. There isn’t really a trap, it’s just a bottle of vinegar, with a fully open flip top lid, that the gnats can fly in and out of. I feel like this was a complete waste of money and time. It needs a better design as there isn’t a way to actually trap the bugs.
[1*][Aunt Fannie's] Charging for 12 bottles and sending just 1 bottle || Ordered the 12 pack for $80 and received just one bottle. Requested a replacement and received one bottle instead of 12 again despite a charge for a 12 pack
[1*][Aunt Fannie's] Save your money. || Ineffective -- we recently had an issue with fruit flies and this product didn't do its job. Better luck with homemade solution of water, vinegar, and dish soap. Also found sticky traps worked.
[1*][Aunt Fannie's] Total failure || sadly they do not work - don't know why but I was hoping this took care of my problem but not happening - going back to my local hardware store to get the ones that have worked in the past and these are going back to Amazon
[1*][Aunt Fannie's] Does not work at all! || We had a lot of fruit flies upon returning from vacation. We tried these traps and caught only two flies with them in two weeks! The jars do not have any way to trap the flies, the lid is wide open, and this is a flaw of design. If the lid had smaller holes in it, the flies would get trapped in there. The flies fly into these traps and do not stay there--whatever is in it does not attract or kill them. We got rid of our fruit flies using yellow sticky glue traps and other liquid fruit fly traps ...
[1*][Aunt Fannie's] Not worth it || I purchased this item due to a recommendation by several websites. I had a MUCH better experience catching fruit flies with a home remedy than this product. I tried it in different areas of the kitchen and only caught one. The home remedy caught the large majority of the flies we were struggling with. The home remedy was apple cider vinegar and a drop of dish soap. I learned through trial-and-error that a shot glass works best instead of a bowl. I assume the steeper sides of the glass helped cat...
[2*][Raid] It is a hit or miss product. || This is a hit or miss product. It did not work for me at all. It's a cheap alternative but you risk not having the results you want. Strong vinegar smell. Wouldn't recommend.
[2*][Raid] Great start… then … sad face || I do not usually write reviews on products but felt compelled due to my disappointment in this. First- I have had this massive amount of fruit flies that have appeared out of nowhere. I ordered this, as I thought the reviews were great. When first opened, as other products said- wow! That is a strong odor that is not terribly welcoming. But I was thinking that I was more than willing to deal with it if it meant that I was fruit fly free. Sadly, those pesky bugs seemed to have outsmarted the trap...
[2*][Raid] Smell is Strong and Spreads || It makes your whole house smell like vinegar with a hint of sweetness. The smell is very strong and spread throughout the entire house overnight. I had to close it up and run a fan to get rid of the smell. It only caught one gnat overnight, even though there was a light trap in the same room plugged into an outlet (Zevo) that had just caught over 50 gnats in the previous 48 hours.
[2*][Raid] The smell is TERRIBLE || I can't tell you if it works or not because the smell is awful. If you like the smell of vinegar airfreshener, then you'll be ok. The next day after opening it, I put the top back on!
[2*][Raid] Poor design, spills easily! || I was expecting more for the extra money I spent on this Raid product. Like maybe a liquid product that wouldn't spill stuff all over when I opened it. When I unscrewed the lid, Raid had one of those protective plastic coverings over the opening of the jar that you have to peel back by gripping the extra piece of attached material that's supposed to make it easier to peel, but doesn't actually WORK since it's glued on so firmly. Oh well. OK. So I grabbed a sharp knife and carved away the tempora...
[2*][Raid] Fruit fly trapper || Draws little fruit flies. Had out on counter for a week but flies still around
[2*][Raid] Not effective || I bought this with the hopes of catching gnats. It only caught two. I watched the gnats just walk along the rim. I wouldn’t recommend it. I ended up doing baking soda and vinegar in my drain and that worked.
[2*][Raid] Not great. || This was not as effective as advertised. It collected a small amount of fruit flies, but it also served as an attractant that they wouldn't touch. I had it open for 2 weeks and the amount of flies only got worse. At the end of the 2 weeks there were maybe 20 in the jar, and still dozens in the air. As soon as I closed the jar, they were gone in about a day. I would not recommend this item. It also smells awful- if using it indoors, prepare for your house to smell like vinegar-soaked work socks.
[2*][Raid] Just apple cider vinegar in a cup !! || This is nothing more than apple cider vinegar in a cup! You can Google home fruit fly remedies, and they all suggest to put apples cider vinegar in a cup with A drop of dish soap so that the flies sink into the liquid. Once I open this product, it was clear that it is just apple Cider vinegar that you can put in a cup for less than a quarter. Yes, this is effective, but you can make yourself at home. Don’t spend six dollars on this.
[3*][Aunt Fannie's] Worked decent after awhile || Like a lot of reviews have mentioned, I opened this thing up with a decent number of fruit flies around and was having seemingly no success. I went ahead and left it in position near my trash can and after a few days it finally started to catch them. Not sure if they needed time to warm up to it or what, but it works decent these days for a relatively cheap product that doesn't stink up the place TOO bad.
[3*][Aunt Fannie's] Effective but stinky! || Effective, but stinky! Got all the critters quickly, but it stinks up the kitchen with strong apple vinegar smell. I have used others before that did not make such a strong smell. Next time I will just buy the little apple shaped ones. Not a great choice in a house with sensitive nosed people, and the container is quite large, always afraid it will get knocked over.
[3*][Aunt Fannie's] Didn't seem to work as effective? || I didn't feel that this fly trap got rid of all the flies. There were a few at the top, but noticed a lot of flies that managed to avoid being near this item. I have a second one that came with the purchase and will try again next summer if it works. The strong is very pungent fyi.
[3*][Aunt Fannie's] So-so || I really like this product when it works but it seems inconsistent. Some bottles I have purchased catch a zillion fruit flies and other bottles seem to be totally ineffective. Not sure what's happening there. Appreciate that there is no awful smell and the design doesn't both me sitting out in my kitchen.
[3*][Aunt Fannie's] It's trying to work || It attracts the flies, but the lip is perfect for them to have a little snack and not fall in. I watched one fly in yesterday so I know it works. I've removed the lid to see if that is the problem. You could probably make one of these yourself if you wanted to save like 4 bucks considering what you need to make this included.
[3*][Aunt Fannie's] These bugs are literally mocking me || I have little knats in my house and I thought maybe I'd leave the formulating of these traps up to the pros. They have been out now for almost 24 hours, not 1 big captured. Update. I think I have a combined 18 dead. So... I take it back... It does work.
[3*][Aunt Fannie's] Works as well as vinegar and dish soap. || Works as well as dish soap and apple cidar vinegar or regular white vinegar. More expensive than the mentioned method. The container is cool but you could buy one for cheap. Good option is you do not wish to out the ingredients together yourself and pour into a container. I caught two fruit flies with it, my vinegar and dish soap caught three over a 24 hour period. Could be location of containers. I ended up swatting about 10 of them myself. So get a gooe fly swatter. The flies will land in area...
[3*][Aunt Fannie's] 50/50 || Does it work? Yes. Do I still have the same type of flies that I had before? Yes, yes I do. Have I tried moving it around where I see flies? Yes, I have. If I had to guess I have 6 flies/gnats, and the bottle has 3 of them. So I gave it a 3/5 rating for getting me 50% of the flies.
[3*][Aunt Fannie's] Has an effect over time, just not immediately || Smells like an open jar of red vinegar. No film to trap flying insects in the solution, They basically sit on top of the open jar & nothing precludes the insect from flying away. Maybe it intoxicates them & they fall in & drown. Eventually some bugs do wind up dead at the bottom of in the solution. I did notice a significant decrease in the number of small flying insects in 7-10 days; just not an immediate impact. Cats do not like the vinegar smell & leave it alone wherever you put it (off the f...
[3*][HOT SHOT] Not effective in my experience || We tend to get gnats and fruit flies around the kitchen sink, our countertop compost bin, and fruit basket, and we have used a variety of fly traps to control them. I was excited to try these Hot Shot Flying Insect Traps, but so far, I am not seeing a positive effect. First, I was a little concerned about the trap itself. The trap contains a liquid that easily spills, so you have to be careful to place it where it isn't at risk of being knocked over (away from kids and kitties, for example). I p...
[3*][HOT SHOT] Neat idea, but didn't work for me || I feel like giving 3 stars might be a bit generous. I really liked the idea of these fly/bug catcher things, so of course I ordered some immediately. I recently moved to Oklahoma, and the fly situation is dreadful. These arrived on August 11th, and I placed 3 in 3 different rooms, along with my hopes and dreams, too, apparently. Not a single thing has been caught, especially not one of these flies that were sent straight from my darkest of nightmares to annoy and piss me off every second of ever...
[3*][HOT SHOT] They were ok || Didn't work as well as I thought they would.
[3*][HOT SHOT] Its ok || It kind of works and it kind of doesnt. Its all about the placement. They will mostly opt to ignore it over any kind of food nearby but when I put it over the sink it did start nabbing some and it seems to reduce them, which is odd because my zapper would kill nonstop and they would keep appearing yet with this they just arent all over as much in spite of barely catching much. Its is confusing. They are still around though. Id say it is meh, for me. Perhaps others will find better luck but Im go...
[3*][HOT SHOT] Not worth your money || It's vinegar in plastic 😫. Didn't really catch any gnats or flying bugs. I was better off with home remedies.
[3*][HOT SHOT] Worked ok || Worked ok
[3*][HOT SHOT] Fly trap || Smell like vinegar once you open packet. Unsure if it will do what it states. I will check in a couple of days.
[3*][HOT SHOT] Deceptive for children and pets || The box promises that the product is safe around children an pets. Inside the instructions it warns that it is NOT safe around children and pets. It uses a liquid that can spill from the trap if knocked over and expose this toxic liquid to children or pets
[3*][HOT SHOT] Not as effective as i hoped || I got this for gnats and mosquitoes. They fly right by it and don't seem to be attracted to the bait
[2*][HOT SHOT] Dries up to fast || As they are very stylish, I placed them all around the house and the liquid evaporated way to fast, it’s been a week and they are all empty and no flies in them
[2*][HOT SHOT] Didn’t work for me! || I have tried to find places to put them so they dont get knocked over, but can’t find that spot! 3 have been spilled all over my counter! I have yet to see any dead bugs in the liquid, but still see them flying around! I gave them a shot, will not be purchasing again.
[2*][HOT SHOT] Not a great buy || I compared these to the apple shape traps and it was no comparison. These traps have been on the counter for two days longer and have like nothing in them
[2*][HOT SHOT] Not effective for house flies || 2 stars because it is compact and discreet and did arrive. However these have done nothing to help capture/kill/ reduce the house flies. I still have them out, but the house flies are running rampant and they're not effective. Literally only 1 dead fly in the traps.
[2*][HOT SHOT] Trap Doesn't Attract Flies, Spills, Improvement required - Trap Parts Potentially Useful for DIY || Trap Doesn't Catch Flies & Spills Unavoidably! Have been using for over a month - haven't caught a single fly (but have other traps that catch smaller flies just fine). This Trap is really no different from small vinegar based fly traps, but is intended to catch larger flies. The flies are supposed to enter the top grid (should be attracted to the weak detergent mixture inside as it smells like weak vinegar which they like), and are supposed to fall into the dilute detergent mixture in the packe...
[2*][HOT SHOT] Meh || Doesn’t work as advertised
[2*][HOT SHOT] Disapointed || Doesn't attract them enough.
[2*][HOT SHOT] Don’t buy if you want to get rid of fruit flies. || Maybe I just have bad luck but this product, that claims it will kill fruit flies, did not work for me. At all. In fact, I think the little suckers just multiplied while I kept the faith that this product would eventually solve my problem. Again, could just have been my bad luck probably would not buy again. Some Positives - easy to use, no discernible or off-putting smells.
[2*][HOT SHOT] Not impressed || Doesn't work
[1*][HOT SHOT] Not worth the trouble or money || These are not good no bugs were ever found in mine. And they spill easily
[1*][HOT SHOT] These do not work || I set two of these out after following the instruction and removing the foil tab on the inside packet. I have now had them setting out for 2 days and the 2 housefly's I hoped to catch are still alive and well.
[1*][HOT SHOT] Please use something that REALLY works! Save yourself frustration and further annoyance! || Due to missing garbage day, my cans outside (which are very close to my backdoor) started growing a colony of flies. Some winged adventurers managed to get into my home because I cannot hermetically seal it. Anyway, I tried everything to get rid of them humanely. I bought this in a last ditch effort. Do NOT waste your money. These may attract fruit flies but NOT houseflies. It did not get rid of even 1 fly out of 50ish flies. The clear sticky sheets worked well. Stick with those! (Pun intended!)...
[1*][HOT SHOT] Not one fly caught || We had an issue over the summer with flies - many, many flies and so this was the perfect opportunity to show us if this product worked. When the fly issue was resolved, there was not one fly inside any of these traps. I do not recommend them.
[1*][HOT SHOT] Waste of money || Absolutely useless. The little tubs that hold the liquid are made of the thinnest of plastic, and every single tub was warped, causing it to sit lopsided in the hard case. I spilled some liquid on my hands, and honestly, it just smells like pure vinegar. I mean, maybe there’s some sort of pheromone or chemical in there but it’s not effective. Every summer, the flies are so bad in my area. I’ve had these tubs sitting on my windowsills for three days now. I placed them there because that’s where a...
[1*][HOT SHOT] Zero effect || The inner packs of whatever useless solution they're using are all squashed on one side so they don't sit properly in the holder. Had them out for days where all the flies are and nothing. Meanwhile I poured some cider vinegar and dish soap into a little cup and caught four in one night. Don't waste your money.
[1*][HOT SHOT] Didn't work for me. || I placed them in all the suggested areas of my kitchen. Most of them either dried out or were easily knocked over. The few traps that managed to survive never caught more than 2 or 3 fruit flies.
[1*][HOT SHOT] Don't work || These things don't work at all. I put six out in highly infested areas and didn't catch one fly in 24 hours.
[1*][HOT SHOT] They do not work || My office at work was having a severe fruit fly problem. I bought these and set up four of them on a Friday. I figured a weekend would give the traps some time to work. I just got in my office. Fruit flies zipping around. I checked the traps and not a single fly in the traps!! Big disappointment for me. These just don't work.
[3*][Qualirey] . || It works well but the bottles are so small you run out of product very fast.
[3*][Qualirey] Expensive || Could use acv, much cheaper and does the same
[3*][Qualirey] Low value and not very good at attracting fruit flies. || Did not attract many fruit flies. I also bought the ones shaped like apples, which did a better job.
[3*][Qualirey] Just ok || Nowhere near as good as name brand. Does attract fruit flies and kill them, however when I use name brand they’re attracted and gone within a day. But with this particular one I’ve used them for days on end and still have a few that are flying around. It does reduce the amount I’ve seen, just not enough to consider this as a quality product.
[3*][Qualirey] Probably would not buy again; similar to cider vinegar and more expensive || For us, this did not work any better than cider vinegar for fruit flies.
[3*][Qualirey] Didn’t work as well as others || It just didn’t seem to work as well as the liquid bait that came with my traps. It’s more watery than the other. It worked but just not as well.
[3*][Qualirey] Not as good as Terro || If you’re looking for this to replace the Terro apple refill, it doesn’t work. It attracts some, but not as many as the other brand.
[3*][Qualirey] I don't like it || It does not work well
