Product Details,ASIN,Type,Focus,Treatment Method,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"Neositrin, Pack Spray Gel (60 ml) and Anti-lice Shampoo (100 ml), Complete Removal and Deep Cleansing in 1 Minute, Insecticide-free, from 1 year",B00WUOFQOE,Treatment kit/set,Treatment,Physical / chemical,https://www.amazon.es/dp/B00WUOFQOE?psc=1,https://m.media-amazon.com/images/I/71-d+D5IllL._AC_SY355_.jpg,Neositrín,27.93,130,130,50,"3,038.66","3,037.82",144,"7,514",N/A,9.02,14,4.5,370,7,4,,Beauty,Extra Large Envelope,MFN,13.80 x 5.30 x 12.30 cm,0.27,N/A,"Apr 29, 2015",,No,131,
"Neositrin Post Lice Treatment Shampoo, Deep Clean and Shine, Easily Remove Residues, Hypoallergenic and Insecticide-Free, From 1 Year, 100 ml",B00J5FYKPW,Treatment shampoo,Treatment,Chemical,https://www.amazon.es/dp/B00J5FYKPW?psc=1,https://m.media-amazon.com/images/I/51Yhj8QU0kL._AC_SY355_.jpg,Neositrín,9.09,334,334,N/A,"2,379.47","2,376.72",141,"3,455",AMZ,3.96,7,4.4,529,6,14,Amazon,Health & Household,Extra Large Envelope,AMZ,12.00 x 4.90 x 5.00 cm,0.06,N/A,"Jan 8, 2014",,No,146,Amazon
"FullMarks Anti-Lice Treatment Kit for Children, Eliminates Lice, Contains Lotion 100ml, Post-Treatment Shampoo 150ml and Metal Lendrera",B01BMLRSGO,Treatment kit/set,Treatment,Chemical,https://www.amazon.es/dp/B01BMLRSGO?psc=1,"https://m.media-amazon.com/images/I/71OUMvqpXuL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",Full Marks,24.28,101,85,50,"3,266.14","2,218.15",135,"13,519",ES,7.69,17,4.6,"1,259",9,6,Forsam Parafarmacia,Beauty,Extra Large Envelope,MFN,15.90 x 5.60 x 10.80 cm,0.34,N/A,"Feb 10, 2016",,No,121,Forsam Parafarmacia
Anti-Lice Clinic – Premium Lice Shampoo Combined with High Concentration Lotion for Adults and Children – Effective Dimethicone-Based Treatment with Eucalyptus and Lemon Scent – 2 x 100 ml,B0F38MZBBN,Treatment lotion and shampoo,Treatment,Chemical,https://www.amazon.es/dp/B0F38MZBBN?psc=1,https://m.media-amazon.com/images/I/51PAobD0ipL._AC_SY355_.jpg,HoofdZorg Kliniek,29.5,73,73,50,"2,166.79","2,166.65",188,"12,547",NL,8.27,1,4,35,6,0,HoofdZorg Kliniek,Beauty,Extra Large Envelope,FBA,13.40 x 4.30 x 8.20 cm,0.24,N/A,"Apr 1, 2025",,No,11,HoofdZorg Kliniek
"PRANAROM, Aromapar Flash Treatment Lotion Against Lice and Nits Acts in 5 Mins, 100% Effective, Lavender and Coconut Essential Oil BIO, 100 ml with Comb",B0DJSHZ3BH,Treatment lotion,Treatment,Physical,https://www.amazon.es/dp/B0DJSHZ3BH?psc=1,https://m.media-amazon.com/images/I/61Z7v6bd93L._AC_SY355_.jpg,PRANAROM,15.88,265,136,50,"4,125.69","2,162.86",152,"1,785",AMZ,6.23,9,4.6,105,1,5,Amazon,Beauty,Extra Large Envelope,AMZ,18.60 x 4.40 x 6.30 cm,0.16,N/A,"Oct 10, 2024",,No,17,Amazon
"ANIAN KIDS – Biphasic Tea Tree Conditioner, 250 ml, Ideal for Children, Rinse Free Conditioner for Daily Use, Protects Against Lice, Detangles and Facilitates Styling",B0CBPW3M74,Prevention conditioner,Prevention,,https://www.amazon.es/dp/B0CBPW3M74?psc=1,https://m.media-amazon.com/images/I/61w99YoLBKL._AC_SY355_.jpg,ANIAN,2.99,854,854,N/A,"2,042.09","2,041.01",166,"6,845",AMZ,3.3,1,4.4,183,7,8,Amazon,Beauty,Extra Large Envelope,AMZ,20.80 x 4.10 x 5.20 cm,0.28,N/A,"Jul 12, 2023",,No,32,Amazon
"OTC Antipiojos Permethrin Pack Eliminates Lice and Nits Includes Lotion and Shampoo 125 ml with Permethrin 1.5%, Cap and Lendrera, Suitable from 2 Years",B009M4MI64,Treatment kit/set,Treatment,Chemical,https://www.amazon.es/dp/B009M4MI64?psc=1,https://m.media-amazon.com/images/I/71Y7lgKu0XL._AC_SY355_.jpg,OTC Antipiojos,11.89,357,167,50,"3,763","2,021.44",152,"2,782",AMZ,5.11,17,4.1,262,7,8,Amazon,Beauty,Extra Large Envelope,AMZ,16.50 x 4.50 x 12.00 cm,0.4,N/A,"Oct 5, 2012",,No,161,Amazon
3 in 1 Lice Nit Comb Metal Lice Nit Comb with Magnifier Extra Thin for Kids and Adults Anti-Dandruff Anti-Flea Dog Cat,B06XFWX5K3,Lice comb,Treatment,Physical,https://www.amazon.es/dp/B06XFWX5K3?psc=1,https://m.media-amazon.com/images/I/71dukjxF8NL._AC_SY355_.jpg,Lausinator,9.9,188,188,100,"1,863.17","1,861.14",118,"3,426",DE,2.76,1,4.4,"4,087",7,36,Reblu,Health & Household,Small Envelope,FBA,16.80 x 0.90 x 11.30 cm,0.05,N/A,"Mar 9, 2017",,No,108,Reblu
"Neositrin, Pack Spray Gel (60 ml) and Conditioner (100 ml), Complete Treatment Against Lice and Nits, Removal in 1 Minute and Hair Care, No Insecticides, From 1 Year",B07SSSBHGR,Treatment spray,Treatment,Chemical,https://www.amazon.es/dp/B07SSSBHGR?psc=1,https://m.media-amazon.com/images/I/51sy1Kr9UML._AC_SY355_.jpg,Neositrín,33.49,62,62,30,"1,834.36","1,833.81",165,"10,380",AMZ,8.46,10,4.5,219,7,3,Amazon,Health & Household,Extra Large Envelope,AMZ,15.40 x 5.40 x 14.00 cm,0.28,N/A,"Jun 5, 2019",,No,81,Amazon
"BACTERISAN Detangling Protective Shampoo 250 ml, Protects from Lice and Nits, Daily Use Shampoo with Tea Tree",B0BPCZLPC2,Prevention shampoo,Prevention,,https://www.amazon.es/dp/B0BPCZLPC2?psc=1,https://m.media-amazon.com/images/I/618NnJ8pzcL._AC_SY355_.jpg,BACTERISAN,5.95,269,269,100,"1,598.39","1,595.57",109,"2,929",AMZ,3.71,1,4.6,389,5,24,Amazon,Beauty,Extra Large Envelope,AMZ,18.40 x 4.90 x 5.00 cm,0.28,N/A,"Dec 6, 2022",,No,39,Amazon
Tahe Children's Conditioner with Tea Tree Prevention Lice/Children's Conditioner Kids School Preventive 300 ml,B075KDM9XH,Prevention conditioner,Prevention,,https://www.amazon.es/dp/B075KDM9XH?psc=1,https://m.media-amazon.com/images/I/61dXbzSNyKL._AC_SY355_.jpg,Tahe,12.95,132,132,50,"1,578.60","1,577.47",110,"6,362",N/A,5.25,5,4.4,320,8,1,,Beauty,Small Parcel,MFN,20.10 x 6.20 x 10.70 cm,0.34,N/A,"Sep 12, 2017",,No,102,
100% Natural Tea Tree Lice Repellent – No Pyrethrins or Permethrins – Effective Anti-Lice Treatment for Children with Pleasant Smell and Detangling Effect for Girls Hair,B0FZW1M61S,Treatment lotion,Prevention,Physical,https://www.amazon.es/dp/B0FZW1M61S?psc=1,https://m.media-amazon.com/images/I/71XJJLDZ6HL._AC_SY355_.jpg,Essenciales,9.95,152,152,100,"1,515.66","1,514",169,"3,915",ES,4.13,2,4.5,6,7,4,Essenciales,Beauty,Extra Large Envelope,FBA,14.00 x 5.00 x 5.00 cm,0.12,N/A,"Nov 5, 2025",,No,4,Essenciales
"OTC Antipiojos - Lotion with Permethrin 1.5% to Eliminate Lice in 15 Minutes, Includes Hat + Lendrera - 200 ml",B0CCPBJ6RV,Treatment lotion with comb,Treatment,Chemical,https://www.amazon.es/dp/B0CCPBJ6RV?psc=1,https://m.media-amazon.com/images/I/71kqOrY4gvL._AC_SY355_.jpg,OTC Antipiojos,8.94,357,145,50,"3,763","1,412.30",110,"2,782",AMZ,3.95,12,4.1,262,7,8,Amazon,Beauty,Extra Large Envelope,AMZ,18.00 x 4.40 x 6.80 cm,0.25,N/A,"Jul 24, 2023",,No,32,Amazon
Pranarôm BIO Tea Tree & Lavender Protective Spray 30 ml,B086BB8N14,Prevention spray,Prevention,,https://www.amazon.es/dp/B086BB8N14?psc=1,https://m.media-amazon.com/images/I/61Jj0U5-bhL._AC_SY355_.jpg,PRANAROM,11.18,291,104,50,"4,457.49","1,389.92",55,"2,122",N/A,4.78,15,4.6,106,1,4,Amazon,Beauty,Large Envelope,AMZ,12.00 x 4.00 x 4.00 cm,0.1,N/A,"Mar 23, 2020",,No,72,Amazon
NitNOT Extra Strength Lice Shampoo 200ml Suitable for Children and Adults,B07KWPKKWZ,Treatment lotion,Treatment,Physical,https://www.amazon.es/dp/B07KWPKKWZ?psc=1,https://m.media-amazon.com/images/I/61vbKvMW0RL._AC_SX355_.jpg,Nitnot,24.99,52,52,30,"1,306.81","1,306.15",73,"12,933",GB,7.35,1,4.3,"3,945",7,64,"NitNOT Head Lice, Egg Nit Treatment & Combs",Health & Household,Large Envelope,FBA,19.00 x 3.44 x 5.90 cm,0.23,N/A,"Dec 20, 2018",,No,87,"NitNOT Head Lice, Egg Nit Treatment & Combs"
Paranix Treatment Lotion for Lice and Nits – Includes Lendrera – Insecticide Free – 150 ml,B07B4BC7CK,Treatment lotion with comb,Treatment,Physical,https://www.amazon.es/dp/B07B4BC7CK?psc=1,https://m.media-amazon.com/images/I/71j9jkJ1A6L._AC_SY355_.jpg,Paranix,18.62,54,54,30,"1,012.88","1,012.74",90,"9,481",AMZ,6.64,9,4.1,160,6,0,Amazon,Health & Household,Extra Large Envelope,AMZ,14.20 x 4.80 x 4.80 cm,0.06,N/A,"Feb 5, 2018",,No,97,Amazon
"Suavinex, Anti-lice Shampoo, Protective Shampoo with Tea Tree, Panthenol and Betaine, Protects, Cleanses and Softens Hair, Tested, Suitable for Sensitive and Atopic Skin, Daily Use, +6 Months, 250 ml",B0F2TDVCBT,Prevention shampoo,Prevention,,https://www.amazon.es/dp/B0F2TDVCBT?psc=1,https://m.media-amazon.com/images/I/61G6+kgvGVL._AC_SX355_.jpg,SUAVINEX,11.3,118,89,50,"1,650.99",981.77,199,"7,045",N/A,5.92,5,4.3,21,5,0,Amazon,Beauty,Extra Large Envelope,AMZ,16.90 x 5.00 x 5.00 cm,0.29,N/A,"Mar 28, 2025",,No,12,Amazon
