Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"Antifungal Cream 30 g, To Relieve Itchy Jock Skin, Eczema, Effective Treatment of Athlete's Feet, Soothes Itching, Cream to Relieve Skin Itch in Adults",B0FRSZ94RH,Cream,https://www.amazon.es/dp/B0FRSZ94RH?psc=1,https://m.media-amazon.com/images/I/71h2z6fN5NL._AC_SY355_.jpg,HNYGS-EU,11.99,"1,132","1,132",800,"13,574.33","13,562.86",151,397,CN,5,1,4.4,34,8,9,aifusen,Beauty,Standard Envelope,FBA,11.00 x 2.40 x 4.00 cm,0.04,N/A,"Sep 19, 2025",,No,7,aifusen
"CENTELLIAN 24 Madeca Time Reverse Cream (50ml) - Nourishing and Fast Absorption, Hydrates, Firms and Reduces Wrinkles, Low Irritation, Korean Skin Care",B0DFY92NDB,Other,https://www.amazon.es/dp/B0DFY92NDB?psc=1,https://m.media-amazon.com/images/I/51Pietq1jbL._AC_SX355_.jpg,CENTELLIAN 24,16.3,"1,861","1,861","1,000","34,431.38","34,422.63",151,169,DE,6.29,11,4.6,"3,008",8,587,F Trade GmbH,Beauty,Large Envelope,FBA,15.09 x 3.51 x 5.69 cm,0.07,N/A,"Jan 4, 2026",,No,3,F Trade GmbH
"Rilastil - Xerolact PB Moisturizing Balm Anti-Irritation with Prebiotics, for Dry Fragile or Atopic Skin, Relieves Itching, Intensely Nourishes and Repairs the Skin Barrier - 400 ml",B08R1FQWKH,Cream,https://www.amazon.es/dp/B08R1FQWKH?psc=1,https://m.media-amazon.com/images/I/517XkiRGwjL._AC_SY355_.jpg,Rilastil,17.49,392,370,100,"7,664.21","6,461.21",181,"1,666",AMZ,3.85,28,4.6,"1,362",7,19,Amazon,Beauty,Extra Large Envelope,AMZ,20.40 x 5.30 x 5.50 cm,0.45,N/A,"Dec 10, 2020",,No,64,Amazon
"CETAPHIL Moisturizing Body and Facial Cream for Dry and Sensitive Skin, Hydrates up to 48 Hours, 85G",B08DS9P37M,Cream,https://www.amazon.es/dp/B08DS9P37M?psc=1,https://m.media-amazon.com/images/I/71C33gNvqxL._AC_SY355_.jpg,Cetaphil,7.93,"1,280",346,200,"16,410.72","2,960.26",100,"1,021",AMZ,3.63,7,4.6,"3,406",8,76,Amazon,Beauty,Large Envelope,AMZ,14.80 x 3.90 x 5.30 cm,0.11,N/A,"Jul 28, 2020",,No,69,Amazon
"TALQUISTINA - Moisturizing Cream 400 ml, for Itchy Skin, Daily Use, Long-Lasting Hydration, Protects and Soothes Dryness, Suitable for Sensitive Skin.",B0BJFP4VYY,Cream,https://www.amazon.es/dp/B0BJFP4VYY?psc=1,https://m.media-amazon.com/images/I/61auJKXDwQL._AC_SY355_.jpg,TALQUISTINA,23.08,"1,059","1,059",800,"23,007.72","23,001.18",150,515,N/A,7.26,23,4.6,776,8,27,,Beauty,Extra Large Envelope,MFN,19.70 x 5.40 x 5.60 cm,0.44,N/A,"Oct 17, 2022",,No,42,
CeraVe Intensive Moisturizing Creme For Dry Dry Skin 340ml,B0FHQ1Z14S,Cream,https://www.amazon.es/dp/B0FHQ1Z14S?psc=1,https://m.media-amazon.com/images/I/516g-JSN04L._SY445_.jpg,CeraVe,20.4,533,533,200,"10,715.27","10,712.12",58,"2,135",AMZ,6.89,3,4.6,117,3,38,Amazon,Beauty,Small Parcel,AMZ,9.30 x 7.40 x 9.20 cm,0.39,N/A,"Dec 23, 2025",,No,4,Amazon
BEPANTHOL Dry Skin Moisturizing Cream - Derma Repair Lotion - Immediate and Lasting Hydration for Very Dry and Sensitive Skin - Daily Use - 400ml - Without Perfume or Dyes,B097HBHKR9,Cream,https://www.amazon.es/dp/B097HBHKR9?psc=1,"https://m.media-amazon.com/images/I/61ERqQaqZGL._AC_SY355_PIbundle-400,TopRight,0,0_SH20_.jpg",BEPANTHOL,16.2,563,448,300,"9,100.49","7,259.41",171,"1,190",AMZ,7.27,6,4.6,708,7,13,Amazon,Beauty,Small Parcel,AMZ,19.40 x 6.10 x 6.20 cm,0.47,N/A,"Jun 16, 2021",,No,58,Amazon
"Weleda - Skin Food Original, Repair Cream, Nourishes and Hydrates, with Sunflower and Almond Oil, Calendula, Wild Thought and Chamomile, for Very Dry and Cracked Skin -75ml",B00A3M1TIW,Cream,https://www.amazon.es/dp/B00A3M1TIW?psc=1,https://m.media-amazon.com/images/I/51KFDzNEIyL._AC_SY355_.jpg,Weleda,9.6,"1,666","1,612","1,000","19,743.79","15,685.64",172,168,AMZ,3.77,9,4.6,"4,359",13,31,Amazon,Beauty,Large Envelope,AMZ,14.10 x 3.91 x 5.31 cm,0.06,N/A,"Feb 13, 2013",,No,158,Amazon
"Bepanthol Derma SensiCalm to Relieve Itching and Redness of Skin Irritations in Just 30 Minutes, Cortisone Free, 50g",B07VKDRPW7,Check,https://www.amazon.es/dp/B07VKDRPW7?psc=1,https://m.media-amazon.com/images/I/61eN7dZrU+L._AC_SY355_.jpg,BEPANTHOL,12.4,"3,222","1,607",700,"33,943.21","20,094.31",116,107,AMZ,4.86,17,4.4,"4,442",7,79,Amazon,Beauty,Large Envelope,AMZ,14.10 x 4.00 x 4.20 cm,0.07,N/A,"Jul 22, 2019",,No,81,Amazon
"Uriage Xemose C8+ Anti-Itch Relipidizing Balm 500ml - Nourishes, Repairs, Soothes - Very Dry Skin, Trend Atopic Eczema - 8Ceramides Biomimetics, 10% Shea Butter - Face, Body, Unscented",B07JDLL4LP,Cream,https://www.amazon.es/dp/B07JDLL4LP?psc=1,https://m.media-amazon.com/images/I/61A6-pcTF0L._AC_SY355_.jpg,Uriage,18.9,352,352,200,"6,469.81","6,467.86",184,"2,519",CH,7.03,28,4.5,"1,475",7,44,DERMA EU,Beauty,Small Parcel,FBA,20.50 x 6.60 x 6.70 cm,0.53,N/A,"Sep 29, 2018",,No,91,DERMA EU
"Neutrogena Norwegian Formula Deep Hydration Body Lotion for Dry Skin (400ml), Body Moisturizer with Pro-Ceramide & Glycerin Technology",B00BN7XH2C,Check,https://www.amazon.es/dp/B00BN7XH2C?psc=1,https://m.media-amazon.com/images/I/51LPN63FdTL._AC_SY355_.jpg,Neutrogena,6.99,318,293,100,"2,532.78","2,024.46",134,"2,466",AMZ,3.56,10,4.6,"2,831",7,15,Amazon,Beauty,Large Envelope,AMZ,22.20 x 4.00 x 7.20 cm,0.45,N/A,"May 20, 2014",,No,143,Amazon
"NIVEA Repair & Care Body Milk, Body Moisturizer for Dry & Extra Dry Skin, Moisturizer with 72h Hydration and Intensive Care, 1 x 400ml",B0D82BKYF1,Cream,https://www.amazon.es/dp/B0D82BKYF1?psc=1,https://m.media-amazon.com/images/I/513JvuibhSL._AC_SY355_.jpg,NIVEA,5.88,465,465,200,"2,712.39","2,712.04",134,"2,698",AMZ,3.7,6,4.7,240,9,21,Amazon,Beauty,Extra Large Envelope,AMZ,22.20 x 4.40 x 6.60 cm,0.4,N/A,"Jun 25, 2024",,No,22,Amazon
"A-Derma - Exomega Control, 400 ml",B0052ECBUG,Check,https://www.amazon.es/dp/B0052ECBUG?psc=1,https://m.media-amazon.com/images/I/71IW3lHMeQL._SX342_.jpg,A-Derma,20.85,549,549,300,"10,896.06","10,893.19",33,"2,025",ES,7.09,30,4.7,"2,466",2,40,Parafarmaciamarket,Beauty,Extra Large Envelope,MFN,18.39 x 5.89 x 5.99 cm,0.47,N/A,"Oct 13, 2012",,No,162,Parafarmaciamarket
Erborian BB Cream Clair,B0BV35SSR3,Other,https://www.amazon.es/dp/B0BV35SSR3?psc=1,https://m.media-amazon.com/images/I/51fmUgCVyjL._SY445_.jpg,Erborian,37.99,"3,622",104,50,"73,011.07","3,931.29",23,158,AMZ,9.47,1,4.3,"4,575",6,816,Amazon,Beauty,Large Envelope,AMZ,16.60 x 2.90 x 3.20 cm,0.04,N/A,"Apr 21, 2023",Sponsored Brand Video,No,36,Amazon
"Rilastil - Xerolact Protective Cleansing Oil for Very Dry or Atopic Skin, Anti-Itch Moisturizing Shower Gel with Rice and Almond Oil, Suitable for Babies, Children and Adults - 1000 ml",B0DVM1G1B3,Oil,https://www.amazon.es/dp/B0DVM1G1B3?psc=1,https://m.media-amazon.com/images/I/61qoRmZRZTL._AC_SY355_.jpg,Rilastil,12.72,969,774,400,"13,387.81","9,732.87",184,722,AMZ,N/A,13,4.6,421,7,40,Amazon,Beauty,Small Parcel,AMZ,32.10 x 9.60 x 12.80 cm,1.2,N/A,"Apr 9, 2025",,No,12,Amazon
DRASANVI SWEET ALMOND OIL - Especially nourishing and moisturizing - Helps reduce wrinkles and stretch marks - Suitable for all skin types - VEGAN - 250 ml,B00XZ3NATM,Check,https://www.amazon.es/dp/B00XZ3NATM?psc=1,https://m.media-amazon.com/images/I/71PHfDoxdBL._AC_SY355_.jpg,Drasanvi,4.3,"1,020",657,300,"6,905.78","2,824.94",155,454,AMZ,3.34,2,4.5,267,7,13,Amazon,Beauty,Large Envelope,AMZ,16.50 x 3.50 x 7.00 cm,0.26,N/A,"May 20, 2015",,No,131,Amazon
"Natural Honey, Oil & Go Rinse Free Shower Oil with Natural Argan, 24H Deep Hydration, Fast Absorption, Non-Greasy Finish, Firming, Nourishing and Revitalizing, 250ml",B0DV9M1W71,Check,https://www.amazon.es/dp/B0DV9M1W71?psc=1,https://m.media-amazon.com/images/I/61VBUo6M7VL._AC_SY355_.jpg,Natural Honey,3.49,70,446,300,244.73,"1,532.38",165,885,AMZ,4.51,4,4.8,30,6,N/A,Amazon,Beauty,Small Parcel,AMZ,18.60 x 6.70 x 14.80 cm,0.25,N/A,"Jan 28, 2025",,No,15,Amazon
DRASANVI SWEET ALMOND OIL - Especially nourishing and moisturizing - Helps reduce wrinkles and stretch marks - Suitable for all skin types - VEGAN - 1l,B00XO2DUGC,Other,https://www.amazon.es/dp/B00XO2DUGC?psc=1,https://m.media-amazon.com/images/I/711Av+zNoXL._AC_SY355_.jpg,Drasanvi,13.09,"1,020",125,50,"6,905.78","1,908.33",151,454,AMZ,5.2,2,4.5,267,6,13,Amazon,Beauty,Small Parcel,AMZ,22.80 x 10.00 x 10.00 cm,0.96,N/A,"May 15, 2015",,No,131,Amazon
"Black Tulip - Body Oil Coconut Pure White, Nourishing Body Oil with Sweet and Tropical Fragrance, Hydration and Softness for Skin, 200ml",B0F3PGFHXT,Check,https://www.amazon.es/dp/B0F3PGFHXT?psc=1,https://m.media-amazon.com/images/I/41X4usM3D0L._AC_SY355_.jpg,TULIPAN NEGRO,2.79,418,418,200,"1,166.48","1,162.16",136,"2,263",AMZ,4.29,2,4.3,52,3,7,Amazon,Beauty,Large Envelope,AMZ,16.00 x 3.70 x 6.50 cm,0.2,N/A,"Apr 4, 2025",,No,12,Amazon
Organic Jojoba Oil (Simmondsia chinensis) - 100 mL - Cosmos Certified Virgin Vegetable Oil - Aroma Labs,B086R18SV7,Check,https://www.amazon.es/dp/B086R18SV7?psc=1,https://m.media-amazon.com/images/I/61JgQ7fCTLL._AC_SY355_.jpg,Aroma Labs,7.89,753,431,300,"6,841.35","3,395.59",103,640,AMZ,4.62,1,4.5,"2,134",7,29,Amazon,Beauty,Large Envelope,AMZ,12.30 x 3.50 x 3.70 cm,0.08,N/A,"May 19, 2020",,No,71,Amazon
"GoNaturals Sweet Almond Oil, 250ml - 100% Pure, Natural and Cold Pressed - Moisturizing Body Oil for Skin, Hair, Nails and Anti-Stretch Marks Pregnancy",B09MDHLXJM,Check,https://www.amazon.es/dp/B09MDHLXJM?psc=1,https://m.media-amazon.com/images/I/81P4rcqWUYL._AC_SY355_.jpg,GONATURALS,11.99,87,95,300,"1,042.73","1,142.18",151,"1,361",DE,5.26,1,4.4,657,9,1,Vivere GmbH,Beauty,Small Parcel,FBA,16.30 x 6.70 x 6.80 cm,0.26,N/A,"Dec 12, 2021",,No,52,Vivere GmbH
QKnatur - Moisturizing Body Oil All in One Oil - 200ml - Improves the appearance of Scars | Prevention of Spots and Stretch Marks | Formulated with 10 oils of plant origin,B0D7QCDFZC,Check,https://www.amazon.es/dp/B0D7QCDFZC?psc=1,https://m.media-amazon.com/images/I/71uEE5AwxaL._AC_SY355_.jpg,QKnatur,16.95,61,61,N/A,"1,029.37","1,029.25",171,"11,680",ES,7.38,1,4.6,30,8,0,QKnatur,Beauty,Extra Large Envelope,FBA,17.20 x 5.20 x 5.30 cm,0.22,N/A,"Jun 21, 2024",,No,22,QKnatur
Instituto Español Oleogel Atopic Skins - 300 ml,B087KC4NLB,Check,https://www.amazon.es/dp/B087KC4NLB?psc=1,https://m.media-amazon.com/images/I/61yEIZ7CBhS._AC_SY355_.jpg,Instituto Español,4.75,809,809,500,"3,843.11","3,842.98",47,642,AMZ,3.61,8,4.3,900,1,6,Amazon,Beauty,Extra Large Envelope,AMZ,21.50 x 4.20 x 8.50 cm,0.35,N/A,"Apr 21, 2020",,No,72,Amazon
"Avena Kinesia - Oleo Soap-Free Shower Gel for Extra Dry and Atopic Skin, 750 ml",B09RR229FY,Wash,https://www.amazon.es/dp/B09RR229FY?psc=1,https://m.media-amazon.com/images/I/61u-ERakcyL._AC_SY355_.jpg,Avena Kinesia,2.9,"1,518","1,329",700,"6,045.70","3,854.23",79,380,AMZ,3.53,1,4.5,617,3,N/A,Amazon,Beauty,Extra Large Envelope,AMZ,25.70 x 5.00 x 8.90 cm,0.84,N/A,"Feb 3, 2022",,No,50,Amazon
"Bio-Oil | Skin Care Oil with Stretch Marks, Scars & Spots | Body & Facial Treatment | 200ml",B01HGLUJGA,Check,https://www.amazon.es/dp/B01HGLUJGA?psc=1,https://m.media-amazon.com/images/I/71ow-vJwMtL._SY445_.jpg,Bio-Oil,16.05,"1,970","1,970","1,000","36,857.65","36,837.84",91,77,AMZ,6.26,1,4.7,"7,437",4,40,Amazon,Beauty,Extra Large Envelope,AMZ,17.20 x 4.90 x 5.20 cm,0.22,N/A,"Mar 18, 2016",,No,121,Amazon
"LILLYDOO Almond Oil, Unscented, 99% Cold Pressed Almond Oil with Vitamin E, Vegan, in a High Glass Jar (100ml), Dermatologically Tested",B0DRW6RH9H,Check,https://www.amazon.es/dp/B0DRW6RH9H?psc=1,https://m.media-amazon.com/images/I/71RbLHm-EsL._AC_SY355_.jpg,LILLYDOO,10,265,265,100,"2,652.48","2,652.36",135,"3,851",AMZ,4.03,1,4.6,175,6,8,Amazon,Beauty,Extra Large Envelope,AMZ,14.60 x 4.90 x 5.10 cm,0.25,N/A,"Dec 30, 2024",,No,16,Amazon
Atopic Skin Moisturizing Cream - Bepanthol SensiControl Daily Emollient Cream with Pro-Vitamin B5 - Promotes Deep and Lasting Hydration for Healthy and Protected Skin - 400ml,B087XGVFL1,Cream,https://www.amazon.es/dp/B087XGVFL1?psc=1,https://m.media-amazon.com/images/I/61J5r5t+SfL._AC_SY355_.jpg,BEPANTOL DERMA,19.5,"1,575","1,575",900,"32,457.11","32,455.67",174,274,AMZ,6.88,15,4.6,"1,435",7,15,Amazon,Beauty,Small Parcel,AMZ,10.00 x 6.50 x 9.90 cm,0.45,N/A,"Apr 20, 2020",,No,72,Amazon
"La Roche Posay Shower Oil, Relipidizing, Anti-Irritation, Moisturizes and Soothes, Enriched with Shea Butter, For Dry and Atopic Skin, Lipikar AP+, 750 ml",B07NPVNYZM,Oil,https://www.amazon.es/dp/B07NPVNYZM?psc=1,https://m.media-amazon.com/images/I/71vtEc4zcEL._SX342_.jpg,La Roche-Posay,18.95,72,72,50,"1,369.46","1,369.28",154,"9,499",PT,6.79,1,4.7,970,10,16,Beauty Lovy,Beauty,Small Parcel,MFN,21.90 x 7.70 x 7.70 cm,0.87,N/A,"Feb 13, 2019",,No,86,Beauty Lovy
"Eucerin pH5 Shower Oleogel 400ml Body Cleansing Oil with Natural Oils for Gentle and Nourishing Daily Cleansing Shower Oil for the Whole Family, Dry and Sensitive Skin",B000V3MI60,Oil,https://www.amazon.es/dp/B000V3MI60?psc=1,https://m.media-amazon.com/images/I/61TRy3ypc7L._AC_SY355_.jpg,Eucerin,10.19,550,550,400,"5,675.25","5,671.04",167,889,AMZ,4.53,27,4.5,204,7,5,Amazon,Beauty,Large Envelope,AMZ,22.71 x 3.81 x 10.59 cm,0.46,N/A,"Aug 7, 2012",,No,164,Amazon
"DEXERYL Sanfte Cleansing Oil Bei Trockener Haut, 500 ml Oil",B0BLC6972T,Oil,https://www.amazon.es/dp/B0BLC6972T?psc=1,https://m.media-amazon.com/images/I/51LlRcuTwCL._AC_SY355_.jpg,DEXERYL,15.19,93,93,50,"1,240.38","1,239.56",59,"5,425",ES,7.26,26,4.5,378,6,11,Esando,Beauty,Small Parcel,MFN,20.70 x 6.40 x 6.50 cm,0.59,N/A,"Nov 3, 2022",,No,41,Esando
"Avena Kinesia – Oil Shower Gel without Soap for Extra Dry and Atopic Skin, Formula with 100% Natural Oat Oil – Pack of 4 x 750 ml",B0BGQD297P,Wash,https://www.amazon.es/dp/B0BGQD297P?psc=1,https://m.media-amazon.com/images/I/81skyJS+5cL._AC_SY355_.jpg,Avena Kinesia,11.6,"1,518",189,100,"6,045.70","2,191.21",129,380,AMZ,5.5,1,4.5,110,8,N/A,Amazon,Beauty,Small Parcel,AMZ,27.20 x 10.20 x 22.30 cm,3.47,N/A,"Sep 28, 2022",,No,43,Amazon
"Rilastil - Duplo Xerolact Protective Cleansing Oil, Gently Cleans and Protects the Skin Barrier, with Rice and Almond Oil, for Dry and Atopic Skin - 2 x 1000ml",B0FY6RNPL4,Wash,https://www.amazon.es/dp/B0FY6RNPL4?psc=1,https://m.media-amazon.com/images/I/61PzXSTFTYL._AC_SY355_.jpg,Rilastil,24.95,969,103,N/A,"13,387.81","2,357.64",159,722,AMZ,10.34,6,4.2,5,7,N/A,Amazon,Beauty,Small Parcel,AMZ,24.00 x 8.60 x 16.70 cm,2.32,N/A,"Oct 29, 2025",,No,6,Amazon
"PRANARÔM Organic Calendula Vegetable Oil – Marigold Flower Macerate – Soothing for Sensitive, Irritated or Reactive Skin – 50 ml",B000VYP9ZG,Check,https://www.amazon.es/dp/B000VYP9ZG?psc=1,https://m.media-amazon.com/images/I/71Jl6pEgLkS._AC_SY355_.jpg,PRANAROM,8.49,"1,345",170,100,"14,889.11","1,584.82",128,291,AMZ,3.91,8,4.4,735,6,N/A,Amazon,Beauty,Extra Large Envelope,AMZ,11.50 x 4.40 x 4.60 cm,0.04,N/A,"Aug 14, 2012",,No,164,Amazon
"Aroma Labs - Aceite Vegetal de Jojoba - Certificado Orgánico Ecocert - 100% Puro, Natural, Virgen y Sin Refinar - De Primer Prensado en Frío - Eco-Embalaje en Francia - 250ml",B086R186CH,Check,https://www.amazon.es/dp/B086R186CH?psc=1,https://m.media-amazon.com/images/I/51S7vhHF1lL._AC_SY355_.jpg,Aroma Labs,15.31,753,175,100,"6,841.35","2,678.70",174,797,AMZ,6.15,1,4.5,"2,134",7,29,Amazon,Beauty,Extra Large Envelope,AMZ,17.10 x 4.50 x 4.50 cm,0.24,N/A,"May 19, 2020",,No,71,Amazon
"OZONO D'OR – Healing Ointment 100% Natural ECO. with Ozone | Atopic Skin Cream | Healing Cream Wounds Skin, Surururgerics, Psoriasis, Burns, Dermatitis Atopica | Anti-Face Cream",B01N5AN7FM,Cream,https://www.amazon.es/dp/B01N5AN7FM?psc=1,https://m.media-amazon.com/images/I/31maSwO1uCL._AC_SX355_.jpg,OZONO D´OR,14.67,134,109,50,"2,901.25","1,675.85",177,"5,001",ES,6.05,1,4.2,427,1,22,OZONO EUROPA 2050 SL,Beauty,Extra Large Envelope,FBA,6.50 x 5.00 x 5.00 cm,0.1,N/A,"Dec 2, 2016",,No,112,OZONO EUROPA 2050 SL
"Eucerin pH5 Comfort Shower Oil (1000ml) Body & Facial Cleansing Oil with Natural Oils, Extra Gentle Soap Free Formula, Shower Oil for Dry and Sensitive Skin",B0F1W6393T,Check,https://www.amazon.es/dp/B0F1W6393T?psc=1,https://m.media-amazon.com/images/I/61viH6FfEkL._AC_SY355_.jpg,Eucerin,17.15,215,215,100,"3,640.43","3,639.07",156,"3,174",AMZ,6.78,30,4.6,57,6,6,Amazon,Beauty,Small Parcel,AMZ,24.20 x 6.50 x 10.70 cm,1.14,N/A,"Jan 24, 2025",,No,15,Amazon
"URIAGE XEMOSE Shower gel for dry skin, with atopic tendency I Soothe for lasting comfort. Gel in foamy, soft and nourishing oil I Face and body I Unscented without soap I physiological pH.",B00P9YV0Z6,Wash,https://www.amazon.es/dp/B00P9YV0Z6?psc=1,https://m.media-amazon.com/images/I/61paQ6Hr3TL._AC_SY355_.jpg,Uriage,12.89,337,107,100,"3,883.52","1,284.58",188,"4,236",PT,6.14,21,4.7,"2,002",4,24,Love my Pharma,Beauty,Small Parcel,MFN,24.21 x 7.70 x 8.10 cm,1.21,N/A,"Aug 27, 2014",,No,140,Love my Pharma
"Uriage Xemose C8+ Shower Gel For Dry Skin, With Atopic Tendency - Soothe For Lasting Comfort - Soft and Nourishing Foaming Oil Gel - Face and Body - Without Perfume and Soap - Physiological pH",B06XXWTV3H,Wash,https://www.amazon.es/dp/B06XXWTV3H?psc=1,https://m.media-amazon.com/images/I/71H2h7cq2pL._AC_SY355_.jpg,Uriage,10.7,337,148,N/A,"3,883.52","1,987.75",192,"4,236",N/A,5.56,27,4.7,"2,002",8,24,,Beauty,Small Parcel,FBA,20.50 x 6.30 x 6.40 cm,0.62,N/A,"May 11, 2017",,No,107,
