Display Order,Product Details,ASIN,Country,Pack,URL,Image URL,Brand,Price €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
6,"Super Ninja Indoor Fruit Fly Trap - 2 Pieces, Fruit Fly Trap Effective for Home and Kitchen, Active Up to 3 Weeks - Suitable for Children and Pets",B0963J155G,IT,2,https://www.amazon.it/dp/B0963J155G?psc=1,https://m.media-amazon.com/images/I/81MjAPzA7dL._AC_SY355_.jpg,Super Ninja,8.15,254,254,100,"3,043.42","3,043.41",146,860,NL,4.34,1,3,"21,119",8,387,Super Ninja ECO,Garden,Large Envelope,FBA,12.90 x 3.10 x 7.50 cm,0.06,N/A,"Sep 4, 2021",,No,58,Super Ninja ECO
14,"Super Ninja Indoor Fruit Fly Trap - 2 Pieces, Fruit Fly Trap Effective for Home and Kitchen, Active Up to 3 Weeks - Suitable for Children and Pets",B0DWYWN4KK,IT,2,https://www.amazon.it/dp/B0DWYWN4KK?psc=1,https://m.media-amazon.com/images/I/81MjAPzA7dL._AC_SY355_.jpg,Super Ninja,8.97,77,51,N/A,"1,197.83",558.91,146,"2,615",NL,4.28,1,3.6,745,8,61,Super Ninja ECO,Garden,Large Envelope,FBA,12.60 x 3.40 x 7.30 cm,0.07,N/A,"Apr 5, 2025",,No,15,Super Ninja ECO
31,"PIC Fruit Fly Trap, 4 Traps with 2 Attractives for Kitchen | Natural Non-Toxic Attractant Effective Up to 8 Weeks Against Vinegar Flies and Vinegar Flies for Kitchen",B07PN3XFD5,IT,2,https://www.amazon.it/dp/B07PN3XFD5?psc=1,https://m.media-amazon.com/images/I/81Y81NNRqwL._AC_SY355_.jpg,PIC,12.98,7,7,N/A,113.37,113.35,165,"7,509",DE,7.56,1,3.2,114,7,0,UE-SHOP,Garden,Extra Large Envelope,FBA,21.40 x 4.40 x 19.30 cm,0.21,N/A,"May 23, 2019",,No,86,UE-SHOP
47,GARDIGO® Fly Trap 2 Pcs | Fly Killer | Anti Fly | Insect Catcher | 5.5 x 6 cm | House Fly Catch | Fly Traps,B0C4V4H131,IT,2,https://www.amazon.it/dp/B0C4V4H131?psc=1,https://m.media-amazon.com/images/I/71GZvDMaF9L._AC_SX355_.jpg,Gardigo,12.9,2,2,N/A,28.15,28.15,107,"30,256",DE,7.06,2,3.7,25,7,0,tevigo gmbh,Garden,Small Parcel,FBA,15.00 x 6.40 x 7.50 cm,0.07,N/A,"May 15, 2023",,No,38,tevigo gmbh
17,"Super Ninja Indoor Fruit Fly Trap - 12 Pieces, Fruit Fly Trap Effective for Home and Kitchen, Active Up to 3 Weeks, Suitable for Children and Pets",B0C6M6DB5H,IT,12,https://www.amazon.it/dp/B0C6M6DB5H?psc=1,https://m.media-amazon.com/images/I/91SkYAbcD+L._AC_SY355_.jpg,Super Ninja,32.74,466,17,N/A,"8,258.96",673.94,146,354,NL,10.54,1,3.3,"12,291",8,471,Super Ninja ECO,Garden,Small Parcel,FBA,12.50 x 6.70 x 11.20 cm,0.35,N/A,"Aug 15, 2023",,No,35,Super Ninja ECO
24,"Super Ninja Fruit Fly Traps - Pack of 4, Indoor Fly Trap, Home & Kitchen, Highly Effective Liquid Bait, Up to 3 Weeks Efficacy, Safe for Kids and Pets",B09SLX6GQS,ES,4,https://www.amazon.es/dp/B09SLX6GQS?psc=1,https://m.media-amazon.com/images/I/91TI2EB+MXL._AC_SY355_.jpg,Super Ninja,16.99,476,417,200,"8,695.72","7,086",150,"1,149",NL,5.35,1,2.8,"12,300",8,402,Super Ninja ECO,Garden,Large Envelope,FBA,13.00 x 3.40 x 7.40 cm,0.12,#2,"Jul 18, 2022",,No,48,Super Ninja ECO
33,"Super Ninja Fruit Fly Traps - Pack of 6, Indoor Fly Trap, Home & Kitchen, Highly Effective Liquid Bait, Up to 3 Weeks Efficacy, Safe for Kids and Pets",B0DVBKLWTL,ES,6,https://www.amazon.es/dp/B0DVBKLWTL?psc=1,https://m.media-amazon.com/images/I/810HU9eOljL._AC_SY355_.jpg,Super Ninja,21.99,174,47,N/A,"2,425.85","1,033.38",150,"3,369",NL,6.9,1,3.6,739,8,66,Super Ninja ECO,Garden,Large Envelope,FBA,17.40 x 3.20 x 7.50 cm,0.18,N/A,"Apr 13, 2025",,No,15,Super Ninja ECO
39,"Super Ninja Fruit Fly Traps - Pack of 2, Indoor Fly Trap, Home & Kitchen, Highly Effective Liquid Bait, Up to 3 Weeks Efficacy, Safe for Kids and Pets",B0963J155G,ES,2,https://www.amazon.es/dp/B0963J155G?psc=1,https://m.media-amazon.com/images/I/91JrOR+XjgL._AC_SY355_.jpg,Super Ninja,11.99,58,58,50,696.89,696.89,150,"6,948",NL,4.8,1,3,"21,103",8,330,Super Ninja ECO,Garden,Large Envelope,FBA,12.90 x 3.10 x 7.50 cm,0.06,N/A,"Sep 9, 2021",,No,58,Super Ninja ECO
52,"Super Ninja Fruit Fly Traps - Pack of 2, Indoor Fly Trap, Home & Kitchen, Highly Effective Liquid Bait, Up to 3 Weeks Efficacy, Safe for Kids and Pets",B0DWYPZ2V8,ES,2,https://www.amazon.es/dp/B0DWYPZ2V8?psc=1,https://m.media-amazon.com/images/I/81r+wk5aS5L._AC_SY355_.jpg,Super Ninja,10.99,174,135,50,"2,425.85","1,485.32",150,"3,369",NL,6.93,1,3.6,739,8,66,Super Ninja ECO,Garden,Standard Parcel,FBA,40.10 x 18.40 x 28.70 cm,2.34,N/A,"Apr 8, 2025",,No,15,Super Ninja ECO
72,"Control Garden Fruit Fly Trap x4 Fruit Guardian Trap | Super Effective Fly Attracting Bait 24 Hours | 100% Natural Formula + Safe Children and Pets | Fruit Bowl, Kitchen, Trash Can",B0H26XGYKX,ES,4,https://www.amazon.es/dp/B0H26XGYKX?psc=1,https://m.media-amazon.com/images/I/81+uYLv46NL._AC_SY355_.jpg,#NAME?,12.95,25,25,N/A,343.86,343.84,180,"7,989",ES,4.09,1,2.7,12,8,1,Top Sales Spain,,Large Envelope,FBA,11.50 x 11.50 x 3.00 cm,0.19,N/A,"May 27, 2026",,No,2,Top Sales Spain
9,"Super Ninja Fruit Fly Trap - 4 pack, Highly Effective Fruit Fly Killer for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Child & Pet Friendly",B09SLX6GQS,UK,4,https://www.amazon.co.uk/dp/B09SLX6GQS?psc=1,https://m.media-amazon.com/images/I/71628Tc1YiL._AC_SX355_.jpg,Super Ninja,15.49,"16,705","13,738","9,000","280,455.15","256,261.32",152,4,NL,4.36,1,3.8,"17,515",8,518,Super Ninja ECO,Garden,Large Envelope,FBA,13.00 x 3.40 x 7.40 cm,0.12,N/A,"Feb 17, 2022",,No,53,Super Ninja ECO
10,"Super Ninja Fruit Fly Trap - 2 pack, Highly Effective Fruit Fly Killer for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Child & Pet Friendly",B0963J155G,UK,2,https://www.amazon.co.uk/dp/B0963J155G?psc=1,https://m.media-amazon.com/images/I/71Pw9F0-36L._AC_SX355_.jpg,Super Ninja,9.66,"16,044","13,931","10,000","225,777.72","162,353.82",152,3,NL,3.8,1,3.8,"22,636",8,519,Super Ninja ECO,Garden,Large Envelope,FBA,12.90 x 3.10 x 7.50 cm,0.06,N/A,"Oct 27, 2021",,No,57,Super Ninja ECO
16,"Super Ninja Fruit Fly Trap - 6 pack, Highly Effective Fruit Fly Killer for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Child & Pet Friendly",B0DVBKLWTL,UK,6,https://www.amazon.co.uk/dp/B0DVBKLWTL?psc=1,https://m.media-amazon.com/images/I/715egQC4eVL._AC_SX355_.jpg,Super Ninja,21.33,"16,044","1,444","1,000","225,777.72","37,032.40",152,3,NL,7.08,1,3.8,"22,636",8,522,Super Ninja ECO,Garden,Large Envelope,FBA,17.70 x 3.30 x 7.50 cm,0.17,N/A,"Apr 23, 2025",,No,15,Super Ninja ECO
17,"Super Ninja Fruit Fly Trap - 12 pack, Highly Effective Fruit Fly Killer for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Child & Pet Friendly",B0C6M6DB5H,UK,12,https://www.amazon.co.uk/dp/B0C6M6DB5H?psc=1,https://m.media-amazon.com/images/I/81wjxOL6YmL._AC_SX355_.jpg,Super Ninja,36.93,"16,044",557,400,"225,777.72","24,672.44",153,3,NL,11.01,1,3.8,"22,636",8,522,Super Ninja ECO,Garden,Small Parcel,FBA,12.50 x 6.70 x 11.20 cm,0.35,N/A,"Jun 30, 2023",,No,37,Super Ninja ECO
18,"Super Ninja Fruit Fly Trap - 1 pack, Highly Effective Fruit Fly Killer for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Child & Pet Friendly",B089MB7VFZ,UK,1,https://www.amazon.co.uk/dp/B089MB7VFZ?psc=1,https://m.media-amazon.com/images/I/718bVn30rLL._AC_SX355_.jpg,Super Ninja,6.74,"16,705","2,967","2,000","280,455.15","24,193.84",152,4,NL,4.92,1,3.8,"17,507",9,518,Super Ninja ECO,Garden,Large Envelope,FBA,12.70 x 3.20 x 7.20 cm,0.04,N/A,"Sep 11, 2020",,No,70,Super Ninja ECO
41,"Fruit Fly Trap 2 Pack – Highly Effective Fruit Fly Killer for Kitchen & Home, Long-Lasting Up to 3 Weeks, Safe for Children & Pets, Small Size, Strong Results, Designed for Fruit Flies Only",B0GN89ZP6D,UK,2,https://www.amazon.co.uk/dp/B0GN89ZP6D?psc=1,https://m.media-amazon.com/images/I/81wpY4hCHVL._AC_SY355_.jpg,Catchly,7.37,"1,354","1,354",700,"12,557.18","12,557.19",189,"9,337",GB,4.49,1,3.5,75,7,11,MANSUR Roastery & Sweets,Garden,Large Envelope,FBA,7.00 x 3.40 x 5.60 cm,0.06,N/A,"Feb 13, 2026",,No,5,MANSUR Roastery & Sweets
67,"Fruit Fly Trap - Fruit Fly Traps Indoor for Home Use with Powerful Attractant - Odor Free, Long Lasting Fly Catcher Safe for Kids and Pets - Easy to Use, Up to 3 Weeks Protection (4 Pack)",B0GDQYTKD3,UK,4,https://www.amazon.co.uk/dp/B0GDQYTKD3?psc=1,https://m.media-amazon.com/images/I/81ecXCOyZuL._SX342_.jpg,Pest strike,9.23,852,314,50,"9,870.51","4,395.56",187,987,GB,3.8,2,3.3,32,7,9,Rivero products,Garden,Large Envelope,FBA,11.00 x 3.70 x 6.80 cm,0.14,N/A,"Jan 2, 2026",,No,6,Rivero products
57,"ENTOEND Fruit Fly Trap - 4 Traps, up to 3 Months' Supply | Ultimate Indoor Fruit Fly Killer for the House and Kitchen | New & Improved, Easy to Use Pre-Baited Bottles | Safe Around Fruits and Food",B0GSW9S46W,UK,4,https://www.amazon.co.uk/dp/B0GSW9S46W?psc=1,https://m.media-amazon.com/images/I/81AApIFVs6L._SX450_.jpg,ENTOEND,17.49,275,221,N/A,"5,128.70","3,860.59",196,"4,109",N/A,4.56,1,N/A,0,9,5,,,Small Parcel,FBA,8.60 x 6.60 x 8.60 cm,0.09,N/A,"Mar 17, 2026",,No,4,
30,"3 Pack Reusable Fruit Fly Traps indoor With non-slip Sleeve, Non-slip and Discreet, Highly Effective Fruit Fly Trap, Ideal for Home & Kitchen, Glass Design Fruit Fly Catcher",B0H1L3N36N,UK,3,https://www.amazon.co.uk/dp/B0H1L3N36N?psc=1,https://m.media-amazon.com/images/I/71VhnlPYO-L._SX342_.jpg,InemzTal,11.92,196,196,N/A,"3,844.36","3,844.37",173,"5,509",CN,5.19,1,4.2,6,7,4,GbtyKue,Garden,Small Parcel,FBA,22.70 x 7.90 x 13.20 cm,0.6,N/A,"Jun 26, 2026",,No,1,GbtyKue
45,"ENTOPEST Decorative Fruit Fly Traps for Indoor, Long-Lasting Flies Control - 2 Traps with Natural & Non-Toxic Attractant 40ml - Effective & Safe to Use, Glue Trapper Eco-Catch Insect Control Killer",B0CPPL529L,UK,2,https://www.amazon.co.uk/dp/B0CPPL529L?psc=1,https://m.media-amazon.com/images/I/81LCE5zqWVL._AC_SY355_.jpg,Entopest,12.62,252,252,N/A,"3,819.93","3,819.90",197,"4,439",GB,5.88,1,4,29,5,9,Fort Products,Garden,Extra Large Envelope,FBA,19.10 x 4.70 x 10.90 cm,0.12,N/A,"Jun 3, 2024",,No,25,Fort Products
37,"Fruit Fly Trap (2 Pack) 2 in 1 Design with Sticky Fly Trap Indoor, Highly Effective Fruit Fly Traps Indoor for Home Use & Kitchen, Bait & Sticky Traps Included, Fruit Flies Trap, Child & Pet Friendly",B0GSVG2883,UK,2,https://www.amazon.co.uk/dp/B0GSVG2883?psc=1,https://m.media-amazon.com/images/I/81gj300JCuL._SX342_.jpg,PestProof,9.71,348,317,500,"4,024.65","3,697.99",199,"3,143",AMZ,4.97,1,3,53,9,28,Q Ventures LLP,Garden,Small Parcel,AMZ,15.00 x 6.40 x 7.60 cm,0.13,N/A,"Jun 4, 2026",,No,1,Q Ventures LLP
49,"8 Pack Fruit Fly Trap, Highly Effective Fruit Fly Killer with Funnel, Fruit Fly Catcher Up to 3 Weeks for Areas with Plants Home and Kitchens for Performance per Bottle for Child Elder Pet Friendly",B0GVHC6DVP,UK,8,https://www.amazon.co.uk/dp/B0GVHC6DVP?psc=1,https://m.media-amazon.com/images/I/61UviDLjetL._SX342_.jpg,Mbuaopa,24.49,185,177,50,"3,403.89","3,265.38",197,"15,600",HK,7.15,1,3,3,8,1,TLINGJING,Garden,Small Parcel,FBA,18.80 x 6.10 x 15.00 cm,0.26,N/A,"Apr 30, 2026",,No,3,TLINGJING
34,"Zero In Fruit Fly Trap - Ready-Baited Indoor Fly Catcher, Apple-Shaped Multi Pack X2 - Non-Toxic, Insect Trap to Attract & Trap Bugs - Suitable for Kitchen & Home Use, Lasts up to 30 Days",B0DC13BHGX,UK,2,https://www.amazon.co.uk/dp/B0DC13BHGX?psc=1,https://m.media-amazon.com/images/I/81O79dPrMWL._SX450_.jpg,Zero In,9.32,341,341,N/A,"3,224.83","3,224.86",187,"4,341",AMZ,3.94,1,N/A,0,7,0,Amazon,,Small Parcel,AMZ,14.30 x 9.90 x 13.50 cm,0.16,N/A,"Aug 14, 2024",,No,23,Amazon
24,"Fruit Fly Trap, 4 Packs Highly Effective Fruit Fly Killer for Home & Kitchen, Fruit Fly Catcher, Up to 3 Weeks for Home Protect Plants Plant",B0GR8MRDR2,UK,4,https://www.amazon.co.uk/dp/B0GR8MRDR2?psc=1,https://m.media-amazon.com/images/I/61Ww05R0htL._AC_SY355_.jpg,HIULLEN,14.57,210,210,50,"3,145.53","3,145.54",140,"6,119",CN,5.49,1,3.4,15,8,2,YQMYEU,Garden,Large Envelope,FBA,13.50 x 3.60 x 9.80 cm,0.13,N/A,"Mar 26, 2026",,No,4,YQMYEU
39,"Fruit Fly Trap, 8 Pcs Highly Effective Fruit Fly Killer for Home & Kitchen, Fruit Fly Catcher, Up to 3 Weeks for Kitchen Home, Child And Pet Friendly",B0GQS3LZ8V,UK,8,https://www.amazon.co.uk/dp/B0GQS3LZ8V?psc=1,https://m.media-amazon.com/images/I/51oWwGWN58L._SX342_.jpg,HIULLEN,17.49,122,138,50,"2,439.12","2,425.82",149,"7,765",CN,6.29,1,3.1,6,8,1,YQMYEU,Garden,Extra Large Envelope,FBA,13.50 x 5.90 x 6.80 cm,0.28,N/A,"Mar 26, 2026",,No,4,YQMYEU
