asin,brand,revenue,is_shampoo,segment,confidence,product_type,evidence,title
B0D86YN54G,Sphagnum Botanicals,3876,Y,Irritated / Atopic,H,shampooing,Shampoing Naturel pour Psoriasis; Traitement Apaisant pour Cuir Chevelu Sec et Irrité; dermatite séborrhéique; eczéma; antipelliculaire,Sphagnum Botanicals Natural Psoriasis Shampoo - Soothing Treatment for Dry and I
B0F19GF2H3,Head & Shoulders,3711,N,,H,set,Shampoing 250ml; Après-shampoing 220ml Et Soin 145ml (3-product set/bundle; not a standalone shampoo),"Head & Shoulders DermaXPro Hydrate Shampoo 250ml, Conditioner 220ml & Care 145ml"
B09C2Q5K7Y,Naturé moi,3636,Y,Irritated / Atopic,M,shampooing,Shampooing Antipelliculaire; apaise le cuir chevelu; pellicules causées par une peau sèche; une hypersensibilité de la peau,Naturé Moi - Anti-dandruff shampoo - Sulfate free - Care for normal dandruff hai
B0CGRRDVZD,Wella Professionals,3566,Y,Irritated / Atopic,H,shampooing,Shampoing doux et apaisant pour cuir chevelu sensible; sans parfum; allantoïne pour apaiser,Wella Professionals INVIGO SCALP BALANCE Shampoing doux et apaisant – pour cuir 
B01D5AP88A,VICHY,3345,Y,Irritated / Atopic,H,shampooing,Shampooing Traitant Ultra-Apaisant; Anti-Démangeaisons; Cuir Chevelu Sensible,"Vichy, Dercos Technique, Ultra-Soothing, Anti-Itching, Oily Hair & Sensitive Sca"
B0019YN81E,Urtekram,3313,Y,Irritated / Atopic,H,shampooing,Shampooing à l'Arbre à Thé Cuir Chevelu Irrité; soin adoucissant,"Urtekram Tea Tree Shampoo Irritated Scalp, Organic"
B081945SKN,LES SECRETS DE LOLY,3244,Y,Irritated / Atopic,H,shampooing,Shampooing cuir chevelu sensible Apaisant anti-démangeaisons,Les Secrets de Loly Sunshine Clean - Sensitive Scalp Shampoo Soothing Anti-Itch 
B0G392Y83X,Head & Shoulders,2968,Y,Irritated / Atopic,H,shampooing,Apaise le cuir chevelu sec et irrité et aide à renforcer la barrière cutanée,DermaXPro by Head & Shoulders Soothing Anti-Dandruff Shampoo 800ml With Aloe Ver
B0F1FXH4X1,VICHY,2505,Y,Irritated / Atopic,H,shampooing,Shampooing Anti-Pelliculaire DS; cuirs chevelus sensibles sujets aux pellicules et/ou aux démangeaisons; hypoallergénique,"Vichy, Dercos, DS Anti-Dandruff Shampoo, Dandruff & Itching, Dry Hair, Eco-refil"
B0BPYFBWF4,L'Oréal Professionnel Paris,2409,Y,,H,shampooing,Dermo-Purifiant; Pour Cheveux Gras; -78% de Sébum sur le cuir chevelu (no irritated/atopic claim),L'OREAL PROFESSIONNEL - Scalp Advanced - Dermo-Purifiant - Homme & Femme - -78% 
B0GP1KZVKW,Head & Shoulders,2187,Y,Irritated / Atopic,H,shampooing,Shampooing Antipelliculaire ... Pour Cuir Chevelu Sec Et Délicat; testé sur peaux sensibles; soulage la sécheresse et les démangeaisons,DermaXPro by Head & Shoulders Pure Hydration Anti-Dandruff Shampoo 250 ml For Dr
B013241ZHC,Beaphar,2019,N,,H,shampooing pour chien (pet),Shampoing Anti-démangeaisons pour chien; apaise les démangeaisons et irritations,"BEAPHAR – Anti-itch Dog Shampoo – With Natural Extracts of Calendula, Mint & Gra"
B0GP1KK3QW,Head & Shoulders,1955,N,,H,shampooing 2-en-1,shampooing et après-shampooing 2-en-1 (Menthol Fresh 2en1),"Head & Shoulders Menthol Fresh2 x 400 ml, Anti-dandruff Shampoo, Works against d"
B0BZQSSL1X,Phyto,1896,Y,,H,shampooing,Shampooing Douceur tous cheveux; rééquilibre; cheveux doux et brillants (no sensitive/irritated claim),Phyto - Softness - Gentle Shampoo 250 ml - All Hair - Rebalances - Protects the 
B084S5J95Q,Valquer Laboratorios,1833,Y,Irritated / Atopic,M,shampooing,RÉDUIT DÉMANGEAISONS ET INCONFORT; aide à apaiser les cuirs chevelus sensibles et limite les tiraillements; Cuir Chevelu Sensible,"VALQUER pH Neutral Shampoo 1 Litre Hydrating with Panthenol, 99% Natural Ingredi"
B07MYPX6W6,Uriage,1832,Y,Irritated / Atopic,H,shampooing,Pellicules Sévère; Apaise les Démangeaisons; Pellicules sévères et cuir chevelu irrité; dermatologues,Uriage DS Hair Keratorreducer Treatment Shampoo - Lactic Acid 1.8% - Severe Dand
B0D9K9YML4,Phyto,1749,Y,Irritated / Atopic,H,shampooing,Shampoing Dermo-Apaisant anti-démangeaisons; calme les rougeurs du cuir chevelu sensible; irrité et sec; sans alcool ni parfum,Phyto Anti-démangeaisons Dermo-soothing Shampoo 250ml
B0CR1K45P3,Head & Shoulders,1664,N,,H,lot/set shampooing+masque,Lot de 2 flacons... shampoing apaisant avec shampoing anti-pelliculaire et masque anti-peau (set shampooing + masque; pas un shampooing standalone),Head & Shoulders DERMAXPRO Soothing Shampoo with Anti-Dandruff Shampoo & Skin Ma
B09ZYTKDRB,ELEVEN AUSTRALIA,1624,Y,Irritated / Atopic,M,shampooing,Shampooing Équilibrant et Doux pour Cuir Chevelu Sensible; Formule apaisante à base d'aloe vera; sans agresser le cuir chevelu,ELEVEN Australia Gentle Clean Balancing Shampoo – Balancing and Gentle Shampoo f
B00OKFHO0U,Beaphar,1615,N,,H,shampooing pour chien,Shampoing Anti-démangeaisons pour chien (pet product),"BEAPHAR Anti Itch Dog Shampoo - Natural Extracts of Calendula, Mint & Grape Poly"
B08Y1D2DP8,Redken,1413,Y,Irritated / Atopic,H,shampooing,Shampoing Antipelliculaire Hydratant & Apaisant; Cheveux Secs & Cuir Chevelu Sensible; Zinc Pyrithione,REDKEN - Moisturizing & Soothing Anti-Dandruff Shampoo - Clarifies & Relieves Sc
B07HGD7YF5,Animigo,1353,N,,H,shampooing pour chien/chat (pet),Shampooing Chien Anti Démangeaison - Shampoing pour Chien & Chat,"Anti-Itch Dog Shampoo 500 ml - Natural Shampoo for Dogs and Cats - Aloe Vera, La"
B0DCW4Y3WT,Corine de Farme,1324,Y,Irritated / Atopic,M,shampooing,la nature des peaux sensibles; convient à toutes les peaux; même les plus sensibles; toute la famille dès 3 ans,Corine de Farme - Extra-gentle shampoo with sweet almond oil - Cleanses and stre
B0DHCRKPWJ,FLAMINGO,1318,N,,H,shampooing pour chien,Shampoing Chien - shampoing pour Chien; toilettage (pet shampoo),Dog Shampoo - Dog Shampoo - 500 ml - Specially for Sensitive Skin - for the Trea
B0DHS7KGWT,La Roche-Posay,697,Y,Irritated / Atopic,H,shampooing,Shampooing Antipelliculaire Intensif; cuir chevelu sensible; réduit et apaise les démangeaisons,"La Roche-Posay, Toleriane Kerium DS Anti-Dandruff Shampoo Intensive, Reduces and"
B00IVIMVFK,La Roche-Posay,649,Y,Irritated / Atopic,H,shampooing,Shampoing Anti Démangeaisons pour Cuir Chevelu Sensible; apaise immédiatement et durablement les cuirs chevelus sensibles,Kerium - Extreme Mild Shampoo - Anti-Itch Shampoo for Sensitive Scalp - Thermal 
B0052ECRUA,Bioderma,469,Y,Irritated / Atopic,H,shampooing,Apaisant; anti-irritations et anti-démangeaisons; cuirs chevelus sensibles et irrités; prescrit par des dermatologues,"BIODERMA Nodé A Shampoo - Soothing, Anti-Irritation and Anti-Itch - For Soft and"
