"","Search Terms","SV","Relev.","Sugg. bid & range","Launch Score","B01MRHXM0I","B0D5DJBVCR","B00WMZMHPW","B09GDHSW99","B0DCNZVXTP","B0DGWQV8GK","B0D4DY85H3","B00E4GADNA","B09GD8T863","B0CJ3Z5TKN","B07WHKLYPW","B01JIRNEQW","B0GCCJFZ18"
"","fruit fly traps for house indoor","250","0.6923076923076923","","1","1","2","12","6","","34","","10","76","","40","22","19"
"","wondercide fruit fly trap","250","0.6923076923076923","","1","3","11","14","8","20","21","","18","13","","33","",""
"","vinegar gnat traps for house indoor","250","0.6923076923076923","","1","1","3","5","7","24","","","4","","","20","10","45"
"","ultimate fruit fly trap","250","0.6923076923076923","","1","1","4","13","9","21","36","","44","30","","16","",""
"","terro apple fruit fly traps","250","0.6923076923076923","","1","1","7","18","23","10","76","9","4","84","","25","5","82"
"","reusable fruit fly trap","250","0.6923076923076923","","1","2","12","29","33","","38","","25","","","44","30","17"
"","stem fruit fly trap","250","0.6923076923076923","","1","7","15","31","11","","30","","","1","","28","38","39"
"","nat and fruit fly trap","250","0.6923076923076923","","1","1","5","13","15","","32","","10","29","","6","30",""
"","fruitfly","250","0.6923076923076923","","1","1","2","6","14","34","45","24","84","32","39","51","",""
"","fruit ninja fly trap","250","0.6923076923076923","","1","4","1","14","8","","20","","29","30","","12","40","122"
"","aunt fannie's flypunch fruit fly trap","250","0.6923076923076923","","1","4","7","1","10","26","38","73","13","21","","28","",""
"","fruit fly bomb","250","0.6923076923076923","","1","5","11","14","4","","34","131","30","26","42","38","","65"
"","fruit fly indoor trap","250","0.6923076923076923","","1","1","4","11","13","48","35","","9","40","82","25","38","85"
"","fruit fly repellent indoor","250","0.6923076923076923","","1","1","2","11","6","59","23","75","36","62","44","41","18",""
"","fruit fly solution","250","0.6923076923076923","","1","2","14","8","16","1","","3","36","31","5","","",""
"","fruit fly trap apple","250","0.6923076923076923","","1","1","7","10","11","8","36","","3","55","73","4","9","63"
"","fruit fly trap liquid","250","0.6923076923076923","","1","1","13","3","14","2","114","4","30","15","5","","",""
"","fruit fly traps juice","250","0.6923076923076923","","1","3","8","2","13","4","","1","","17","6","19","","92"
"","fruit fly trap indoors","250","0.6923076923076923","","1","1","3","10","6","45","44","","11","","54","32","19",""
"","fruit fly traps for indoor","250","0.6923076923076923","","1","1","4","12","15","","36","38","14","29","80","24","",""
"","indoor fruit fly trap","250","0.6923076923076923","","1","1","2","19","8","28","45","","17","","","31","39",""
"","apple cider vinegar traps for gnats","250","0.6923076923076923","","1","1","5","3","9","","38","","13","36","","23","20",""
"","apple for fruit flies","250","0.6923076923076923","","1","1","9","12","","7","","13","3","35","70","5","8","72"
"","drain fly trap","2923","0.6153846153846154","","14","1","10","18","14","","24","","17","42","","80","","11"
"","nat trap","2612","0.6153846153846154","","13","1","5","14","9","","26","","","20","","25","38","142"
"","gnats and fruit fly killer indoor","2309","0.6153846153846154","","11","1","4","30","9","","15","","","31","","41","35","124"
"","green gobbler fruit fly killer","1872","0.6153846153846154","","9","9","13","27","12","47","118","44","30","34","56","26","48",""
"","nat traps","1763","0.6153846153846154","","9","1","5","19","14","","21","","24","38","","23","",""
"","fruit flies trap indoor","1323","0.6153846153846154","","6","1","3","9","7","47","46","","8","","","43","15","30"
"","terro fruit fly trap refill liquid","877","0.6153846153846154","","4","1","63","3","","4","","2","14","89","9","34","44","126"
"","fruit fly liquid","801","0.6153846153846154","","4","6","21","2","16","1","122","3","58","26","4","89","79","61"
"","fruit fly drain killer","784","0.6153846153846154","","4","10","15","35","20","45","","","","27","","44","","41"
"","fruit fly eliminator","751","0.6153846153846154","","4","1","6","18","15","35","44","","","40","","","","31"
"","fruit flys","500","0.6153846153846154","","2","1","3","8","11","44","","28","","30","","41","","55"
"","indoor gnat and fruit fly killer","490","0.6153846153846154","","2","1","4","35","15","","27","","","37","","26","28",""
"","veneno para mosquitos de fruta","250","0.6153846153846154","","1","1","5","9","6","13","","32","","59","28","4","79","131"
"","apple fruit fly trap","250","0.6153846153846154","","1","1","10","12","","8","53","25","3","81","","5","9","92"
"","superninja fruit fly trap","250","0.6153846153846154","","1","4","1","13","10","","27","","","21","","22","29",""
"","terro gnat trap","250","0.6153846153846154","","1","1","19","40","6","31","","7","4","","","56","5",""
"","to kill fruit flies","250","0.6153846153846154","","1","1","4","11","7","","61","66","37","33","91","38","41","67"
"","green gobbler fruit fly","250","0.6153846153846154","","1","8","24","44","13","30","","","","43","17","38","",""
"","how to kill fruit flies","250","0.6153846153846154","","1","1","3","22","5","","43","","","","","41","19","15"
"","kill fruit fly infestation","250","0.6153846153846154","","1","1","2","30","7","","","","","41","","40","29","28"
"","kitchen fruit fly trap","250","0.6153846153846154","","1","1","3","7","12","","30","","26","48","","25","36","47"
"","landisun fruit fly traps","250","0.6153846153846154","","1","10","17","27","22","","","","31","25","","26","33",""
"","raid fruit fly trap refills","250","0.6153846153846154","","1","6","18","9","1","5","","12","71","","16","3","",""
"","sink fly trap","250","0.6153846153846154","","1","1","5","32","8","","28","","","41","","34","39","110"
"","super ninja against fruit flies","250","0.6153846153846154","","1","6","1","13","9","","12","","","","29","14","22",""
"","super ninja fruit fly trap indoor","250","0.6153846153846154","","1","4","1","","10","","15","","9","44","","30","35",""
"","terra fruit fly trap","250","0.6153846153846154","","1","1","7","17","9","","90","","3","33","","26","5",""
"","apple gnat trap","250","0.6153846153846154","","1","1","7","12","11","9","","","3","","","4","8",""
"","fruit fly apple trap","250","0.6153846153846154","","1","1","9","10","11","8","46","","3","57","","5","6","82"
"","fruit flies traps","250","0.6153846153846154","","1","1","3","8","","27","29","24","5","","68","37","53","77"
"","apple bug traps","250","0.6153846153846154","","1","1","9","13","12","10","64","","4","85","","3","19",""
"","apple fly traps for indoors","250","0.6153846153846154","","1","1","6","12","9","14","65","","3","124","","4","7","118"
"","apple gnat traps for house indoor","250","0.6153846153846154","","1","1","4","28","3","","34","","7","","","2","23",""
"","best fruit fly drain killer","250","0.6153846153846154","","1","6","19","34","16","120","","111","41","28","105","37","","38"
"","drain fly traps for indoors","250","0.6153846153846154","","1","1","6","20","13","","8","90","33","88","","45","71","11"
"","food flies killer indoor home","250","0.6153846153846154","","1","1","3","22","4","139","45","120","","68","","38","29","35"
"","food fly trap","250","0.6153846153846154","","1","1","5","11","6","42","49","59","81","","61","9","25","31"
"","friit fly trap","250","0.6153846153846154","","1","1","3","7","","","","31","5","","26","21","43","73"
"","fruit drain fly killer","250","0.6153846153846154","","1","5","7","36","11","35","89","42","86","27","47","33","","71"
"","fruit fly traps for kitchen","250","0.6153846153846154","","1","1","3","7","11","64","30","74","22","78","","17","","43"
"","fruit fly and drain fly killer","250","0.6153846153846154","","1","4","7","33","12","78","57","","44","27","","21","42","65"
"","fruit fly attractant","250","0.6153846153846154","","1","1","5","3","17","2","88","9","","47","4","34","56","53"
"","fruit fly juice","250","0.6153846153846154","","1","4","18","2","","1","39","8","","32","5","","86","83"
"","fruit fly killer trash can","250","0.6153846153846154","","1","3","6","34","14","45","59","78","116","33","","27","37","119"
"","fruit fly lure liquid","250","0.6153846153846154","","1","3","45","4","44","2","","6","","39","1","","",""
"","fruit fly punch","250","0.6153846153846154","","1","4","5","1","6","","","","31","12","10","","30",""
"","fruit fly refill liquid terro","250","0.6153846153846154","","1","2","38","5","81","4","","1","28","61","7","63","43","106"
"","fruit fly trap amazon","250","0.6153846153846154","","1","1","3","6","","26","23","","5","87","","29","24",""
"","fruit fly trap refill liquid","250","0.6153846153846154","","1","4","37","3","42","1","","2","","38","6","","",""
"","fruit fly traps for indoors apple","250","0.6153846153846154","","1","1","6","10","9","13","93","","4","","","3","11","84"
"","fruit fly traps indoor for home","250","0.6153846153846154","","1","1","3","36","7","119","11","","22","71","","25","","26"
"","frut fly traps","250","0.6153846153846154","","1","1","3","10","7","","28","","4","","","18","31","98"
"","gnat and fruit fly traps","250","0.6153846153846154","","1","1","3","30","7","","37","","38","92","","31","19","91"
"","gnat catcher solution","250","0.6153846153846154","","1","3","12","7","14","1","25","","","","21","42","",""
"","gnat traps for house indoor","74381","0.5384615384615384","","414","1","11","19","23","","28","129","34","","","30","122",""
"","fruit fly killer","15982","0.5384615384615384","","89","1","4","14","12","62","60","31","","43","24","93","","90"
"","fruit fly catcher","2018","0.5384615384615384","","11","1","5","12","15","","","","42","31","","","50","43"
"","fruitfly trap indoor","1574","0.5384615384615384","","9","1","4","8","","","35","","11","","","24","47","40"
"","fruit fly killer indoor","1203","0.5384615384615384","","7","1","3","13","8","","","","27","","23","","28","46"
"","extreme fruit fly infestation","1073","0.5384615384615384","","6","5","4","35","10","54","30","128","","42","69","40","64",""
"","gnats traps for indoors","735","0.5384615384615384","","4","1","7","43","11","","29","","","","","37","21","93"
"","how to get rid of fruit flies","655","0.5384615384615384","","4","1","6","12","14","","45","","19","","","47","","41"
"","fruit flies killer","613","0.5384615384615384","","3","1","4","13","9","60","42","36","62","46","26","","",""
"","best fruit fly eliminator","479","0.5384615384615384","","3","4","13","19","18","52","41","82","43","62","","70","30","60"
"","terro fruit fly trap refill liquid only","250","0.5384615384615384","","1","1","90","5","97","2","116","4","18","108","11","95","31","114"
"","raid fruit fly trap","250","0.5384615384615384","","1","2","7","19","","","15","","10","","","1","39",""
"","fruit fly bar","250","0.5384615384615384","","1","4","8","6","13","","","","","26","21","","25",""
"","fruit fly drain","250","0.5384615384615384","","1","11","19","21","15","108","75","","77","35","30","62","55","25"
"","terro liquid fruit fly refill","250","0.5384615384615384","","1","1","","7","86","3","","2","20","67","5","69","42","96"
"","getting rid of fruit flies","250","0.5384615384615384","","1","1","4","21","6","","","","","","","30","13","10"
"","green goblin fruit fly killer","250","0.5384615384615384","","1","9","12","24","10","","","72","77","26","39","25","","87"
"","how to get rid of fruit flies fast","250","0.5384615384615384","","1","1","2","13","","91","29","","21","75","94","35","42","125"
"","kill fruit flies","250","0.5384615384615384","","1","1","4","14","11","47","63","55","37","29","68","43","81","74"
"","kitchen gnat trap","250","0.5384615384615384","","1","1","5","25","21","","","","11","","","36","42",""
"","natural catch fruit fly trap","250","0.5384615384615384","","1","4","9","7","13","","","","34","38","","33","",""
"","natural fruit fly traps for indoors","250","0.5384615384615384","","1","1","4","3","","","17","","16","","","38","","26"
"","ninja fruit fly trap","250","0.5384615384615384","","1","4","1","13","16","","11","","37","","","19","","144"
"","no buzz zone for fruit flies","250","0.5384615384615384","","1","4","10","16","23","48","25","","43","","","47","","29"
"","reusable fruit fly traps for indoors","250","0.5384615384615384","","1","1","4","22","8","81","57","98","27","88","","20","60","25"
"","small fly trap","250","0.5384615384615384","","1","1","9","40","15","","19","","13","","","71","45","115"
"","zendozones fruit fly trap","250","0.5384615384615384","","1","6","9","30","27","","29","","47","36","","106","81","42"
"","fruit fly catchers","250","0.5384615384615384","","1","1","3","8","14","","102","","29","35","","33","52","58"
"","apple fly trap","250","0.5384615384615384","","1","1","9","14","","8","59","","3","76","","5","6","71"
"","apple nat trap","250","0.5384615384615384","","1","1","8","10","","","","13","4","","","3","5",""
"","aunt fannie's flypunch","250","0.5384615384615384","","1","4","7","1","13","","27","45","","33","","","",""
"","aunt fannie's fruit fly punch","250","0.5384615384615384","","1","4","8","1","","14","23","","","12","13","","",""
"","drain fruit fly killer","250","0.5384615384615384","","1","9","11","33","21","42","46","","62","36","85","37","56",""
"","drain fly and fruit fly killer","250","0.5384615384615384","","1","6","10","16","12","","","121","","29","143","24","41","63"
"","eco strong fruit fly eliminator","250","0.5384615384615384","","1","4","15","19","","","","","","42","22","","38","44"
"","ecostrong drain and fruit fly","250","0.5384615384615384","","1","10","13","44","17","","","","27","46","35","","","15"
"","eliminate gnats and fruit flies","250","0.5384615384615384","","1","1","5","33","6","","25","","23","","","39","",""
"","fly trap indoor housefly","250","0.5384615384615384","","1","8","15","43","38","","3","","28","","","106","30",""
"","food fly killer","250","0.5384615384615384","","1","1","2","23","6","27","84","60","144","45","58","16","",""
"","food fly trap indoor","250","0.5384615384615384","","1","1","6","21","8","29","18","","","","","19","48",""
"","fruit flies trap kitchen","250","0.5384615384615384","","1","1","4","8","13","","38","","35","","","24","48",""
"","fruit fly and gnat catcher","250","0.5384615384615384","","1","1","3","32","","","30","","","119","","18","16","36"
"","fruit fly gnat trap","250","0.5384615384615384","","1","1","4","20","12","","22","","19","59","","28","72","56"
"","fruit fly and gnat traps for indoors","250","0.5384615384615384","","1","1","5","29","12","","19","","34","46","","31","",""
"","fruit fly indoor","250","0.5384615384615384","","1","1","6","9","","49","25","63","14","57","","38","36",""
"","fruit fly instant killer","250","0.5384615384615384","","1","1","8","23","7","","36","","","30","","31","48",""
"","fruit fly killer for drains","250","0.5384615384615384","","1","9","12","39","19","","136","101","64","31","58","38","45","54"
"","fruit fly killer for garbage disposal","250","0.5384615384615384","","1","10","13","30","17","","","","","20","47","28","40",""
"","fruit fly liquid refill","250","0.5384615384615384","","1","3","38","2","43","1","","4","141","47","5","87","126",""
"","fruit fly sink drain killer","250","0.5384615384615384","","1","8","13","26","16","","","87","61","25","55","34","65","43"
"","fruit fly traps for indoors decorative","250","0.5384615384615384","","1","1","11","22","19","","","","12","34","","8","54","116"
"","fruit fly traps for indoors pet safe","250","0.5384615384615384","","1","1","5","9","","","42","","46","31","","","20","15"
"","fruit fly traps for indoors reusable","250","0.5384615384615384","","1","1","7","22","2","","46","","29","","","19","","23"
"","fruit flying insect trap","250","0.5384615384615384","","1","1","5","28","6","","13","","85","24","113","15","74",""
"","drain fly killer","34515","0.46153846153846156","","224","18","51","23","25","","133","103","43","45","37","71","123","92"
"","knit catchers indoor","7002","0.46153846153846156","","46","1","9","16","13","124","35","128","","","","","39",""
"","fruit fly drain treatment","6479","0.46153846153846156","","42","9","29","34","22","102","","","","39","54","50","72","36"
"","nat catcher for indoors","3944","0.46153846153846156","","26","1","11","15","22","","","","126","","","28","40",""
"","terro fruit fly trap refill","3271","0.46153846153846156","","21","1","","4","46","3","","5","28","","11","","86",""
"","gnats trap","1903","0.46153846153846156","","12","2","6","15","12","91","16","132","","","","26","",""
"","indoor gnat trap","1583","0.46153846153846156","","10","1","10","","15","","42","","","","","57","25","27"
"","reusable indoor fly traps gnats","973","0.46153846153846156","","6","2","7","","12","32","38","","","","","21","",""
"","fruitfly killer indoor","714","0.46153846153846156","","5","1","7","15","10","","","","","45","","35","",""
"","terro fly trap refill","630","0.46153846153846156","","4","3","","8","","4","","5","20","","35","","",""
"","drain fly traps","495","0.46153846153846156","","3","1","4","16","","","21","","11","119","","50","68","14"
"","fruit fly fogger","487","0.46153846153846156","","3","4","10","11","5","","25","","","120","38","136","125",""
"","best fruit fly trap","250","0.46153846153846156","","2","2","38","27","26","","","67","20","55","113","50","19","46"
"","gnats traps","250","0.46153846153846156","","2","1","6","10","20","121","22","","","","","26","106",""
"","nats traps for indoors","250","0.46153846153846156","","2","1","6","14","13","","","","","44","","19","",""
"","fruit flies spray","250","0.46153846153846156","","2","6","15","28","12","123","","140","","45","34","65","134","61"
"","fruit fly killer indoors","250","0.46153846153846156","","2","1","3","37","12","47","78","","","42","","28","70",""
"","drain flies trap","250","0.46153846153846156","","2","1","7","17","","","23","","11","","","55","73","12"
"","drain & fruit fly eliminator","250","0.46153846153846156","","2","8","16","41","12","","89","","97","34","","66","58","39"
"","drain and fruit fly eliminator￼","250","0.46153846153846156","","2","9","14","25","16","","60","","56","40","53","49","59","37"
"","drain fruit fly eliminator","250","0.46153846153846156","","2","8","15","37","14","","87","","93","36","68","56","48","23"
"","gnat and fly traps","250","0.46153846153846156","","2","1","5","41","22","90","26","","47","95","","28","114",""
"","gnats fly traps","250","0.46153846153846156","","2","1","24","30","16","","18","","130","","","32","129",""
"","best indoor fruit fly killer","250","0.46153846153846156","","2","1","6","21","7","58","61","72","41","46","91","42","64","82"
"","best thing to get rid of fruit flies","250","0.46153846153846156","","2","1","6","14","10","46","42","92","43","52","58","54","","82"
"","drain and fruit fly killer","250","0.46153846153846156","","2","9","14","29","20","56","127","","104","31","133","43","","52"
"","eliminador de mosquitos de fruta","250","0.46153846153846156","","2","1","2","31","","","","","4","41","44","","51",""
"","fly and nat trap indoor","250","0.46153846153846156","","2","1","10","28","35","","25","","","","","22","",""
"","fly away drain fly killer","250","0.46153846153846156","","2","13","","42","18","","","","","29","30","32","",""
"","flyminator fruit fly trap","250","0.46153846153846156","","2","3","7","17","","41","50","","","45","","37","55",""
"","food flies trap","250","0.46153846153846156","","2","1","7","18","12","56","33","","53","","","32","52",""
"","fruit and drain fly eliminator","250","0.46153846153846156","","2","6","12","37","10","","","","","34","","","","23"
"","fruit and drain fly killer","250","0.46153846153846156","","2","5","10","36","15","","","","103","42","56","40","62","48"
"","fruit bugs traps indoor","250","0.46153846153846156","","2","1","6","29","9","","11","","","","","36","",""
"","fruit dly traps indoor","250","0.46153846153846156","","2","1","4","9","15","56","57","","","102","","28","42",""
"","fruit fly bait refill liquid","250","0.46153846153846156","","2","2","92","5","19","1","","3","53","96","4","59","128","110"
"","fruit fly fan trap","250","0.46153846153846156","","2","9","21","23","27","","42","","","45","","47","77","85"
"","fruit fly gnat drain killer","250","0.46153846153846156","","2","5","13","38","15","","","","","37","","35","",""
"","fruit fly juice refill","250","0.46153846153846156","","2","5","36","1","46","2","","3","","","6","","",""
"","fruit fly ninja","250","0.46153846153846156","","2","4","1","11","","","10","","","32","","","24",""
"","fruit fly spray for indoors","250","0.46153846153846156","","2","4","11","8","7","91","97","","","17","93","","22",""
"","fruit fly traps for indoors top rated","250","0.46153846153846156","","2","1","3","5","","","10","114","8","","","35","54","78"
"","fruit fly treatment","250","0.46153846153846156","","2","1","5","9","","21","","50","30","48","","52","","35"
"","get rid of fruit flies fast","250","0.46153846153846156","","2","1","6","27","16","40","31","76","","","","58","","54"
"","gnat and fruit fly drain killer","250","0.46153846153846156","","2","7","12","21","10","69","","72","","39","","23","",""
"","gnat apple trap","250","0.46153846153846156","","2","1","7","","11","","","","3","","","4","5","139"
"","gnat fruit fly trap indoor","250","0.46153846153846156","","2","1","10","29","12","","21","","","","","24","",""
"","gnattraps for indoors","250","0.46153846153846156","","2","1","6","","16","","40","","","","","28","29",""
"","how to get rid of fruit flies indoors","250","0.46153846153846156","","2","1","3","28","10","45","34","","","","","","",""
"","how to kill drain flies","250","0.46153846153846156","","2","9","","35","11","","","","","38","","37","","45"
"","knat killer indoor","250","0.46153846153846156","","2","1","7","24","19","","39","29","","","","","",""
"","net catchers for inside home","250","0.46153846153846156","","2","1","4","","10","","","","28","","","29","33",""
"","net killer indoor","250","0.46153846153846156","","2","1","3","36","4","","23","","","","","","40",""
"","spray for fruit flies","250","0.46153846153846156","","2","1","5","18","","122","136","134","124","32","16","94","45","84"
"","spray for fruit flies indoor","250","0.46153846153846156","","2","4","13","11","7","59","","102","135","16","96","131","24","98"
"","terro fruit fly refill","250","0.46153846153846156","","2","1","111","2","120","4","","3","37","96","9","90","68","130"
"","terro gnat trap refill liquid","250","0.46153846153846156","","2","1","98","10","96","4","","3","21","","11","74","",""
"","terro refills for fruit fly traps","250","0.46153846153846156","","2","1","","5","","4","","3","29","","11","","",""
"","zendozones fruit fly trap refill","250","0.46153846153846156","","2","13","34","2","","3","","8","","","7","","",""
"","green gobbler fruit fly and drain fly killer","250","0.46153846153846156","","2","7","22","31","9","106","","102","","34","92","40","68","48"
"","gnat killer indoor","22245","0.38461538461538464","","","1","6","29","23","","","36","76","51","92","53","",""
"","gnat killer","9907","0.38461538461538464","","","2","10","34","18","","","","","42","","","",""
"","nat traps for indoors","7976","0.38461538461538464","","","1","7","19","14","","","","46","51","","20","76",""
"","gnats killer indoor trap","5025","0.38461538461538464","","","3","10","22","13","","27","","","","","68","",""
"","fly traps indoor for home","4779","0.38461538461538464","","","8","69","31","73","","10","","33","","","45","",""
"","fruit fly spray","4669","0.38461538461538464","","","7","11","43","26","91","","83","","","24","","129","79"
"","fruit flies killer indoor","4188","0.38461538461538464","","","1","6","10","11","68","65","70","","36","56","48","","102"
"","gnats","3866","0.38461538461538464","","","1","5","35","11","","34","","","","","","",""
"","fruit fly trap refill","3418","0.38461538461538464","","","4","75","2","","1","","3","","","14","","",""
"","super ninja fruit fly trap","2519","0.38461538461538464","","","4","1","14","","8","9","","","","","70","102","120"
"","nats trap","2424","0.38461538461538464","","","1","4","16","","","23","","","","","28","53",""
"","gnat traps indoor","1371","0.38461538461538464","","","1","10","14","15","","25","","","","","54","133","101"
"","nat killer","1238","0.38461538461538464","","","1","9","29","10","","","","","44","","","",""
"","fruit fly refill liquid","961","0.38461538461538464","","","3","57","2","46","1","","4","129","54","5","75","86","82"
"","fruit fly spray killer indoor","885","0.38461538461538464","","","5","9","26","8","136","143","","","40","103","64","85","68"
"","veneno para moscas interior","754","0.38461538461538464","","","6","3","39","17","","25","","","","","","",""
"","nat fly traps indoor","698","0.38461538461538464","","","1","6","8","48","","20","","","","","21","",""
"","gnats killer","689","0.38461538461538464","","","1","5","28","10","","90","","","34","","115","",""
"","gnat fly trap","624","0.38461538461538464","","","1","20","22","23","","24","","","","","","",""
"","indoor fly killer","619","0.38461538461538464","","","14","8","37","","","18","","","","","","23",""
"","knats","593","0.38461538461538464","","","1","5","18","6","","34","","","","","","",""
"","knat catcher","566","0.38461538461538464","","","2","14","18","34","27","","","","","","","",""
"","indoor fly catcher","539","0.38461538461538464","","","5","11","","","","36","","45","","","","40",""
"","fruit fly refill","529","0.38461538461538464","","","5","55","1","70","2","","3","","","9","101","",""
"","fruit fly bar pro","468","0.38461538461538464","","","5","10","17","","","44","","","","23","","",""
"","net trap","250","0.38461538461538464","","","1","3","","6","","27","","14","","","","",""
"","hanging fly traps indoor","250","0.38461538461538464","","","21","29","","","","15","","34","","","","33",""
"","super ninja gnat traps","250","0.38461538461538464","","","4","1","23","","","13","","","","","37","",""
"","vinegar traps for gnats","250","0.38461538461538464","","","1","4","3","","13","","","7","","","","48","53"
