Product Details,ASIN,Focus,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
KB Nexa Insecticide Ants Ready to Use (4 Packs) 8 Box Bait,B07FF465BX,Ant,https://www.amazon.it/dp/B07FF465BX?psc=1,https://m.media-amazon.com/images/I/714KK45xwqL._AC_SY355_.jpg,KB HOME DEFENSE,37.95,"1,974.09","1,687",4.5,226,"Sep 21, 2018",90
"Pest Whisperer – Ultrasonic Repellent for Professional Mice – Mice and Rat Repellent – Repellent for Mice – Anti Cockroaches, Ants – Combined Power 16 W – 2 Units",B0G7MNDQR5,Ant,https://www.amazon.it/dp/B0G7MNDQR5?psc=1,https://m.media-amazon.com/images/I/71FQ73epmRL._AC_SY355_.jpg,WILD SOLUTION,24.99,"1,905.05",250,5,32,"Jan 27, 2026",2
"RepellShield Natural Ant and Mosquito Repellent Spray - 500ml - Indoor and Outdoor Use - Safe for Children and Pets - With Essential Oils of Mint, Lemongrass and Lemongrass",B0F8WYXR9K,Ant,https://www.amazon.it/dp/B0F8WYXR9K?psc=1,https://m.media-amazon.com/images/I/61DPRmiklAL._AC_SY355_.jpg,RepellShield,18.04,"1,604.06",76,4,"2,265","Jul 15, 2025",8
"Albagarden - Albakill Anti Ant Bait 5 kg - Poison Insecticide Powder for All Indoor and Outdoor Environments Garden Home - Against Cockroaches Insects Flea Ticks, Soluble",B08BTXZT86,Ant,https://www.amazon.it/dp/B08BTXZT86?psc=1,https://m.media-amazon.com/images/I/81wJI-FYOWL._SX342_.jpg,Albagarden,64.9,"1,369.82","9,799",4.2,70,"Jun 25, 2020",69
Albagarden - Insecticide for Pest Control - Rapid Action Against Cockroaches Ants Ticks Flea Lice Bedbugs - Powder x 1 kg,B0B65HCMH5,Ant,https://www.amazon.it/dp/B0B65HCMH5?psc=1,https://m.media-amazon.com/images/I/81tynq2LDGL._SX342_.jpg,Albagarden,16.9,"1,369.77",803,4.3,368,"Jul 9, 2022",44
KB Nexa® Ants Granules 250G,B0CT61ZGSN,Ant,https://www.amazon.it/dp/B0CT61ZGSN?psc=1,https://m.media-amazon.com/images/I/71ld9gkfsHL._AC_SY355_.jpg,KB HOME DEFENSE,12.89,"1,340.02","3,927",3.6,37,"Apr 6, 2024",23
"Protect Home Forminix Granular Bait, Poison for Ants Ready to Use, Effective, Eliminates the Nest, Ideal for Outdoor Environments such as Patios, Gardens, Balconies. 200 g",B08P558NBS,Ant,https://www.amazon.it/dp/B08P558NBS?psc=1,https://m.media-amazon.com/images/I/71EUKma9f6L._AC_SY355_.jpg,PROTECT HOME,12.6,"1,320.15",196,4.2,"2,331","Nov 26, 2020",64
LERAVA Ant Insecticide Gel (4 x 10 g) – Powerful Bait to Eliminate Colonies – Anti Ants Safe for Home Family Animals – Ready to Use Gel for Maximum Effectiveness Indoor Outdoor,B0CT3QVKX3,Ant,https://www.amazon.it/dp/B0CT3QVKX3?psc=1,https://m.media-amazon.com/images/I/71lkY4s1fIL._AC_SY355_.jpg,LERAVA,29.97,"1,224.43",43,4.2,"1,035","Jan 23, 2024",26
"Protect Home Forminix Box, Ant Poison in Gel Box Ready to Use Effective, Eliminates Nest in a Short Time Ideal for Indoor and Outdoor Environments 2 Boxes",B08P52JY26,Ant,https://www.amazon.it/dp/B08P52JY26?psc=1,https://m.media-amazon.com/images/I/71pn-3PylcL._AC_SY355_.jpg,PROTECT HOME,9.21,"1,207.35",204,3.8,"1,058","Nov 26, 2020",64
"Baygon Cockroaches and Ants Trigger Insecticide, Fast Action and Barrier Effect 1 Month, 1 Trigger 500 ml",B0BSXJ7PFZ,Ant,https://www.amazon.it/dp/B0BSXJ7PFZ?psc=1,https://m.media-amazon.com/images/I/61Kf2LiNvwL._AC_SY355_.jpg,Baygon,7.64,"1,178.43","11,466",4,84,"Jan 24, 2023",38
Protemax Zapi Spa Insecticide Gel Syringe 5 g – Ready to Use,B091BCVL4P,Ant,https://www.amazon.it/dp/B091BCVL4P?psc=1,https://m.media-amazon.com/images/I/8136+T3DOWL._AC_SY355_.jpg,Protemax,10.9,"1,098.15",553,4.2,312,"Apr 5, 2021",59
Albagarden - Insecticide for Pest Control - Rapid Action Against Cockroaches Ants Ticks Flea Lice Bedbugs - Dust x 1 kg (Civil Environments),B0C2VD3B9N,Ant,https://www.amazon.it/dp/B0C2VD3B9N?psc=1,https://m.media-amazon.com/images/I/71X2VCPLyYL._SX342_.jpg,Albagarden,17.9,"1,010.45",803,4.3,368,"Apr 18, 2023",35
"Protect Home Forminix Ant Poison Powder, Ready to Use, Kills Ants and Cockroaches, Eliminates Nest. Ideal for Outdoor and Indoor Environments. 375 g",B094NZD32H,Ant,https://www.amazon.it/dp/B094NZD32H?psc=1,https://m.media-amazon.com/images/I/71iP+cFRhrL._AC_SY355_.jpg,PROTECT HOME,11.29,991.66,"2,367",4.3,232,"Jun 1, 2021",57
