Product Details,ASIN,Focus,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
SILVA® Ant Bait Box for Indoor and Outdoor Use [PT 19 - Natural Active Ingredient] - Ant Trap Tin - Ant Bait Box - Ant Bait - Ant Box - Odourless - 4 Cans & Effective for up to 14 Days,B0F5WS5W5H,Ant,https://www.amazon.de/dp/B0F5WS5W5H?psc=1,https://m.media-amazon.com/images/I/71enPd1T6GL._AC_SY355_.jpg,Silva,30,"3,030.93","7,502",3,144,"May 8, 2025",10
"Plantura SF Nematodes Against Ants - 100% Organic & Highly Effective, Easy to Use, Beneficial Insects from Germany, 10 Million for up to 10 Nests/Approx. 2 m Wall",B0F99J1P1S,Ant,https://www.amazon.de/dp/B0F99J1P1S?psc=1,https://m.media-amazon.com/images/I/71aWtR4o4gL._AC_SY355_.jpg,Plantura,15.99,"2,721.35","4,932",3.8,90,"May 19, 2025",10
"Ant Stop Spray 500 ml - Ant Spray for Indoor and Outdoor Use I Remedy Against Ants in the Home, Garden I Alternative to Ant Bait & Ant Trap",B0G1YY2KYN,Ant,https://www.amazon.de/dp/B0G1YY2KYN?psc=1,https://m.media-amazon.com/images/I/51jnHO--aML._AC_SY355_.jpg,naturetrend,16.9,"2,700.03","1,188",4.2,685,"Nov 12, 2025",4
"BIODELTA Ant Bundle, 2 x 500 ml + 1 x 5 L, Anti Ant Remedy for Fighting Ants in the Home and Garden, Remedy Against All Types of Ants, Long-Lasting Effect, Stain-Free",B0DF2DGHS7,Ant,https://www.amazon.de/dp/B0DF2DGHS7?psc=1,https://m.media-amazon.com/images/I/71HaxsyTBnL._SX342_.jpg,LTK-008,59.99,"2,682.12","41,880",4,11,"Aug 23, 2024",19
Raid Essentials Ameisen- und Schabenabwehr Raumschutz-Spray,B0CQP54QVC,Ant,https://www.amazon.de/dp/B0CQP54QVC?psc=1,https://m.media-amazon.com/images/I/61EPiywqRQL._AC_SY355_.jpg,Raid,4.95,"2,500.47","1,530",4.2,276,"Dec 20, 2023",27
40 Pcs Ant Bait Pheromone Trap Bug (Orange),B0FYFTG1TF,Ant,https://www.amazon.de/dp/B0FYFTG1TF?psc=1,https://m.media-amazon.com/images/I/713M5uGZFtL._AC_SY355_.jpg,Yineaae,10.92,"2,279.02","3,191",3,4,"Dec 3, 2025",3
Schädlingsmeister Ant Repellent Spray – 500 ml – Protection with Eucalyptus & Chrysanthemum Extract – Anti Ant Spray – Ant Repellent Indoor and Outdoor Use – Made in Germany,B0DQ27C93S,Ant,https://www.amazon.de/dp/B0DQ27C93S?psc=1,https://m.media-amazon.com/images/I/81L4Y6DLL1L._AC_SY355_.jpg,Panteer,16.95,"2,219.41","8,667",4,97,"Jan 11, 2025",14
ARDAP Repell Ant Spray 2 x 400 ml - Ant Spray for Outside and Against Ants in the House - Agent Against Ants - Ant Spray for Acute Ant Infestation - Works Quickly (PT19),B0DZ6X9VZD,Ant,https://www.amazon.de/dp/B0DZ6X9VZD?psc=1,https://m.media-amazon.com/images/I/61c+DPKzTOL._AC_SY355_.jpg,ARDAP,26.6,"1,884.15","24,951",4,59,"Mar 4, 2025",12
"Ant Repellent Powder - 1000 g - Instant Effect Against Ants, Woodlice Beetles - For Indoor and Outdoor Use - Sprinkle or Watering - Ant Litter - Ant Powder - PT19 Repellent - Made in Europe (2 x 500 g",B0FNRZCLTW,Ant,https://www.amazon.de/dp/B0FNRZCLTW?psc=1,"https://m.media-amazon.com/images/I/81xNRtXNDEL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",Panteer,25.2,"1,788.55","5,681",3.9,51,"Aug 26, 2025",7
"ByeBye Ant Spray [500 ml] with Instant Effect and Insecticide-free AM Formula, Excellent Alternative to Ant Bait Box, Ant Angel & Ant Powder",B0GN9MLG8P,Ant,https://www.amazon.de/dp/B0GN9MLG8P?psc=1,https://m.media-amazon.com/images/I/819fD+41etL._AC_SY355_.jpg,ABWEHR MEISTER,22.97,"1,706.91",616,4.5,326,"Mar 11, 2026",0
"Super SF Nematodes - Natural Support for Ants in the Garden - Environmentally Friendly, Chemical-Free, Easy to Use (50 Million for 100 m²)",B0F5NXYRBX,Ant,https://www.amazon.de/dp/B0F5NXYRBX?psc=1,https://m.media-amazon.com/images/I/91n2vn-wkRL._SX342_.jpg,GREEN GUARDIA,32.9,"1,641.82","2,176",3.6,204,"Apr 20, 2025",11
"Super SF Nematodes - Natural Support for Ants in the Garden - Environmentally Friendly, Chemical-Free, Easy to Use (10 Million for 20 m²)",B0F5NX6S5V,Ant,https://www.amazon.de/dp/B0F5NX6S5V?psc=1,https://m.media-amazon.com/images/I/917OnPlXXrL._SX342_.jpg,GREEN GUARDIA,12.9,"1,592.23","2,176",3.6,204,"Apr 20, 2025",11
"Neudorff Beneficial insects against ants - 5 million SF nematodes for natural and quick control of ants and ant nests on lawns, paths etc.",B0FHB85JF3,Ant,https://www.amazon.de/dp/B0FHB85JF3?psc=1,https://m.media-amazon.com/images/I/81AZ3GGRG-L._AC_SY355_.jpg,Neudorff,19.99,"1,552","11,492",4,14,"Jul 11, 2025",8
Premium Ant Spray – Immediate + Effective Formula – 500 ml Ant Spray – Alternative to Ant Poison and Ant Bait Box – Better than Any Ant Trap,B0FV9572LP,Ant,https://www.amazon.de/dp/B0FV9572LP?psc=1,"https://m.media-amazon.com/images/I/81yPeOKT-oL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",KRAFTKÖNIG,34.99,"1,482.42",241,4.3,230,"Oct 8, 2025",5
BIODELTA Ant Spray - Anti Ant Agent for Fighting in the Home and Garden - Repellent - Against All Types - Long-Term Effect (500 ml),B0D1RHF88Y,Ant,https://www.amazon.de/dp/B0D1RHF88Y?psc=1,https://m.media-amazon.com/images/I/61vxQjtOqOL._AC_SY355_.jpg,LTK-008,18.99,"1,316.79","4,431",3.9,420,"May 8, 2024",22
"Home Ant Powder 250 g, White",B0CJC9KP16,Ant,https://www.amazon.de/dp/B0CJC9KP16?psc=1,https://m.media-amazon.com/images/I/71-Z2PLezdL._AC_SY355_.jpg,Terrasan,5.99,"1,123.15","6,137",3.7,114,"Feb 3, 2024",25
"Super SF Nematodes - Natural Support for Ants in the Garden - Environmentally Friendly, Chemical-Free, Easy to Use (2 Million for 4 m²)",B0F5NWZFG6,Ant,https://www.amazon.de/dp/B0F5NWZFG6?psc=1,https://m.media-amazon.com/images/I/91KHzmNI2sL._SX342_.jpg,GREEN GUARDIA,5.9,"1,104.90","2,177",3.6,204,"Apr 20, 2025",11
"Ant Bait, 9 Pieces Non-Toxic Ant Trap, Adhesive Trap for Monitoring Ants - Odourless, Safe for Children & Pets (B)",B0G3WCZHV5,Ant,https://www.amazon.de/dp/B0G3WCZHV5?psc=1,https://m.media-amazon.com/images/I/81LhKMYIQqL._AC_SY355_.jpg,APXEL,5.58,"1,061.55","2,185",2.4,64,"Dec 18, 2025",3
"Ant Bait, 6 Pieces Non-Toxic Ant Trap Adhesive Trap for Monitoring Ants - Odourless, Safe for Children & Pets (A)",B0G3WJ45J7,Ant,https://www.amazon.de/dp/B0G3WJ45J7?psc=1,https://m.media-amazon.com/images/I/81t2mSacEkL._AC_SY355_.jpg,APXEL,5.99,"1,039.77","2,184",2.4,64,"Dec 21, 2025",3
"RepellShield Natural Geraniol ant spray for indoor and outdoor use, ant agent with essential oils, citrus fragrance, alternative to ant bait and ant trap for indoor, 250 ml",B08DD963L4,Ant,https://www.amazon.de/dp/B08DD963L4?psc=1,https://m.media-amazon.com/images/I/71WbAZ0v5bL._AC_SY355_.jpg,RepellShield,13.99,"1,010.09","10,077",3.7,"2,246","Aug 19, 2020",67
