asin,brand,revenue,is_shampoo,segment,confidence,product_type,evidence,title
B0BNNV8K2D,KÉRASTASE,7043,Y,Irritated / Atopic,H,champú,Champú Anticaspa Purificante Para Cuero Cabelludo Seco Y Sensible Con Tendencia A La Caspa; rehidrata y calma el cuero cabelludo,"Kérastase Symbiose, Purifying Anti-Dandruff Shampoo, For Dry And Sensitive Scalp"
B0077372FO,NaturVital,5347,Y,Irritated / Atopic,H,champú,Dermatológico para Piel Atópica y Cuero Cabelludo Sensible; apto para pieles sensibles y atópicas,"NaturVital - Sensitive Shampoo, Paraben and Silicone Free, Natural Shampoo for O"
B0G392Y83X,Head & Shoulders,5224,Y,Irritated / Atopic,H,champú,Calmante; Alivia el Cuero Cabelludo Seco y con Picor; Ayuda a Reforzar la Barrera de la Piel,H&S DermaXPro Soothing Shampoo 800ml with Aloe Vera Extract and Ceramide Complex
B08ZD9MGLH,Dr. Tree,4285,Y,Irritated / Atopic,H,champú,Champú Dermoprotector Cueros Cabelludos Sensibles ... respetan el manto protector de la piel sensible y atópica ... Hipoalergénico,"Dr. Tree | Champú Dermoprotector Cueros Cabelludos Sensibles | Limpieza, Brillo "
B0CH8K9NMR,Wella Professionals,3930,Y,Irritated / Atopic,H,champú,Champú Purificante para Cuero cabelludo sensible; Ligero y suave para el cabello,Wella Professionals INVIGO BALANCE PURE - Champú Purificante para Cuero cabellud
B07TT7VMFD,Ducray,3741,Y,Irritated / Atopic,H,champú,Champú Anticaspa; Kelual ds champú dermatitis seborreica; calma el cuero cabelludo,Ducray Anti-dandruff shampoo-100 milliliters
B01CS5KDOC,Instituto Español,3369,Y,Irritated / Atopic,H,champú,Champú para Piel Atópica - cuero cabelludo sensible o con tendencia atópica; no irrita; calma el picor,Instituto Español Atopic Skin Shampoo - 300 ML
B00TTX05FY,Rilastil,3126,Y,Irritated / Atopic,H,champú,Champú Ultradelicado para Cuero Cabelludo Sensible; Dermatitis Seborreica; Eccemas; máxima tolerancia; hipoalergénica,"Rilastil - Advance Ultra-thin Shampoo for Sensitive Scalp, Seborrheic Dermatitis"
B0DDTXX5BT,VICHY,3029,Y,Irritated / Atopic,H,champú,Champú Acondicionador Anticaspa DS 2en1; Elimina la Caspa; Efecto Antirrecaída; Reduce el picor,"Vichy, Dercos DS Anti-Dandruff Shampoo Conditioner 2in1, Eliminates Dandruff, An"
B0BDXP1TSQ,Procter & Gamble,2827,Y,Irritated / Atopic,H,champú,DermaXPro Calmante ... Alivia el Cuero Cabelludo Seco ... diseñado especialmente para cueros cabelludos desequilibrados y con picor ... reduce el picor,H&S DermaXPro Soothing Anti-Dandruff Shampoo 300ml with Aloe Vera Extract and Ce
B0090Y79SS,Eucerin,2148,Y,Irritated / Atopic,H,champú,DermoCapillaire kopfhautberuhigendes Urea Shampoo (champú calmante del cuero cabelludo con urea); cuidado médico de la piel,"Eucerin DermoCapillaire Kopfhautberuhigendes Urea Shampoo, 250 ml Shampoo"
B003TZZSD2,Neutrogena,2146,Y,Irritated / Atopic,H,champú,Champú antipicazón severa y anticaspa; fórmula no irritante; probado bajo control dermatológico,Neutrogena T/Gel Strong Shampoo (250 ml bottle) – Anti-severe itching and anti-d
B072LTMTMQ,Milva,2091,Y,Irritated / Atopic,H,champú,Champu Anticaspa Natural - Anticaspa para Psoriasis - Cuero Cabelludo Seco con Picor; para Dermatitis Seborreica,Milva Pine Tar Shampoo for Seborrheic Dermatitis - 500ml Natural Anti-Dandruff S
B0CW23M5YY,RAW REVIVAL,2080,Y,Irritated / Atopic,H,champú sólido,Anticaspa + Dermatitis Seborreica; calma el picor del cuero cabelludo sensible,Rosemary Solid Shampoo | Anti-Dandruff + Seborrheic Dermatitis | Sulfate and Par
B09BNSGF63,Wella Professionals,2054,Y,Irritated / Atopic,H,champú,Champú Calmante para cuero cabelludo sensible y seco; propiedades antioxidantes y calmantes,Wella Professionals ELEMENTS Champú Calmante - Cuero cabelludo seco y delicado -
B074CRFZ72,Valquer Laboratorios,1877,Y,Irritated / Atopic,H,champú,Champú Anticaspa Zero; Reduce Picor e Irritación del Cuero Cabelludo; Con Piroctone Olamine,VALQUER Zero Sulfate Free Anti-Dandruff Shampoo | Reduces Itching and Irritation
B0BPYF46LP,L'Oréal Professionnel Paris,1877,Y,Irritated / Atopic,H,champú,Champú Anti Malestar enriquecido con activos dermatológicos para cuero cabelludo sensible; limpia con suavidad a la vez que calma el cuero cabelludo sensible,"L'Oréal Professionnel, Anti Discomfort Shampoo Enriched with Dermatological Acti"
B0849VSLYK,Uriage,1831,Y,Irritated / Atopic,H,champú,extremadamente suave con los cueros cabelludos sensibles ... ayuda a limitar las irritaciones; Desarrollado y recomendado por dermatólogos para el cuero cabelludo sensible,"Uriage Ds Hair Daily Regulating Shampoo with Eucalyptus - Soft, Fresh and Flora "
B0DCKCZ5X6,ENOOSO,1776,Y,Irritated / Atopic,H,champú,¿Cuero cabelludo irritado; escamas y picor constante? ... calma la dermatitis seborreica cuero cabelludo sensible,"Enooso - Anti-dandruff and Anti-Dandruff Solid Shampoo with Rosemary and Biotin,"
B0DHS7KGWT,La Roche-Posay,1764,Y,Irritated / Atopic,H,champú,Kerium DS Anti-Schuppen; cuidado médico del cabello; anticaspa (dermatitis seborreica),"La Roche-Posay Kerium DS Anti-Schuppen Intensiv Shampoo, 200 ml Shampoo"
B009P0V9UQ,Eucerin,1717,Y,Irritated / Atopic,H,champú,champú hidratante y calmante para cuero cabelludo seco; eficaz en dermatitis o psoriasis; Polidocanol y Urea,"Eucerin DermoCapillaire UREA SHAMPOO (250ml), Moisturizing and Soothing Shampoo "
B01D5AP88A,VICHY,1530,Y,Irritated / Atopic,H,champú,Champú Ultracalmante; Alivia el Cuero Cabelludo Sensible; Anti-irritación; reduce la sensación de picazón y enrojecimiento,"Vichy Dercos Technique Ultra Soothing Shampoo Soothes Sensitive Scalp, Nourishes"
B07TZ9HV1S,Evolsin,1501,Y,Irritated / Atopic,H,champú,Champú para Psoriasis y Eczema; cuero cabelludo seco; irritado y con eczema; neurodermatitis y psoriasis,Evolsin® Shampoo for Psoriasis and Eczema I 250ml I Without Cortisone I Shampoo 
B0DF7ZD6P4,Ziaja,1436,Y,Irritated / Atopic,H,champú,Champú Antiprurítico Dermatológico Calmante; alivia el picor; ideal para pieles sensibles y cuero cabelludo reactivo,"ZIAJA MED Soothing Dermatological Antipruritic Shampoo, Natural Formula with Alo"
B018KA85SU,Bionatar,1419,Y,Irritated / Atopic,M,champú,"título genérico ""Champú"" pero formato champú; reseñas y uso indican dermatitis seborreica/psoriasis de mantenimiento prescrito por dermatólogo (ácido glicólico)",Shampoo 300 ml
B084S5PKYK,Valquer Laboratorios,1368,Y,Irritated / Atopic,H,champú,Champú Sin Sulfatos para Cuero Cabelludo Sensible; Calma Cuida y Protege Frente a Picor Irritación y Sequedad,"VALQUER Sulfate-free Shampoo for Sensitive Scalp | Soothes, Cares and Protects A"
B0CH8K7R2R,Wella Professionals,1366,Y,Irritated / Atopic,H,champú,Champú para Cuero Cabelludo Sensible - Sin Fragancia; Fórmula refrescante y calmante que alivia suavemente los cueros cabelludos sensibles; con alantoína,Wella Professionals INVIGO BALANCE CALM - Champú de Limpieza Suave y Mascarilla 
B08N4QV6ZS,VIDALFORCE,1350,Y,Irritated / Atopic,H,champú,Champu Dermatitis Seborreica y Anticaspa; cuero cabelludo sensible y seco; reduce el picor; la descamación y el enrojecimiento,"SPOTLESS Seborrheic Dermatitis and Anti-Dandruff Shampoo without Sulfates, Silic"
B0CH8KW2WR,Wella Professionals,1305,Y,Irritated / Atopic,H,champú,Champú Anticaspa; Cuero cabelludo sensible; Calma los cueros cabelludos sensibles,Wella Professionals Invigo Scalp Balance Clean | Anti-Dandruff Shampoo | Sensiti
B0041MD3CK,LABORATORIOS BABE,1146,Y,Irritated / Atopic,H,champú,tratamiento especializado para el cuero cabelludo graso o con dermatitis seborreica ... calma el picor asociado con la caspa y la dermatitis seborreica,"Laboratorios Babé - Anti-dandruff Shampoo 250 ml, Oily Hair, Seborrheic Dermatit"
