Product Details,ASIN,Type,Focus,Treatment Method,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"Preaftir Anti-Lice Preventive Shampoo Oil Treatment Lice and Nits Soothing Antipruritic for Adults and Children, 150 ml",B081VVP42W,Prevention shampoo,Prevention,,https://www.amazon.it/dp/B081VVP42W?psc=1,https://m.media-amazon.com/images/I/61YN1Y-+g9L._AC_SY355_.jpg,Aftir,8.85,801,801,300,"7,253.69","7,253.26",119,"1,281",AMZ,4.3,13,4.6,332,6,21,Amazon,Beauty,Extra Large Envelope,AMZ,14.99 x 5.84 x 5.84 cm,0.16,N/A,"Nov 20, 2019",,No,76,Amazon
EG Hedrin Anti-Lice Shampoo | Eliminates Lice and Nits in 5 Minutes | Comb Included | 200 ml,B0F1YGXCP1,Treatment shampoo with comb,Treatment,Physical,https://www.amazon.it/dp/B0F1YGXCP1?psc=1,https://m.media-amazon.com/images/I/71x275tNG3L._AC_SY355_.jpg,EG,22.64,271,49,30,"6,177.42","1,098.23",92,"11,832",IT,7.57,2,4.4,60,6,13,FARMACIANUOVA,Beauty,Extra Large Envelope,FBA,5.00 x 16.00 x 7.00 cm,0.2,N/A,"Mar 19, 2025",,No,12,FARMACIANUOVA
Aftir Gel Treats & Prevents Lice & Nits Fast Action for Adults and Children 40ml,B08152CNM6,Treatment lotion,Treatment,Physical,https://www.amazon.it/dp/B08152CNM6?psc=1,https://m.media-amazon.com/images/I/41jw40V0vUL._AC_SY355_.jpg,Aftir,9.74,534,534,400,"5,778.31","5,777.86",80,N/A,AMZ,4.13,13,4.4,217,1,2,Amazon,,Large Envelope,AMZ,14.00 x 3.20 x 4.40 cm,0.05,N/A,"Nov 7, 2019",,No,76,Amazon
NitNOT - Strong Lice & Nits Treatment for Children and Adults 200ml Kills 100% of Lice and Eggs - Easy and Safe to Use,B07KWPKKWZ,Treatment lotion,Treatment,Physical,https://www.amazon.it/dp/B07KWPKKWZ?psc=1,https://m.media-amazon.com/images/I/61vbKvMW0RL._AC_SX355_.jpg,Nitnot,21.99,234,209,600,"5,087.34","4,592.62",118,"1,314",GB,8.23,1,4.4,"5,258",7,89,"NitNOT Head Lice, Egg Nit Treatment & Combs",Health & Household,Large Envelope,FBA,19.00 x 3.44 x 5.90 cm,0.23,#1,"Dec 21, 2018",,No,87,"NitNOT Head Lice, Egg Nit Treatment & Combs"
"Pouxit Shampoo, Lice and Nits Shampoo, 2-in-1 Action, Insecticide-Free, Comb Included, 200 ml",B0C7GZ4D7L,Treatment shampoo with comb,Treatment,Physical,https://www.amazon.it/dp/B0C7GZ4D7L?psc=1,https://m.media-amazon.com/images/I/71svC1-4mGL._AC_SY355_.jpg,Pouxit,11.59,583,583,200,"4,252.19","4,248.67",93,"3,122",N/A,5.65,3,4.3,510,1,15,,Beauty,Small Parcel,FBA,26.00 x 7.90 x 16.10 cm,0.32,N/A,"Jun 8, 2023",,No,33,
Puressentiel - Pouxdoux Shampoo for Daily Use – Complementary to Anti-Lice Treatment – with Organic Essential Oils – Heals the scalp and removes dead nits and lice – 200 ml,B00FOSNOF6,Prevention shampoo,Prevention,,https://www.amazon.it/dp/B00FOSNOF6?psc=1,https://m.media-amazon.com/images/I/71yJpIHGvyL._AC_SY355_.jpg,Puressentiel,6.96,659,659,200,"4,199.02","4,198.65",172,756,N/A,4.15,15,4.4,"2,040",1,0,,Climate Pledge Friendly,Extra Large Envelope,MFN,15.30 x 4.70 x 4.70 cm,0.23,N/A,"Aug 26, 2013",,No,151,
Milice Topical Thermosensitive Foam 150 ml + Complementary Shampoo 80 ml + Comb with Thick Teeth for the Removal of Nits and Lice,B077Z7QKN9,Treatment shampoo with comb,Treatment,Physical,https://www.amazon.it/dp/B077Z7QKN9?psc=1,https://m.media-amazon.com/images/I/51WGHuX6XiL._AC_SY355_.jpg,Milice,19,204,204,100,"3,631.95","3,631.12",129,"3,088",IT,7.12,16,4.5,297,1,1,Parafarmacia Farmastazione,Beauty,Extra Large Envelope,MFN,21.10 x 5.60 x 10.60 cm,0.33,N/A,"Dec 7, 2017",,No,99,Parafarmacia Farmastazione
Paranix Lice & Nits Spray Treatment with Comb 100% Effective in 10 Minutes 100ml,B00D3HZ6SS,Treatment spray with comb,Treatment,Physical,https://www.amazon.it/dp/B00D3HZ6SS?psc=1,"https://m.media-amazon.com/images/I/81Nm7dNXg+L._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg",Paranix,16.4,165,165,50,"2,753.88","2,752.23",80,572,AMZ,6.63,11,4.4,513,10,0,Amazon,Garden,Extra Large Envelope,AMZ,14.60 x 4.70 x 4.90 cm,0.12,N/A,"Nov 22, 2013",,No,148,Amazon
NitWits Quick Action Anti Lice Spray - Lice & Nits Treatment - Plastic Comb Included - Easy to Remove - 120ml - 100% Effective Against Larvae and Nits,B0FNDRYL3M,Treatment spray with comb,Treatment,Physical,https://www.amazon.it/dp/B0FNDRYL3M?psc=1,https://m.media-amazon.com/images/I/71IoU8GCvdL._AC_SY355_.jpg,NitWits,14.99,49,168,100,734.6,"2,513.71",150,"6,393",AMZ,6.42,1,4.6,21,7,1,Amazon,Health & Household,Extra Large Envelope,AMZ,18.10 x 4.70 x 6.70 cm,0.17,N/A,"Aug 22, 2025",,No,7,Amazon
"Aftir Post Treatment Shampoo Lice and Nits Preventive Action Soothes Scalp with Natural Ingredients for Adults and Children, 150 ml",B081VV1Y9S,Prevention shampoo,Prevention,,https://www.amazon.it/dp/B081VV1Y9S?psc=1,https://m.media-amazon.com/images/I/71PFt3vKP9L._AC_SY355_.jpg,Aftir,8.97,276,276,100,"2,476.06","2,474.87",131,"4,083",AMZ,4.3,13,4.5,269,6,15,Amazon,Beauty,Extra Large Envelope,AMZ,16.26 x 4.32 x 7.37 cm,0.2,N/A,"Nov 20, 2019",,No,76,Amazon
EG Hedrin Rapid Gel | Eliminates Lice and Nits in One Application | Acts in 15 Minutes | 100 ml,B0F1YLTMY4,Treatment lotion,Treatment,Physical,https://www.amazon.it/dp/B0F1YLTMY4?psc=1,https://m.media-amazon.com/images/I/71-+CjAbeOL._AC_SY355_.jpg,EG,24.9,271,86,50,"6,177.42","2,120.84",95,"5,599",IT,8.67,3,4.4,60,6,13,FARMACIANUOVA,Health & Household,Large Envelope,FBA,14.60 x 3.20 x 4.90 cm,0.12,N/A,"Mar 19, 2025",,No,12,FARMACIANUOVA
"Paranix Extra Strong Spray Treats & Prevents Lice and Nits in 5 Minutes, 100 Milliliters",B0892Q9744,Treatment spray,Treatment,Physical,https://www.amazon.it/dp/B0892Q9744?psc=1,https://m.media-amazon.com/images/I/61e00jso6eL._AC_SY355_.jpg,Paranix,17.07,"2,073",119,50,"34,410.20","2,090.27",88,"3,815",AMZ,6.73,6,4.5,53,8,4,Amazon,Beauty,Extra Large Envelope,AMZ,14.60 x 4.70 x 4.90 cm,0.12,N/A,"May 22, 2020",,No,70,Amazon
Lendinout Act 1 x 100ml Lendinout Act Prevention Treatment for Lice Spray Insecticide Free and Gas Free,B01BI50014,Prevention spray,Prevention,,https://www.amazon.it/dp/B01BI50014?psc=1,https://m.media-amazon.com/images/I/71yszmmJpWL._AC_SX355_.jpg,Linea Act,6.71,247,247,100,"1,689.96","1,687.96",103,"5,699",AMZ,4.03,12,4.5,280,4,1,Amazon,Health & Household,Extra Large Envelope,AMZ,15.70 x 5.00 x 5.60 cm,0.14,N/A,"Feb 5, 2016",,No,121,Amazon
EG Hedrin Rapid Spray | Eliminates Lice and Nits in One Appliation | Works in 15 Minutes | No Comb Required | 100 ml,B0F1YNYK8Y,Treatment spray with comb,Treatment,Physical,https://www.amazon.it/dp/B0F1YNYK8Y?psc=1,https://m.media-amazon.com/images/I/71UA0GpslkL._AC_SY355_.jpg,EG,18.22,271,88,50,"6,177.42","1,604.66",116,"5,599",IT,7.89,3,4.4,60,6,13,FARMACIANUOVA,Health & Household,Extra Large Envelope,FBA,13.60 x 4.40 x 6.90 cm,0.09,N/A,"Mar 19, 2025",,No,12,FARMACIANUOVA
"BACTERISAN Shampoo protettivo districante 250 ml, Protegge dai pidocchi e dalle lendini, Shampoo di uso quotidiano con albero del tè",B0BPCZLPC2,Prevention shampoo,Prevention,,https://www.amazon.it/dp/B0BPCZLPC2?psc=1,https://m.media-amazon.com/images/I/618NnJ8pzcL._AC_SY355_.jpg,BACTERISAN,6.83,233,233,100,"1,591.44","1,588.98",132,"4,125",AMZ,4.13,1,4.4,388,5,25,Amazon,Beauty,Extra Large Envelope,AMZ,18.40 x 4.90 x 5.00 cm,0.28,N/A,"Feb 15, 2023",,No,37,Amazon
"Liberella Lice Shampoo for Children and Adults 250 ml, Strong Lice and Nits Treatment with Essential Oils, Preventive and Adjuvant Treatment. 98.9% Natural & Made in Italy",B079QK13Z8,Prevention shampoo,Prevention,,https://www.amazon.it/dp/B079QK13Z8?psc=1,https://m.media-amazon.com/images/I/81vC+xxnzrL._AC_SY355_.jpg,Natura House,17.49,130,78,30,"2,306.94","1,368.08",171,"7,679",IT,6.79,1,4.7,14,7,0,NHS1970,Beauty,Extra Large Envelope,FBA,17.00 x 4.80 x 6.50 cm,0.31,N/A,"Feb 10, 2018",,No,97,NHS1970
4 Pcs Stainless Steel Lice Comb Lice Remover,B0CLT2VJVG,Lice comb,Treatment,Physical,https://www.amazon.it/dp/B0CLT2VJVG?psc=1,https://m.media-amazon.com/images/I/51kWXSamD9L._AC_SY355_.jpg,ZELHYEUU,6.99,199,199,100,"1,334.74","1,334.07",44,"1,328",CN,3.72,1,4.5,802,5,35,ZELHYEUU,Pet Supplies,Standard Envelope,FBA,14.30 x 1.70 x 8.30 cm,0.05,N/A,"Oct 25, 2023",,No,29,ZELHYEUU
"Puressentiel - Anti Lice - Treatment Lotion - Radical Treatment with Comb - Medical Device - 100% Effective Against Lice, Larvae and Nits - 100% Natural Origin Formula - 100 ml",B0070X35E8,Treatment lotion with comb,Treatment,Physical,https://www.amazon.it/dp/B0070X35E8?psc=1,https://m.media-amazon.com/images/I/81v+b5lhnGL._AC_SY355_.jpg,Puressentiel,11.75,106,106,50,"1,333.47","1,333.31",176,"6,396",AMZ,6.34,14,4.2,556,7,5,Amazon,Beauty,Extra Large Envelope,AMZ,16.90 x 4.90 x 6.90 cm,0.16,N/A,"Aug 21, 2012",,No,163,Amazon
Evolsin - Lice Shampoo with Comb Lice and Nits for Adults and Children from 6 Months - 120 ml Lice Treatment Gentle on the Scalp - Acts in 15 Minutes,B0C5JMZDH3,Treatment shampoo with comb,Treatment,Physical,https://www.amazon.it/dp/B0C5JMZDH3?psc=1,https://m.media-amazon.com/images/I/71bUDprXsAL._AC_SY355_.jpg,Evolsin,15.95,82,82,40,"1,284.76","1,283.81",149,"13,369",DE,6.56,1,4.4,"1,037",7,29,Evolsin,Beauty,Extra Large Envelope,FBA,14.90 x 5.40 x 6.70 cm,0.17,N/A,"Aug 24, 2023",,No,31,Evolsin
"HAIRMED X1 Anti-Lice Spray, Lice Treatment Strong Ideal for Children, Lice and Strong Nits Treatment, 100 ml",B071J2C5Y9,Treatment spray,Treatment,Physical,https://www.amazon.it/dp/B071J2C5Y9?psc=1,https://m.media-amazon.com/images/I/51bKR7n3YML._AC_SY355_.jpg,HAIRMED haircare innovative,18.01,49,49,20,981.75,981.63,108,"20,510",N/A,7.17,6,4.4,107,6,0,BeautystoreProfessional,Beauty,Extra Large Envelope,FBA,14.30 x 5.20 x 5.40 cm,0.15,N/A,"May 23, 2017",,No,106,BeautystoreProfessional
BACTERISAN Lozione districante protettiva 250 ml : Protegge da pidocchi e lendini : Spray per uso quotidiano con aceto di tea tree e quassia,B0BPDBZ258,Prevention spray,Prevention,,https://www.amazon.it/dp/B0BPDBZ258?psc=1,https://m.media-amazon.com/images/I/61Pv3rONfzL._AC_SY355_.jpg,BACTERISAN,9.4,106,106,50,977.37,976.31,140,"19,889",AMZ,4.34,1,4.4,236,7,13,Amazon,Health & Household,Extra Large Envelope,AMZ,19.80 x 5.00 x 5.00 cm,0.28,N/A,"Feb 15, 2023",,No,37,Amazon
