Display Order,Product Details,ASIN,URL,Image URL,Brand,Price  US$,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  US$,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller,Source Keywords
47.,"Zevo Compact Flying Insect Trap Kit with Refill Cartridges - Plug-in Indoor Bug Catcher for Gnats, House & Fruit Flies - Blue + UV Light Technology, No Odor, No Mess (1 Plug-in Device + 3 Cartridges)",B0GJRLN3WS,https://www.amazon.com/dp/B0GJRLN3WS?psc=1,https://m.media-amazon.com/images/I/813a3fh4ViL._AC_SY355_.jpg,,23.44,"8,071","7,573","6,000","187,535.32","177,515.5",199,397,US,9.11,3,4.5,131,9,87,Front Row CPG,"Patio, Lawn & Garden",Large Standard-Size,FBA,6.22 x 3.19 x 6.10 in,0.41,N/A,"Mar 13, 2026",,No,2,Front Row CPG,plug in fly trap
48.,"Bell+Howell Rogue Sticky Fly Insect Trap Indoor with 3 Cartridge Replacements, Home Plug in Bug Catcher Indoor UV Light Bug Trap for Flies, Fruit Flies, Gnats and More, Safe for Pets & Kids",B0FFQFFV95,https://www.amazon.com/dp/B0FFQFFV95?psc=1,https://m.media-amazon.com/images/I/81wUK1avQgL._AC_SX342_.jpg,Bell+Howell,6.99,67,67,50,475.08,474.28,189,"85,251",US,4.96,1,4,62,6,0,Bell + Howell,"Patio, Lawn & Garden",Large Standard-Size,FBA,9.25 x 2.52 x 5.59 in,0.33,N/A,"Jun 26, 2025",,No,11,Bell + Howell,plug in fly trap
49.,2 Fly Traps Outdoor Fly Trap for Patio with 4 Non-Toxic Dissolvable Bait Refills. Reusable Hanging Bug Catcher Killer for All Filth Flies for Outside Bug Control Yard Ranch. Hanging Chains Included.,B0BQYYVWRT,https://www.amazon.com/dp/B0BQYYVWRT?psc=1,https://m.media-amazon.com/images/I/81oGxjXo6PL._AC_SY355_.jpg,BugBane,24.99,"22,798","11,003","9,000","530,411.43","253,112.13",198,122,US,9.51,1,4.4,"5,535",8,152,BUGBANE,"Patio, Lawn & Garden",Large Standard-Size,FBA,8.98 x 3.62 x 7.24 in,0.77,N/A,"Apr 24, 2023",,No,37,BUGBANE,plug in fly trap
50.,"Forhimn Fly Trap Indoor, 2 Plug-in Fly Catchers with 6 Glue Card Refills, Fruit Fly & Gnat Trap for Home, Sticky Flying Insect Trap for Flies, Moths, Safe & Mess-Free",B0GZNW5NKN,https://www.amazon.com/dp/B0GZNW5NKN?psc=1,https://m.media-amazon.com/images/I/61Y9jMaeXXL._AC_SY355_.jpg,Forhimn,29.99,561,102,N/A,"7,001.41","3,071.78",166,"5,239",US,8.85,1,4.8,103,7,15,ZHENG YU INC,"Patio, Lawn & Garden",Large Standard-Size,FBA,5.87 x 3.86 x 4.33 in,0.58,N/A,"May 9, 2026",,No,0,ZHENG YU INC,plug in fly trap
51.,"Gnat Traps for House Indoor HU002 Plug-in Fly Trap Indoor, Electric Gnat Killer Indoor Catcher Flying Insect Trap with Night Light UV Attractant Catcher for Bedroom, Kitchen, Office (1 Pack, White)",B0BZ46BRG3,https://www.amazon.com/dp/B0BZ46BRG3?psc=1,https://m.media-amazon.com/images/I/61GuxaW1J-L._AC_SY355_.jpg,INRAGEO,9.99,280,110,50,"3,556.25","1,099.47",197,"34,325",US,4.8,1,4,"1,305",6,N/A,HIPPOPOTAMUSTRADING,"Patio, Lawn & Garden",Large Standard-Size,FBA,6.18 x 2.64 x 5.63 in,0.37,N/A,"May 5, 2023",,No,36,HIPPOPOTAMUSTRADING,plug in fly trap
52.,"Pestie Fruit Fly Traps for Indoors – Indoor Fly Trap Plug in Light, Gnat Traps for House Indoor, Electric Bug Trap for Kitchen & Home, Plug-in Insect Trap for Fruit Flies (1 Device & 2 Cartridges)",B0F7J12119,https://www.amazon.com/dp/B0F7J12119?psc=1,https://m.media-amazon.com/images/I/51C+esXpEAL._AC_SY355_.jpg,Pestie,29.99,152,17,N/A,"5,856.93",516.37,196,"54,375",US,8.69,1,4,55,7,3,"Pestie, Inc.","Patio, Lawn & Garden",Large Standard-Size,FBA,6.69 x 2.87 x 4.72 in,0.64,N/A,"May 23, 2025",,No,12,"Pestie, Inc.",plug in fly trap
53.,"Fly Trap Indoor- 2 in 1 Plug in Fly Trap with Auto Night Light, Fruit Fly Traps for Indoors, Gnat Trap, Bug Light Trap for Mosquitoes, Flies, Fruit Flies, Moths (1 Device + 5 Glue Cards)",B0DL51MHMQ,https://www.amazon.com/dp/B0DL51MHMQ?psc=1,https://m.media-amazon.com/images/I/612jqSy3W1L._AC_SY355_.jpg,Tihilgam,9.99,"1,212",834,300,"14,744.54","8,324.77",186,"15,706",US,4.74,2,3.9,"1,667",7,N/A,JIMMY'S GARDEN,"Patio, Lawn & Garden",Large Standard-Size,FBA,4.61 x 2.68 x 4.57 in,0.37,N/A,"Nov 7, 2024",,No,18,JIMMY'S GARDEN,plug in fly trap | fruit fly trap
54.,"Ortho Home Defense Max Indoor Flying Insect Trap - Light Sticky Trap for House Flies, Fruit Flies, and Gnats, 1 Plug-in and 4 Refills",B0FQ8HRFC1,https://www.amazon.com/dp/B0FQ8HRFC1?psc=1,https://m.media-amazon.com/images/I/715c32m1G0L._SX342_.jpg,,22.6,"29,058","1,568",700,"560,101.29","32,935.54",133,63,AMZ,7.74,1,4,236,10,37,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,7.17 x 3.43 x 4.13 in,0.42,N/A,"Nov 27, 2025",,No,6,Amazon,plug in fly trap | fruit fly trap
55.,"Zevo MAX Bug Catcher & Fly Trap for Indoors - Flying Insect Trap for Gnats, House & Fruit Flies - Use in Any Room - No-Mess Disposal (1 Plug in Base & 2 Cartridges)",B0CPKZLV35,https://www.amazon.com/dp/B0CPKZLV35?psc=1,https://m.media-amazon.com/images/I/81D0zOe6ZwL._AC_SY355_.jpg,,34.97,"1,392","1,203","5,000","54,547.41","40,876.98",164,415,US,10.63,10,4.2,"5,684",9,120,Front Row CPG,"Patio, Lawn & Garden",Large Standard-Size,FBA,8.66 x 4.57 x 5.47 in,0.71,N/A,"Dec 5, 2023",,No,29,Front Row CPG,plug in fly trap | flying insect trap
56.,"Raid Essentials Flying Insect Light Trap Starter Kit, 1 Plug-in Device + 1 Cartridge, Featuring Light Powered Attraction",B0BWK914GM,https://www.amazon.com/dp/B0BWK914GM?psc=1,https://m.media-amazon.com/images/I/81OxVzU+ipL._AC_SY355_.jpg,,16.37,225,510,300,"3,795.37","8,422.63",120,"22,342",US,8,15,3.8,"4,118",9,1,Confectioned Deals,"Patio, Lawn & Garden",Large Standard-Size,FBA,6.30 x 3.54 x 5.08 in,0.29,N/A,"Apr 13, 2023",,No,37,Confectioned Deals,plug in fly trap
57.,"STEM Flying Insect Fan Trap for Indoor Bug Control, Attracts Mosquitoes, Fruit Flies, and House Flies, Plug-in Fan with UV Light, Starter Kit Includes 1 Device and 5 Glue Traps",B0DNGH7HYF,https://www.amazon.com/dp/B0DNGH7HYF?psc=1,https://m.media-amazon.com/images/I/8176x5O6KtL._AC_SY355_.jpg,STEM,17.19,"3,674","3,674","2,000","81,117.29","81,089.61",176,"1,963",US,8.46,36,4,"1,739",11,76,Luminex Enterprise,"Patio, Lawn & Garden",Large Standard-Size,FBA,8.86 x 5.08 x 5.08 in,1.41,N/A,"Dec 18, 2024",,No,17,Luminex Enterprise,plug in fly trap | flying insect trap | fruit fly trap
58.,"Flying Insect Traps+5 Refill Cartridges, 2026 2nd Gen, UV/Blue/Yellow Light Plug in Fly Trap & Indoor Bug Catcher for Gnats, No-Mess Bug Zapper, House & Fruit Flies, 7 * 24hrs Pest Control",B0DFYHQFCF,https://www.amazon.com/dp/B0DFYHQFCF?psc=1,https://m.media-amazon.com/images/I/71pjCY9bdLL._AC_SY355_.jpg,BietrunPro,9.89,802,652,300,"10,299.06","6,479.89",188,"13,738",US,5.71,1,4,233,9,10,LITTLE RED LION INC,"Patio, Lawn & Garden",Large Standard-Size,FBA,4.45 x 2.32 x 2.95 in,0.35,N/A,"Jan 23, 2025",,No,16,LITTLE RED LION INC,plug in fly trap
59.,"STEM Insect Trap - Indoor Fruit Fly & Gnat Pest Control for House, Home and Kitchen, Attracts & Traps Flying Bugs, Soft Blue Light - Includes 1 Plug-in Device & 3 Cartridges",B0DSR38JKP,https://www.amazon.com/dp/B0DSR38JKP?psc=1,https://m.media-amazon.com/images/I/81Z4MdVQmiL._AC_SY355_.jpg,STEM,17.97,"2,944","1,206","1,000","61,624.64","20,681.43",173,"2,445",AMZ,7.46,1,4.3,"1,034",11,30,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,6.42 x 3.43 x 5.20 in,0.31,N/A,"Jan 23, 2025",,No,16,Amazon,plug in fly trap | fruit fly trap
60.,"Mosiller Flying Insect Trap, Indoor Plug-in Fruit Fly Trap, Gnat Traps, 400 Total Sq Ft Protection, Suitable for Gnat, Moth, and Mosquito, and Can Used in Every Corner of Home - 1 Device +5 Glue Cards",B0GT92NZ8Y,https://www.amazon.com/dp/B0GT92NZ8Y?psc=1,https://m.media-amazon.com/images/I/61QqcNGGQUL._AC_SY355_.jpg,Mosiller,9.99,266,271,100,"2,547.63","2,589.79",200,"39,642",US,N/A,1,5,9,8,2,Jisoo Home,"Patio, Lawn & Garden",Large Standard-Size,FBA,4.69 x 2.52 x 3.70 in,0.26,N/A,"Apr 18, 2026",,No,1,Jisoo Home,plug in fly trap
61.,"STEM Flying Insect Trap - Indoor Fruit Fly & Gnat Catcher for Home, Kitchen & Any Room, Attracts & Traps Bugs, Soft Blue UV Light - Includes 2 Plug-In Devices & 2 Cartridges",B0CP4L43TS,https://www.amazon.com/dp/B0CP4L43TS?psc=1,https://m.media-amazon.com/images/I/81eK5Aur5ML._AC_SY355_.jpg,STEM,28.99,115,115,"1,000","3,342.45","3,341.28",173,"2,897",AMZ,8.11,3,4.2,774,11,15,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,10.16 x 6.65 x 6.73 in,0.75,N/A,"Mar 26, 2024",,No,26,Amazon,plug in fly trap
62.,"Catchmaster Vector 9 UV Light Plug in Flying Insect Trap - Silent Indoor Bug Catcher for House & Fruit Flies, Gnats & Moths - Mess-Free Easy Setup & Cleanup - with 12 Glue Trap Refills, Year Supply",B0GFGNMJN4,https://www.amazon.com/dp/B0GFGNMJN4?psc=1,https://m.media-amazon.com/images/I/61eUt0Kr25L._AC_SY355_.jpg,Catchmaster,22.99,187,187,N/A,"5,094.96","5,092.99",197,"7,776",US,8.21,1,4.7,20,8,2,Catchmaster,"Patio, Lawn & Garden",Large Standard-Size,FBA,9.33 x 3.23 x 3.94 in,0.77,N/A,"Jan 26, 2026",,No,4,Catchmaster,plug in fly trap
63.,"Raid Essentials Flying Insect Light Trap Starter Kit, 2 Plug-in Devices + 2 Cartridges, Featuring Light Powered Attraction",B0BF751CGY,https://www.amazon.com/dp/B0BF751CGY?psc=1,https://m.media-amazon.com/images/I/816cXGxNf8L._AC_SY355_.jpg,,24,154,265,100,"3,648.97","6,278.2",122,"29,440",US,10.19,19,3.9,"1,870",9,1,Nextwave Deals,"Patio, Lawn & Garden",Large Standard-Size,FBA,8.54 x 3.11 x 6.77 in,0.66,N/A,"Feb 7, 2023",,No,39,Nextwave Deals,plug in fly trap
64.,40 Pack Refill Glue Cards Compatible with Safer Home SH502 and Dynatrap DT3005W Dot Indoor Fly Trap Plug-in Insect Trap Replacement Sticky Glue Boards,B0BT9L5GHX,https://www.amazon.com/dp/B0BT9L5GHX?psc=1,https://m.media-amazon.com/images/I/61T6p+h+RrL._AC_SY355_.jpg,Shootingstar,9.99,"4,386","4,386","2,000","43,796.23","43,752.22",150,"1,474",US,4.51,1,4.8,"2,789",6,28,Shootingstar LLC,"Patio, Lawn & Garden",Small Standard-Size,FBA,10.20 x 0.75 x 6.65 in,0.82,N/A,"Feb 17, 2023",,No,39,Shootingstar LLC,plug in fly trap
65.,"Blue Light Bug Catcher Indoor Plug in, Gnat Traps for House, Indoor Fly Trap for Fruit Fly, Moth and Mosquito, Flying Insect Catcher, 4 Device+8 Refills",B0D144MQPT,https://www.amazon.com/dp/B0D144MQPT?psc=1,https://m.media-amazon.com/images/I/61GoSCMblYL._AC_SY355_.jpg,BAIMNOCM,29.99,840,589,300,"19,926.92","17,664.43",152,"19,426",US,9.1,1,3.9,"1,119",9,N/A,MTP LIGHTING,"Patio, Lawn & Garden",Large Standard-Size,FBA,4.45 x 3.50 x 3.94 in,0.82,N/A,"Aug 12, 2024",,No,21,MTP LIGHTING,plug in fly trap
