Display Order,Product Details,ASIN,Segment,URL,Marketplace,Image URL,Brand,Price,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
15,Eucerin DermoCapillaire Urea Kopfhautberuhigendes Shampoo 250 ml,B0090Y79SS,Irritated / Atopic,https://www.amazon.de/dp/B0090Y79SS?psc=1,DE,https://m.media-amazon.com/images/I/419oo797GSL._SX342_.jpg,Eucerin,12.98,"1,900","1,900","1,000","27,110.04","27,110.07",64,577,AMZ,6.39,7,4.6,"1,450",6,32,Amazon,Kosmetik,Large Envelope,AMZ,19.20 x 3.10 x 6.90 cm,0.3,N/A,"Aug 21, 2012",,No,166,Amazon
29,"STIEPROXAL Shampoo - Fights Stubborn, Firm Dandruff and Strong Itching, 100 ml",B003SCE7FQ,Irritated / Atopic,https://www.amazon.de/dp/B003SCE7FQ?psc=1,DE,https://m.media-amazon.com/images/I/519Soi25lAL._AC_SY355_.jpg,STIEPROX,12.09,"1,744","1,744","1,000","25,068.71","25,068.72",78,839,AMZ,4.98,17,4.4,"2,183",6,16,Amazon,Beauty,Large Envelope,AMZ,15.00 x 3.20 x 6.80 cm,0.14,N/A,"Jun 16, 2010",,No,192,Amazon
45,"head & shoulders Citrus Fresh 2-in-1 Anti-Dandruff Shampoo for Oily Hair, 800 ml Pump Dispenser; Up to 100% Dandruff Protection, Fresh Citrus Fragrance",B0CR1LG363,Irritated / Atopic,https://www.amazon.de/dp/B0CR1LG363?psc=1,DE,https://m.media-amazon.com/images/I/71pm4bF3EzL._SY355_.jpg,Head & Shoulders,9.24,"1,886","1,705","1,000","24,357.82","21,072.19",151,"1,701",AMZ,5.09,3,4.6,"11,904",9,89,Amazon,Beauty,Small Parcel,AMZ,24.10 x 6.40 x 9.40 cm,0.9,N/A,"Feb 2, 2024",,No,28,Amazon
39,Wella Professionals Wella Ultimate Repair Shampoo - Deep Cleansing Shampoo with Metal Purifier Technology - Repairing Moisturising Shampoo,B0C49XMYH5,,https://www.amazon.de/dp/B0C49XMYH5?psc=1,DE,https://m.media-amazon.com/images/I/61SUrJZgKNL._SX342_.jpg,Wella Professionals,14.4,"1,873","1,141",800,"41,951.69","19,254.24",138,497,AMZ,7.05,26,4.5,"1,881",11,149,,Beauty,Extra Large Envelope,AMZ,14.60 x 5.10 x 5.30 cm,0.29,N/A,"Oct 1, 2023",,No,32,
57,"Head & Shoulders DERMAXPRO Beruhigendes Anti-Schuppen Shampoo 2x250 ml Kopfhautpflege bei trockener, juckender Kopfhaut (verbunden mit Schuppen) – Mit Kaktus-Extrakt, aktiver Aloe & Vitamin E",B0CR1K45P3,Irritated / Atopic,https://www.amazon.de/dp/B0CR1K45P3?psc=1,DE,https://m.media-amazon.com/images/I/714KCFgXm0L._SY355_.jpg,Head & Shoulders,14.18,"2,353","1,742","1,000","24,032.42","18,620.73",191,870,AMZ,5.43,2,4.6,831,6,21,Amazon,Kosmetik,Extra Large Envelope,AMZ,19.60 x 6.00 x 7.70 cm,0.58,N/A,"Feb 2, 2024",,No,28,Amazon
37,"Garnier Wahre Schätze Beruhigendes Shampoo Sanfte Hafermilch XXL, beruhigend und feuchtigkeitsspendend, für empfindliches Haar und sensible Kopfhaut, Maxi Format, 1000 ml",B0BWFL7K64,Irritated / Atopic,https://www.amazon.de/dp/B0BWFL7K64?psc=1,DE,https://m.media-amazon.com/images/I/81dTV4CY72L._SY355_.jpg,Garnier,5.34,"2,590","2,590","1,000","17,997.42","17,997.42",170,455,AMZ,4.01,2,4.7,842,6,17,Amazon,Kosmetik,Small Parcel,AMZ,22.70 x 7.10 x 18.70 cm,1.04,N/A,"Feb 21, 2023",,No,40,Amazon
14,"La Roche-Posay Kerium Extrem Mild, Kopfhautschonendes Gel-Shampoo, Silikonfreies Shampoo mit besänftigender Geltextur für glänzende und geschmeidige Haare, Für Kinder und Erwachsene geeignet, 400 ml",B00IVIMVFK,Irritated / Atopic,https://www.amazon.de/dp/B00IVIMVFK?psc=1,DE,https://m.media-amazon.com/images/I/61jaJXdFQJL._SX342_.jpg,La Roche-Posay,16.69,"1,060","1,060",600,"17,678.53","17,678.51",198,"2,386",AMZ,6.94,1,4.6,"2,609",1,55,Amazon,Kosmetik,Small Parcel,AMZ,19.70 x 6.30 x 6.40 cm,0.47,N/A,"Jun 4, 2008",,No,216,Amazon
33,"Vichy Dercos Psolution Pflegeshampoo: Beruhigendes Pflegeshampoo mit 5 % Urea gegen trockene juckende Kopfhaut – für empfindliche Kopfhaut geeignet, 200 ml",B09GRM5X73,Irritated / Atopic,https://www.amazon.de/dp/B09GRM5X73?psc=1,DE,https://m.media-amazon.com/images/I/71eSJ++kWuL._SY355_.jpg,VICHY,16.29,"1,040","1,040",500,"17,312.78","17,312.79",155,"2,168",AMZ,5.91,1,4.5,"1,309",8,279,Amazon,Kosmetik,Extra Large Envelope,AMZ,17.30 x 4.90 x 4.90 cm,0.25,N/A,"Sep 21, 2021",,No,57,Amazon
6,"Shampoo, Treatment and Prevention of Dandruff and Seborrheic Dermatitis, Effective Against Itching, With Dexpanthenol as a Nourishing Additive, Permanently Useable. 120 ml",B0BQCZ4QGQ,Irritated / Atopic,https://www.amazon.de/dp/B0BQCZ4QGQ?psc=1,DE,https://m.media-amazon.com/images/I/71QvRdg-90L._SX355_.jpg,KETOconazol Klinge,12.97,"1,048","1,048",N/A,"16,527.03","16,527.02",171,"475,392",DE,N/A,9,4.4,111,8,0,CuraVendi - Die Bonus-Apotheke,Beauty,N/A,MFN,N/A,N/A,N/A,"Dec 16, 2022",,No,42,CuraVendi - Die Bonus-Apotheke
56.1.,"Sebamed 5% Urea Anti-Juckreiz Shampoo 200 ml, bei trockener Kopfhaut, sanfte seifenfreie Reinigung, lindert spürbar Juckreiz der trockene Kopfhaut, spendet Feuchtigkeit, Shampoo für Damen und Herren",B0FCY7DQBG,Irritated / Atopic,https://www.amazon.de/dp/B0FCY7DQBG?psc=1,DE,https://m.media-amazon.com/images/I/516g+WeYhxL._SX342_.jpg,Sebamed,4.53,"3,013","3,013","2,000","16,152.70","16,152.72",198,402,AMZ,3.51,13,4.5,381,4,35,Amazon,Kosmetik,Extra Large Envelope,AMZ,16.50 x 4.50 x 6.40 cm,0.24,N/A,"Jun 12, 2025",,No,12,Amazon
32,"Vichy Dercos Anti-Schuppen K, Tiefenreinigendes Shampoo für fettige und empfindliche Kopfhaut, Bei hartnäckigen Schuppen und Ablagerungen, Keratolytische und antimikrobielle Wirkung, 250 ml",B08KDTMRTK,Irritated / Atopic,https://www.amazon.de/dp/B08KDTMRTK?psc=1,DE,https://m.media-amazon.com/images/I/81r9EHlkVKL._SX342_.jpg,VICHY,16.65,924,924,500,"15,468.27","15,468.28",189,"2,951",AMZ,5.97,1,4.5,477,14,10,Amazon,Kosmetik,Extra Large Envelope,AMZ,16.60 x 4.60 x 4.60 cm,0.3,N/A,"Sep 22, 2020",,No,69,Amazon
3,Ducray Kelual Shampoo 100 ml,B07TT7VMFD,Irritated / Atopic,https://www.amazon.de/dp/B07TT7VMFD?psc=1,DE,https://m.media-amazon.com/images/I/51luXtD834L._SX342_.jpg,Ducray,16,912,912,200,"14,885.25","14,885.26",28,"8,195",NL,5.44,19,4.6,"3,225",7,48,Versandapotheke Sparmed,Beauty,Large Envelope,MFN,14.20 x 3.90 x 6.30 cm,0.13,N/A,"Aug 10, 2019",,No,82,Versandapotheke Sparmed
28.1.,"Wella SP System Professional Balance Scalp Shampoo, 1 L",B005J5XPSA,Irritated / Atopic,https://www.amazon.de/dp/B005J5XPSA?psc=1,DE,https://m.media-amazon.com/images/I/51tABLc9hSL._SY355_.jpg,Wella Professionals,15.61,"1,126",618,300,"16,750.27","12,160.63",55,"1,799",DE,4.45,8,4.6,"2,999",1,13,Haarboutique,Kosmetik,Small Parcel,FBA,20.80 x 7.60 x 9.30 cm,1.11,N/A,"Mar 20, 2010",,No,195,Haarboutique
61,Maria Nila Anti-Dandruff Shampoo Head & Hair Heal I Anti-Inflammatory Shampoo for Men and Women Against Scalp Irritation I Stimulates Hair Growth,B071VZV484,Irritated / Atopic,https://www.amazon.de/dp/B071VZV484?psc=1,DE,https://m.media-amazon.com/images/I/614XxDJdE+L._SY445_.jpg,Maria Nila,25.79,608,391,200,"19,158.54","11,659.88",145,"3,948",DE,7.82,2,4.4,"1,959",6,3,Maria Nila by New Flag,Beauty,Extra Large Envelope,FBA,17.20 x 5.40 x 5.50 cm,0.38,N/A,"May 22, 2017",,No,109,Maria Nila by New Flag
35,"Sebamed Every-Day Shampoo 400 ml, Haarshampoo für Damen und Herren, schonende, seifenfreie Reinigung für empfindliche Kopfhaut, besonders mild durch Zuckertensidformel, für alle Haartypen geeignet",B0FBGQZL1W,Irritated / Atopic,https://www.amazon.de/dp/B0FBGQZL1W?psc=1,DE,https://m.media-amazon.com/images/I/61OIhLE84+L._SY445_.jpg,Sebamed,5.67,"1,820","1,820","1,000","11,303.14","11,303.13",196,533,AMZ,3.62,4,4.5,292,5,30,Amazon,Kosmetik,Extra Large Envelope,AMZ,18.40 x 5.50 x 7.80 cm,0.44,N/A,"Jun 10, 2025",,No,12,Amazon
11,"khadi Amla Volume Ayurvedic Shampoo, 100% Natural, Silicone & Sulphate-Free, Powerful Hair & Volume Thanks to Strong Hair Roots, Promotes Hair Growth, Vegan Hair Care, Natural Cosmetics 200 ml",B08NT4WR9K,,https://www.amazon.de/dp/B08NT4WR9K?psc=1,DE,https://m.media-amazon.com/images/I/61szC5WGcpL._SY355_.jpg,Khadi,13.36,711,711,300,"11,301.09","11,301.09",192,"3,359",AMZ,5.86,4,4.4,951,9,19,,Beauty,Extra Large Envelope,AMZ,16.51 x 4.80 x 5.00 cm,0.26,N/A,"Nov 18, 2020",,No,67,
53,"OUAI Detox Shampoo, Clarifying Cleanse for Dirt, Oil, Product and Hard Water Buildup. Get Back to Super Clean, Soft and Refreshed Locks, 10 oz",B084C2PC69,,https://www.amazon.de/dp/B084C2PC69?psc=1,DE,https://m.media-amazon.com/images/I/71dq5ltYhIL._SY355_.jpg,OUAI,26.89,345,345,100,"11,134.06","11,134.06",142,"9,225",GB,3.47,2,4.6,"6,656",8,86,Discovered Brands,Beauty,Extra Large Envelope,FBA,14.00 x 5.79 x 5.99 cm,0.36,N/A,"Jan 14, 2021",,No,65,Discovered Brands
55,VICHY Dercos Sensitive Shampoo 200 ml,B009USALZM,Irritated / Atopic,https://www.amazon.de/dp/B009USALZM?psc=1,DE,https://m.media-amazon.com/images/I/71kxadRVdwL._SX342_.jpg,VICHY,15.25,691,691,400,"10,540.99","10,540.98",37,"4,670",AMZ,5.71,1,4.5,"2,645",13,35,Amazon,Kosmetik,Extra Large Envelope,AMZ,17.30 x 4.90 x 5.20 cm,0.24,N/A,"Nov 13, 2014",,No,139,Amazon
21,"Kérastase Shampoo für empfindliche Kopfhaut, Klärendes Haarbad zur Milderung von Juckreiz, Bain Vital Dermo-Calm, Spécifique, 250 ml",B01HYOB0LC,Irritated / Atopic,https://www.amazon.de/dp/B01HYOB0LC?psc=1,DE,https://m.media-amazon.com/images/I/51NAURnTgeL._SY355_.jpg,KÉRASTASE,28.5,377,377,200,"10,379.54","10,379.54",132,"6,241",N/A,7.75,1,4.3,"3,290",8,17,,Kosmetik,Extra Large Envelope,MFN,14.20 x 4.30 x 6.40 cm,0.29,N/A,"Feb 15, 2013",,No,160,
37,"Aveda Rosemary Mint Purifying Shampoo, Tiefenreinigungsshampoo für normales bis fettiges Haar, verleiht Glanz und Frische, zu 97% natürlichen Ursprungs*",B07L6SWWRV,,https://www.amazon.de/dp/B07L6SWWRV?psc=1,DE,https://m.media-amazon.com/images/I/61TdMTLbINL._SX342_.jpg,Aveda,15.76,662,476,300,"18,995.66","8,858.04",152,"2,913",AMZ,6.28,3,4.6,"5,887",9,166,Amazon,Beauty,Extra Large Envelope,AMZ,18.90 x 4.90 x 5.00 cm,0.3,N/A,"Sep 21, 2011",,No,177,Amazon
39.1.,Kerastase Bain Riche,B001TANDZ4,Irritated / Atopic,https://www.amazon.de/dp/B001TANDZ4?psc=1,DE,https://m.media-amazon.com/images/I/51xsdJXWt4L._SX342_.jpg,KÉRASTASE,92.44,180,80,N/A,"12,949.83","8,582.76",20,"14,751",N/A,19.96,1,4.6,"1,696",1,4,Hairlando,Beauty,Small Parcel,MFN,29.39 x 8.99 x 10.11 cm,1.07,N/A,"Jun 22, 2011",,No,180,Hairlando
66,"Terzolin Expert Schuppen-Shampoo bei trockener Kopfhaut, Juckreiz und Schuppen, Kosmetikum mit innovativer Pflegeformel, auch bei zu Ekzemen neigender Kopfhaut geeignet – 1 x 200ml",B0D884Y71G,Irritated / Atopic,https://www.amazon.de/dp/B0D884Y71G?psc=1,DE,https://m.media-amazon.com/images/I/51kBpVyr-LL._SY355_.jpg,TERZOLIN,8.98,911,751,400,"13,304.36","8,024.96",180,"3,204",AMZ,5.28,21,4.2,347,11,15,Amazon,Kosmetik,Large Envelope,AMZ,15.90 x 3.40 x 5.70 cm,0.23,N/A,"Jun 27, 2024",,No,24,Amazon
43,Wella Professionals Elements Renewing Shampoo – sulfat- & silikonfreie Pflege für empfindliche & juckende Kopfhaut – mit Aloe Vera & Vitamin E – beruhigend & feuchtigkeitsspendend,B0CBVHXQ4B,Irritated / Atopic,https://www.amazon.de/dp/B0CBVHXQ4B?psc=1,DE,https://m.media-amazon.com/images/I/61cLH3uQsoL._SX342_.jpg,Wella Professionals,27.04,720,309,200,"13,112.46","7,930.29",179,"4,099",AMZ,7.42,12,4.6,430,6,21,,Kosmetik,Small Parcel,AMZ,25.10 x 8.40 x 8.50 cm,1.1,N/A,"Jul 20, 2023",,No,35,
62,"Head & Shoulders Juckende Kopfhaut Anti-Schuppen Shampoo 500ml, Wirkt gegen Schuppen, Öl und Juckreiz",B0B5GYR333,Irritated / Atopic,https://www.amazon.de/dp/B0B5GYR333?psc=1,DE,https://m.media-amazon.com/images/I/71GcNBuaEGL._SY355_.jpg,Head & Shoulders,4.97,"1,145","1,145",600,"7,209.96","7,209.97",101,"2,043",AMZ,3.55,6,4.6,217,7,16,Amazon,Kosmetik,Extra Large Envelope,AMZ,21.90 x 4.90 x 7.80 cm,0.56,N/A,"Jun 30, 2022",,No,48,Amazon
27,Wella Professionals INVIGO SCALP BALANCE Pure Shampoo – sanfte Reinigung für empfindliche Kopfhaut – mit beruhigendem Allantoin Blau 1000ml,B0CH9DKHSC,Irritated / Atopic,https://www.amazon.de/dp/B0CH9DKHSC?psc=1,DE,https://m.media-amazon.com/images/I/61-xkAhyadL._SY355_.jpg,Wella Professionals,15.14,558,397,200,"8,677.34","6,972.21",139,"3,223",AMZ,7.15,20,4.4,884,5,32,Amazon,Kosmetik,Small Parcel,AMZ,25.00 x 8.20 x 8.40 cm,1.09,N/A,"Sep 5, 2023",,No,33,Amazon
22,"Salthouse Totes Meer Therapie Anti-Juckreiz Shampoo, beruhigende Formel mit Urea & Panthenol, für empfindliche Kopfhaut, vegan 250ml",B0178K6CHY,Irritated / Atopic,https://www.amazon.de/dp/B0178K6CHY?psc=1,DE,https://m.media-amazon.com/images/I/71aZBzfMzJL._SY355_.jpg,Salthouse,2.66,"1,768","1,768","1,000","6,952.24","6,952.22",132,632,AMZ,3.98,6,4.5,"1,038",7,30,Amazon,Kosmetik,Large Envelope,AMZ,17.90 x 3.40 x 7.30 cm,0.29,N/A,"Jun 20, 2014",,No,144,Amazon
3,"La Roche-Posay Kerium DS Anti-Dandruff, Intensive Shampoo Treatment for Stubborn Dandruff and Strong Itching, Ultra Fine Texture with Thermal Water and 4 Week Anti-Relapse Effect, 200 ml",B0DHS7KGWT,Irritated / Atopic,https://www.amazon.de/dp/B0DHS7KGWT?psc=1,DE,https://m.media-amazon.com/images/I/51FC4V5N1QL._SX342_.jpg,La Roche-Posay,16.51,315,315,100,"6,702.50","6,702.51",186,"6,592",AMZ,6.42,9,4.5,319,1,11,Amazon,Beauty,Extra Large Envelope,AMZ,17.40 x 4.90 x 5.20 cm,0.23,N/A,"Sep 23, 2024",,No,21,Amazon
31,"Wella Professionals INVIGO SCALP BALANCE Sensitive Shampoo – Parfümfreies, sanftes Reinigungsshampoo für empfindliche Kopfhaut",B0CH8KW2WR,Irritated / Atopic,https://www.amazon.de/dp/B0CH8KW2WR?psc=1,DE,https://m.media-amazon.com/images/I/51S9jhid7AL._SX342_.jpg,Wella Professionals,8.57,773,622,300,"9,509.82","6,626.95",126,"3,298",AMZ,4.55,20,4.3,508,8,23,Amazon,Kosmetik,Small Parcel,AMZ,14.70 x 6.30 x 6.40 cm,0.35,N/A,"Sep 5, 2023",,No,33,Amazon
52,"Urtekram Fragrance Free Shampoo - Certified Organic Shampoo Vegan, Fragrance-Free for Sensitive Scalp, Aloe Vera & Glycerin, Gentle Cleansing & Moisture, 500 ml (Pack of 1)",B09GG99BX3,Irritated / Atopic,https://www.amazon.de/dp/B09GG99BX3?psc=1,DE,https://m.media-amazon.com/images/I/61wsKhF1JWL._SY355_.jpg,Urtekram,10.5,670,526,200,"7,915.28","6,602.68",172,"3,086",AMZ,5.32,7,4.3,945,6,31,Amazon,Beauty,Small Parcel,AMZ,18.90 x 6.60 x 6.70 cm,0.56,N/A,"Sep 16, 2021",,No,57,Amazon
7,"DERMASENCE Polaneth Shampoo, 200 ml, beruhigendes Shampoo gegen Juckreiz auf der Kopfhaut, mildert Irritationen, kühlt, ideal bei Neurodermitis, sensibler Kopfhaut, vegan",B08P4D38B1,Irritated / Atopic,https://www.amazon.de/dp/B08P4D38B1?psc=1,DE,https://m.media-amazon.com/images/I/61xAsnAzGyL._SX342_.jpg,DERMASENCE,13.38,388,388,200,"6,349.16","6,349.16",170,"5,541",N/A,5.86,23,4.5,534,6,12,Aromaölmanufaktur,Kosmetik,Extra Large Envelope,MFN,17.20 x 5.20 x 5.20 cm,0.25,N/A,"Oct 30, 2020",,No,68,Aromaölmanufaktur
53,"Eucerin DermoCapillaire pH5 Shampoo 250 ml, Haarshampoo reinigt mild und wirksam, Kopfhaut Pflege ohne alkalische Seife bewahrt die natürliche Schutzfunktion",B0090Y7AW8,Irritated / Atopic,https://www.amazon.de/dp/B0090Y7AW8?psc=1,DE,https://m.media-amazon.com/images/I/41biFnRJgPL._SX342_.jpg,Eucerin,9.5,493,493,200,"6,301.92","6,301.96",157,"3,700",AMZ,4.88,6,4.5,725,6,10,Amazon,Kosmetik,Large Envelope,AMZ,19.10 x 2.90 x 6.90 cm,0.31,N/A,"Aug 21, 2012",,No,166,Amazon
48,"L'Oréal Professionnel Haarshampoo zur Reinigung fettiger Kopfhaut, Scalp Advanced, Anti-Oiliness Dermo-Purifier Shampoo, 300 ml",B0BPYFBWF4,,https://www.amazon.de/dp/B0BPYFBWF4?psc=1,DE,https://m.media-amazon.com/images/I/51kVgJzErrL._SX342_.jpg,L'Oréal Professionnel Paris,14.71,516,516,300,"6,242.75","6,242.75",127,"4,320",AMZ,5.27,31,4.2,"1,283",11,22,Amazon,Kosmetik,Extra Large Envelope,AMZ,14.20 x 5.80 x 5.80 cm,0.36,N/A,"Jan 24, 2023",,No,41,Amazon
34,"L'Oréal Professionnel Haarshampoo zur Beruhigung empfindlicher Kopfhaut, Scalp Advanced, Anti-Discomfort Dermo-Regulator Shampoo",B0BPYF46LP,Irritated / Atopic,https://www.amazon.de/dp/B0BPYF46LP?psc=1,DE,https://m.media-amazon.com/images/I/51t3w2uAovL._SX342_.jpg,L'Oréal Professionnel Paris,14.14,614,385,200,"11,671.03","5,923.75",128,"4,546",AMZ,5.99,27,4.4,"1,373",10,24,Amazon,Kosmetik,Extra Large Envelope,AMZ,14.10 x 5.80 x 5.80 cm,0.35,N/A,"Jan 24, 2023",,No,41,Amazon
39,"L'Oréal Professionnel Haarshampoo zur Beruhigung empfindlicher Kopfhaut, Scalp Advanced, Anti-Discomfort Dermo-Regulator Shampoo",B0BPYG9ZRJ,Irritated / Atopic,https://www.amazon.de/dp/B0BPYG9ZRJ?psc=1,DE,https://m.media-amazon.com/images/I/61dHLXtKtIL._SX342_.jpg,L'Oréal Professionnel Paris,21.54,614,229,100,"11,671.03","5,747.28",128,"4,546",AMZ,8.27,32,4.4,"1,373",10,24,,Kosmetik,Small Parcel,AMZ,18.80 x 7.30 x 7.30 cm,0.57,N/A,"Jan 24, 2023",,No,41,
38,"Vichy Dercos Ultra-Sensitiv Shampoo, Intensiv beruhigendes Shampoo für trockenes Haar und empfindliche Kopfhaut, Bei Irritationen und Reizungen, Für trockene Kopfhaut, 200 ml",B01D5AP786,Irritated / Atopic,https://www.amazon.de/dp/B01D5AP786?psc=1,DE,https://m.media-amazon.com/images/I/51AoSyQ1JWL._SX342_.jpg,VICHY,16.45,343,343,200,"5,639.38","5,639.38",174,"7,625",AMZ,5.89,1,4.4,"1,196",1,55,Amazon,Kosmetik,Extra Large Envelope,AMZ,17.30 x 4.90 x 4.90 cm,0.26,N/A,"Mar 18, 2016",,No,123,Amazon
